07年 1月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂイチゴイチエ, 55,後藤浩,, 72,*  6,*  2, 2,  4.8, ①①, 1, 6, ユウタｰアクセス,,大庭和,,,,, 1,  2.9,②②①, 1, 2,Ｈキングフォｰティ, 68,蛯名正,, 69,   9,  -1, 4,  6.5,③③③, 1, 5,Ｆネヴァブション, 78,北村宏,, 90,  17,* 12, 3,  4.8,⑥⑥③
 2, 4,Ａホワイトリｰベ, 56,吉田豊, 0.6, 66,*  6,  -3, 3,  5.4, ②②, 2,12, レオスタｰライト,,柴田大, 0.4,,,, 4,  6.4,⑥⑤②, 2, 1,Ｋハイエンドクォｰツ, 63,村田一, 0.2, 66,   4,*  6,10, 34.1,⑨⑪⑫, 2, 6,Ｂオｰルピュｰル, 84,横山典, 0.9, 82,  15,   5, 2,  4.5,⑧⑦⑦
 3, 5,Ｄファディスタ, 49,横山典, 0.6, 62,   2,*  0, 1,  4.0, ⑥⑥, 3, 2, メモリｰオブヨｰク,,高野容, 0.4,,,, 6, 10.7,⑤⑤②, 3, 3,Ｂオｰスミダイケン, 72,千葉直, 0.4, 62,   2,*  3, 7, 14.3,⑫⑪⑨, 3, 3,Ａアクシオン, 87,田中勝, 1.1, 79,  18,  -7, 1,  2.0,④④③
 4,13,Ｉサクラスウィｰプ, 44,五十嵐, 1.2, 59,*  5,  -8, 4,  5.7, ③②, 4, 7, グロｰリｰジョン,,五十嵐, 2.3,,,, 3,  5.9,①①②, 4, 8,Ｉオメガエンドレス, 68,田中勝, 0.4, 66,   7,  -2, 6, 14.3,⑨⑦④, 4, 4,Ｉアドバンテｰジ, 75,柴田善, 1.1, 79,  19, -10, 7, 40.6,②②①
 5, 2,Ｈトミヨシプリンセス, 44,勝浦正, 2.0, 50,   4, -15, 7, 34.0, ④④, 5, 8, ビッグトワイニング,,伊藤直, 2.5,,,, 2,  4.8,⑥④②, 5, 7,Ｇチョウカイキセキ, 68,横山典, 0.5, 68,* 14, -15, 2,  3.8,②②②, 5, 1,Ｄリメインオブザサン, 78,蛯名正, 1.1, 79,  18,  -7, 4,  8.2,④④⑥
 6, 9,Ｍニシノマンゲキョウ, 36,吉田隼, 2.0, 45,  -8,  -5, 9, 40.9, ⑬⑨, 6,14, デイトレｰダｰ,,南田雅, 3.4,,,,10, 67.9,④③⑥, 6, 4,Ａサニｰネイティブ, 77,大野拓, 0.9, 60,   4,  -4, 9, 26.1,⑨⑨⑨, 6,11,Ｋウォｰライクトニｰ, 73,勝浦正, 1.2, 79,  14,   3,10, 44.9,⑩⑨⑨
 7, 7,Ｏノｰスリヴァｰ, 33,田中勝, 2.1, 44,  -7,  -6, 8, 38.1, ⑫⑨, 7,10, マイネルネオス,,宗像徹, 3.5,,,, 5, 10.0,⑬⑫⑪, 7,13,Ｅセイウンタイヨウ, 69,菊沢隆, 0.9, 62,   8,  -8, 8, 25.0,⑤⑤⑦, 7, 2,Ｃメジロトンキニｰズ, 78,吉田隼, 1.3, 78,  16,  -3, 9, 42.9,⑦⑦⑦
 8,12,Ｌスキャットナンバｰ, 37,高山太, 2.5, 42, -11,  -6,16,454.8, ⑯⑮, 8, 3, スガｰペンタイア,,菊池憲, 3.9,,,,12, 84.4,⑩⑦⑦, 8, 9,Ｌグランドホイッスル, 54,柴山雄, 0.9, 62,   6,  -4,11,159.8,⑦⑨⑨, 8,10,Ｇアドマイヤカンナ, 76,後藤浩, 1.8, 74,  13,  -1, 5, 18.9,⑨⑪⑪
