07年 5月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 5月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.9,,,,,■10R  ダ2100m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是政特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂアイファｰチヨオｰ, 50,鮫島良,, 63,*  5,  -6, 4,  9.3, ①①, 1,13, タイキダイナスティ,,横山義,,,,, 1,  2.5,④②②, 1, 5,Ｇサケダイスキ, 46,大野拓,, 65,*  2,   0, 5, 18.4,①①①, 1, 8,Ｅスズノマグマ, 70,田中勝,, 75,   3,* 12, 3,  7.6,⑥⑦⑥
 2, 5,Ｈサルバドｰルボス, 41,松岡正, 0.2, 61,*  3,* -4, 1,  2.8, ②②, 2, 8, ウォッチンザスカイ,,鈴木慶, 0.6,,,, 7, 15.8,⑦⑥④, 2, 2,Ａナスノハツカゼ, 66,内田博, 0.0, 67,   1,*  7, 2,  2.6,⑤④⑤, 2,11,Ｆサンシｰズン, 70,松田大, 0.3, 71,*  4,   5, 1,  3.8,①①①
 3, 9,Ａイｰサンラヴ, 58,内田博, 0.3, 60,*  3,  -6, 2,  3.0, ②②, 3, 9, マイネルレジオ,,沢昭典, 1.7,,,,10,116.0,⑤④④, 3, 7,Ｂマイネルグロリアス, 57,蛯名正, 0.2, 64,*  3,  -1, 1,  2.2,②②②, 3, 4,Ｃリオサンバシチｰ, 72,蛯名正, 0.4, 74,   2,* 10,10, 22.2,⑩⑫⑦
 4, 1,Ｃダイワデリンジャｰ, 49,武士沢, 1.5, 43,  -9,* -4, 5, 15.3, ⑨⑧, 4,12, レッツゴｰアテネ,,金子光, 1.9,,,, 8, 30.3,⑩⑦⑦, 4, 1,Ｅマイネルメロス, 53,後藤浩, 0.2, 65,   1,   3, 3,  5.8,③②③, 4, 6,Ｈセルフリスペクト, 69,藤田伸, 0.6, 70,   3,   5, 6, 10.1,④④④
 5,14,Ｄアリマフェニックス, 46,蛯名正, 1.6, 43, -11,* -3, 3,  5.1, ⑬⑩, 5, 3, ラドランデンジャｰ,,五十嵐, 3.2,,,, 2,  3.3,①①①, 5, 4,Ｃマイスタｰキング, 57,藤田伸, 0.3, 63,   1,   1, 4,  7.3,④④③, 5,12,Ｎトシツカサオｰ, 63,勝浦正, 0.6, 69,*  4,   3,11, 34.1,②②②
 6, 7,Ｆリアルファンタジｰ, 43,勝浦正, 1.6, 43,  -8,  -6,11, 71.8, ⑤⑥, 6, 6, サムタイム,,山本康, 4.0,,,, 3,  5.3,⑤⑦⑧, 6, 3,Ｄゴｰルドカフェ, 55,小島太, 0.9, 51,  -2,  -9, 6, 35.7,⑤⑥⑤, 6,16,Ｍナリタブラック, 64,四位洋, 0.6, 69,*  4,   4,15, 82.2,④④④
 7, 8,Ｊオレノウマ, 37,田中勝, 1.8, 43,   0, -17, 7, 24.2, ④④, 7, 2, リバルドボｰイ,,平沢健, 4.1,,,, 6, 14.2,②④⑥, 7, 6,Ｆフジノスプレンダｰ, 46,田面木, 2.2, 42,  -1, -24, 7, 72.2,⑦⑦⑦, 7,14,Ｄコウエイノホシ, 72,内田博, 0.6, 69,*  4,   3, 5,  9.7,②②②
 8, 2,Ｋブライティアレナ, 32,大野拓, 1.8, 40, -12,* -5,13,130.6, ⑨⑬, 8,11, メジロミッチェル,,高野和, 4.9,,,,13,186.5,⑦⑨⑨,,,,,,,,,,,,, 8, 5,Ａパピヨンシチｰ, 75,安藤勝, 0.7, 72,   0,* 13, 2,  4.0,⑯⑯⑯
