07年 2月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 2月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■ 4R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2500m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■10R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鎌ｹ谷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂテイクザホｰク, 57,横山典,, 74,*  7,*  3, 1,  1.6, ②②, 1,15, リングジアラｰム,---,後藤浩,, 75,* 11,* -1, 2,  2.5, ①①, 1, 7,Ｇトｰセンジョｰカｰ, 60,田中勝,, 65,  -2,   7, 3,  6.1,③③②, 1, 4,Ｃトップガンマン, 72,後藤浩,, 75,   4,* 13, 1,  3.3,⑦⑧⑤
 2, 1,Ｇコスモハナコ, 45,中舘英, 0.5, 66,   4,*  1, 4, 14.6, ⑥⑥, 2,11, スマｰトチャンス,---,吉田豊, 0.4, 65,   4,*  1, 4, 11.8, ⑤⑤, 2, 3,Ｃモンブランカフェ, 68,小島太, 0.0, 62,  -5,*  8, 7, 37.7,③⑤④, 2, 1,Ｂパピヨンシチｰ, 74,松岡正, 0.0, 76,   5,* 10, 4,  5.9,③④③
 3,16,Ｄコスモトノ, 49,田中剛, 0.8, 64,   5,  -2, 3, 10.9, ③③, 3, 5, ウェディングライト,---,的場勇, 0.6, 61,   4,* -3, 6, 23.3, ④④, 3,11,Ｂネヴァｰトルネｰド, 70,武士沢, 0.0, 64,* -1,   5, 2,  6.0,②②②, 3,12,Ｆデスバラｰド, 69,吉田豊, 0.3, 73,   4,* 10, 5,  9.0,⑩⑧⑤
 4, 8,Ａトップオブドｰラ, 59,松岡正, 1.6, 59,*  8, -13, 2,  3.2, ①①, 4, 8, アイアムシｰザｰ,---,大野拓, 1.9, 52,*  7, -17, 3,  7.7, ②②, 4, 9,Ｆトｰセンクルｰズ, 61,吉田隼, 0.2, 59,* -1,  -2, 4, 12.5,①①①, 4,11,Ａロトブルｰスタｰ, 74,中舘英, 0.3, 74,*  6,   5, 2,  4.7,③②②
 5,12,Ｌユウタｰストライプ, 36,蛯名正, 1.6, 56,   5, -10, 7, 51.8, ③③, 5, 6, ザドリｰムチャンプ,---,小林淳, 2.1, 45,  -4,  -7,12,107.6, ⑨⑧, 5, 1,Ａダイイチアトム, 73,松岡正, 0.4, 61,  -3,   4, 1,  1.6,⑨⑤⑦, 5, 2,Ｎフサイチウィｰド, 61,田中剛, 1.1, 68,*  7,  -3,13, 82.5,①①①
 6,14,Ｍプレザントアフェア, 34,田面木, 1.7, 50,  -2,  -4,13,387.3, ⑧⑧, 6, 2, アルファトリリオン,---,横山典, 2.3, 49,*  7, -20, 1,  2.4, ②②, 6, 5,Ｉハバネロキャット, 54,中舘英, 0.4, 61,  -3,   4, 9,190.5,⑦⑤④, 6, 8,Ｍチェリスト, 64,勝浦正, 1.3, 64,   2,   4,12, 51.0,⑫⑪⑪
 7,15,Ｏクロスナビゲｰタｰ, 26,郷原洋, 1.8, 49,  -4,  -3,14,391.6, ⑩⑨, 7,10, アミフジリュｰジュ,---,大庭和, 2.7, 39,  -2, -15, 9, 45.0, ⑧⑧, 7, 6,Ｅメジロガンバス, 64,石橋脩, 0.5, 60,  -2,   1, 6, 17.2,⑤④④, 7, 5,Ｌリスティアエナｰ, 64,吉田隼, 1.4, 64,   2,   3,10, 36.1,⑪⑪⑨
 8, 2,Ｆセンザイイチグウ, 47,吉田隼, 1.8, 53,   5, -13, 6, 37.0, ③③, 8,14, クイｰンオブザメイ,---,松岡正, 3.1, 36,  -6, -16, 8, 44.2, ⑩⑩, 8,10,Ｄナスノハツカゼ, 68,小牧太, 0.6, 62,  -4,   7, 5, 13.9,⑪⑪⑨, 8, 6,Ｄシャコｰミリオン, 71,蛯名正, 1.6, 63,   4,  -2, 3,  5.6,⑦⑧⑨
 9, 6,Ｈホワイトアロｰ, 39,菊沢隆, 2.4, 43,  -7,  -7,15,446.9, ⑫⑪, 9,13, メイサｰティｰス,---,北村宏, 3.4, 37, -12, -13,13,122.9, ⑫⑬, 9, 8,Ｈコンフロント, 58,的場勇, 1.4, 46,  -5, -14, 8, 38.3,⑦⑤⑧, 9, 7,Ｋキャスティング, 65,田中勝, 2.3, 58,   5, -11, 6, 13.4,⑤④④
10, 5,Ｎスガノグロｰリアス, 28,岩部純, 2.4, 43,  -8,  -6,12,369.1, ⑬⑫,10, 7, ウエスタンスクｰプ,---,二本柳, 3.5, 36, -12, -14,10, 47.1, ⑫⑫,10, 2,Ｋアドライナｰ, 49,千葉直, 1.9, 42,  -5, -20,11,468.7,⑥⑤⑨,10, 3,Ｊタイインテンスリｰ, 65,田中博, 2.3, 58,   5, -10, 9, 29.7,⑤⑥⑦
