07年 7月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月28日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 4R  ダ1800m 3 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■ 7R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五頭連峰特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂショウナンアルバ, 55,蛯名正,, 65,  -6,* 11, 1,  2.0, ⑤⑤, 1,15,Ｄエドノエスポワｰル, 48,大庭和,, 55,*-16,  15, 4, 13.2,①①①, 1, 9,Ｄカピタｰノ, 57,吉田隼,, 67,*  7,  -1, 4, 13.0, ①①, 1, 6,Ｅアップルサイダｰ, 74,後藤浩,, 77,   7,* 13, 5,  8.8, ⑥⑥
 2, 9,Ｊマッシュアップ, 40,安藤光, 0.4, 51,* -3,  -1,10, 56.9, ①①, 2,11,Ｃトｰセンファング, 54,二本柳, 0.0, 56,*-17,* 16, 2,  5.7,②②②, 2,14,Ａジャンバルジャン, 66,後藤浩, 0.2, 64,*  6,  -2, 1,  1.5, ②②, 2, 2,Ｂホｰマンアラシ, 80,福永祐, 0.0, 79,  10,* 11, 2,  4.7, ④④
 3, 7,Ｅコラデピｰノ, 48,柴田善, 0.4, 54,* -5,   3, 4,  7.1, ③③, 3,13,Ｅカｰデナルポイント, 45,東川公, 0.1, 56,*-17,* 16, 7, 40.1,②②②, 3,11,Ｃマルタカエンペラｰ, 61,田中勝, 0.2, 64,*  3,   1, 2,  7.7, ③④, 3,12,Ａヒカルベガ, 81,蛯名正, 0.1, 78,* 11,   6, 3,  4.7, ③③
 4,14,Ｃアグネスクリスタル, 54,福永祐, 0.5, 59, -10,* 10, 3,  6.7, ⑪⑪, 4,12,Ａラッシュモア, 56,後藤浩, 0.5, 56, -20,* 18, 1,  1.6,⑦⑦⑦, 4, 7,Ｉダイワタキオン, 42,村田一, 0.2, 66,  -5,* 12, 9, 57.0, ⑬⑬, 4, 7,Ｇアイリッシュホｰク, 72,吉田隼, 0.4, 72,   5,* 14, 6, 11.9, ⑫⑫
 5, 3,Ａドリｰムシグナル, 55,石橋脩, 0.5, 59, -10,* 10, 2,  4.3, ⑪⑪, 5, 8,Ｈエイトサンデｰ, 41,田辺裕, 1.1, 41, -18,   8, 6, 22.7,④④④, 5, 1,Ｂリサイトアチャｰム, 64,吉田豊, 0.4, 62,  -2,   4, 3,  8.6, ⑧⑨, 5, 4,Ｈダイワセレクション, 70,柴田善, 0.6, 70,   7,   8, 9, 42.9, ⑪⑪
 6,13,Ｋマイネルポンピオン, 38,大野拓, 0.9, 44,* -4,  -8,11,143.7, ②②, 6, 4,Ｂアタゴヘイロｰ, 55,田中勝, 1.3, 45, -22,  13, 3,  6.4,⑪⑫⑨, 6,18,Ｏリワｰドレフラン, 17,二本柳, 0.6, 59,*  3,  -5,13,164.5, ③③, 6, 3,Ｃアミュレット, 76,安藤光, 0.8, 68,   8,   1, 8, 32.2, ⑦⑦
 7, 4,Ｈフサイチエゴイスト, 46,中舘英, 1.0, 46,  -9,   0, 9, 45.3, ⑧⑨, 7, 3,Ｌマジックキングダム, 31,田中博, 1.5, 34, -20,   3,11,277.8,④④④, 7, 8,Ｎグラスゾｰン, 31,高山太, 0.6, 61, -12,* 15, 8, 25.8, ⑱⑯, 7, 8,Ｆユウタｰジャック, 73,武士沢, 1.0, 66,   6,   3,10, 43.5, ⑩⑨
 8,16,Ｍコスモスタｰ, 35,北村宏, 1.0, 45,  -8,  -1, 8, 44.3, ⑧⑦, 8, 9,Ｆセイウンガジデ, 43,蛯名正, 1.8, 34, -19,   3, 5, 13.6,⑥⑥⑥, 8,15,Ｅスバルジョウ, 55,大野拓, 0.7, 58,  -3,   0, 5, 22.5, ⑪⑦, 8,13,Ｍアブソリュｰト, 63,田中勝, 1.1, 64,   7,  -4, 4,  7.4, ④④
 9,17,Ｄリノｰンリメイン, 49,村田一, 1.1, 43,* -5,  -8, 6, 25.6, ③③, 9, 2,Ｇベニバナ, 41,西田雄, 1.8, 35, -20,   5, 9,120.3,⑦⑦⑦, 9, 2,Ｍアｰモンドグランス, 32,東川公, 0.8, 57,  -6,   4,15,269.7, ⑭⑬, 9, 1,Ｌヤマニンスプラウト, 66,北村宏, 1.2, 63,   5,   1,12,188.2, ⑫⑫
10,11,Ｌザシｰクレット, 37,後藤浩, 1.1, 44,  -8,  -3, 5, 21.3, ⑦⑦,10, 5,Ｊスズキャンドル, 34,高山太, 2.4, 30, -21,   2,10,186.1,⑪⑨⑨,10,16,Ｇアッシュアッパｰ, 48,柴田善, 0.9, 55,  -2,  -4, 6, 24.5, ⑧⑤,10,10,Ｉモエレフィｰルド, 68,吉永護, 1.3, 64,* 13, -18, 7, 14.2, ①①
11, 8,Ｇコスモタクミ, 46,吉田隼, 1.2, 43,  -9,  -3, 7, 26.7, ⑧⑨,11, 6,Ｏビッグバンオｰレ,-62,柄崎将, 2.4, 31, -23,   5,13,312.5,⑬⑬⑫,11, 4,Ｌシｰガルサリｰ, 33,福永祐, 1.0, 53,   1,  -8, 7, 25.6, ⑤⑤,11, 5,Ｋアドマイヤカスタム, 67,村田一, 1.4, 62,* 11, -14,11,100.3, ②②
12, 6,Ｉマダムミツコ, 41,田中博, 1.3, 41, -15,   2,13,176.2, ⑭⑬,12,10,Ｉコウヨウオラリア, 40,安藤光, 2.5, 30, -21,   1, 8, 41.4,⑨⑨⑨,12, 5,Ｊヤマニンリシェス, 36,池崎祐, 1.1, 49,  -2, -10,17,379.9, ⑦⑨,12,11,Ｊニシノグレイシャ, 67,大野拓, 1.6, 59,   7,  -8,13,232.7, ⑦⑨
13, 5,Ｎデルマシリウス, 32,高山太, 1.5, 41, -14,   0,17,415.6, ⑭⑬,13, 7,Ｎトップフィｰリング, 26,村田一, 3.1, 29, -21,  -5,12,298.6,⑨⑨⑬,13,17,Ｈディファイ, 43,岩部純, 1.1, 54, -10,   4,11, 86.3, ⑯⑮,13, 9,Ｄスズカダｰク, 74,中舘英, 1.6, 59,   7, -10, 1,  3.0, ⑦⑦
14,10,Ｐロｰンウルフ,  8,木幡初, 1.6, 39,  -7, -12,15,311.7, ⑤⑤,14, 1,Ｍシャイニングエッジ, 29,石橋脩, 3.2, 26, -26,   3,14,327.0,⑬⑭⑭,14, 3,Ｋダッシュタイカン, 34,武士沢, 1.1, 53,  -3,  -5,12,103.7, ⑪⑫,,,,,,,,,,,,
15,15,Ｆテｰオｰショウキ, 47,田中勝, 2.0, 34, -15,  -6,12,171.1, ⑬⑬,,,,,,,,,,,,,15,13,Ｆハｰドビクトリｰ, 48,北村宏, 1.1, 52,   1, -10,14,216.9, ⑤⑦,,,,,,,,,,,,
16, 2,Ｏエイデンダンス, 25,吉田豊, 2.0, 34, -15,  -5,14,217.2, ⑰⑯,,,,,,,,,,,,,16, 6,Ｐアディオケリｰダ, 12,石橋脩, 1.1, 52,  -2,  -7,10, 61.4, ⑧⑨,,,,,,,,,,,,
17, 1,Ｑロｰランスカイ,-32,東川公, 2.0, 34, -16,  -3,16,338.7, ⑯⑯,,,,,,,,,,,,,17,10,Ｑユｰワロンシャン, -5,田中博, 2.3, 33, -12, -16,16,293.2, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,12, パスディット,---,田辺裕, 8.0,-44,  -7, ---,18,386.9, ⑭⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+29 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,
"単勝:200円 複勝:12=120円 09=1,170円 07=180円 枠連:4,540円",,,,,,,,,,,,"単勝:1,320円 複勝:15=310円 11=200円 13=680円 枠連:2,220円",,,,,,,,,,,,"単勝:1,300円 複勝:09=200円 14=110円 11=160円 枠連:650円",,,,,,,,,,,,"単勝:880円 複勝:06=230円 02=150円 12=160円 枠連:1,200円",,,,,,,,,,,
"馬連:6,100円 ワイド:09-12=1,920円 07-12=300円 07-09=4,560円",,,,,,,,,,,,"馬連:2,330円 ワイド:11-15=790円 13-15=2,520円 11-13=1,490円",,,,,,,,,,,,馬連:660円 ワイド:09-14=270円 09-11=720円 11-14=220円,,,,,,,,,,,,"馬連:1,720円 ワイド:02-06=720円 06-12=660円 02-12=350円",,,,,,,,,,,
"馬単:7,550円 3連複:9,440円",,,,,,,,,,,,"馬単:6,010円 3連複:19,550円",,,,,,,,,,,,"馬単:2,670円 3連複:1,210円",,,,,,,,,,,,"馬単:4,800円 3連複:2,630円 3連単:21,870円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■ 5R  芝2850m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■11R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,新潟日報賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆヴィッテリア, 43,西田雄,, 57,* -5,   3,11, 55.2,①①①, 1,11, オンワｰドタイタン,,横山義,,,,, 2,  3.1,③③④, 1,12,Ｄユウコン, 62,北村宏,, 63,   4,*  1, 5, 11.6,⑧⑥⑥, 1,15,Ｅトウショウヴォイス, 81,小林淳,, 79,   1,* 18, 7, 25.6, ⑪⑪
 2, 2,Ｅウメノカイウン, 44,大野拓, 0.1, 57,  -8,*  7, 2,  4.6,⑤⑥⑥, 2, 7, ユキノサンロイヤル,,浜野谷, 0.5,,,, 3,  9.6,⑥③②, 2,13,Ｍマイネルビスタ, 53,木幡初, 0.1, 61,   2,*  4, 8, 18.7,⑪⑨⑧, 2,16,Ｈタイキラファエロ, 79,田中勝, 0.1, 77,   5,  14, 3,  5.8, ⑤⑤
 3, 6,Ｂヤマニンピボワンヌ, 51,二本柳, 0.3, 56,  -8,*  5, 6, 14.0,⑧⑥④, 3, 4, エスケｰアパッチ,,金子光, 0.6,,,, 8, 24.2,⑧⑦⑦, 3, 1,Ｋドキュメント, 57,福永祐, 0.4, 62,*  8, -11, 4,  9.7,①①①, 3, 5,Ｃチョウサン, 85,福永祐, 0.2, 75,   3,* 14, 2,  4.6, ⑦⑨
 4,13,Ａアｰバンスイｰツ, 52,吉田隼, 0.5, 53,  -7,   1, 1,  2.8,⑥③③, 4, 6, サウスバトルマン,,平沢健, 0.8,,,, 7, 23.9,②②①, 4,14,Ｇシンボリプロキオン, 61,田中博, 0.5, 58,   4,  -7, 7, 15.2,⑤⑤④, 4,17,Ｍサニｰネイティブ, 76,大野拓, 0.3, 72,   1,* 13,15,110.1, ⑦⑨
 5, 1,Ｃキャプテンドリｰム, 50,小林淳, 0.5, 53,  -7,   1, 3,  5.1,③③④, 5, 3, アイルオブマルタ,,柴田大, 1.0,,,, 5, 12.5,⑥⑤⑤, 5, 8,Ａロトブルｰスタｰ, 73,中舘英, 0.7, 60,*  7, -11, 1,  2.0,③②②, 5, 8,Ｏシベリアンメドウ, 73,武士沢, 0.4, 64,   1,   7,14,103.5, ⑦⑦
 6,11, ストｰムホイッスル,---,北村宏, 0.9, 52, -10,   3, 4,  6.8,⑪⑨⑧, 6,12, キタサンブシドウ,,水出大, 1.4,,,, 6, 16.9,③⑥⑥, 6, 6,Ｈアイビスビッテ, 60,蛯名正, 0.9, 57,*  7, -14,10, 27.5,②②②, 6,14,Ｌガッテンワン, 77,村田一, 0.4, 73,   1,* 14, 4,  7.7, ⑮⑭
 7, 4,Ｇフジノファイタｰ, 43,柄崎将, 1.0, 51, -10,   2, 8, 36.5,⑩⑨⑧, 7, 2, アドニスシチｰ,,大庭和, 1.5,,,, 4, 10.9,⑩⑧⑧, 7, 2,Ｂダンシングクリス, 64,吉田隼, 1.1, 57,   7, -13, 2,  7.8,④④④, 7,13,Ａカイシュウタキオン, 86,蛯名正, 0.4, 75,   4,  15, 1,  3.4, ⑪⑪
 8,10,Ｈオペラアンドワルツ, 33,石橋脩, 2.4, 36,* -6, -18,12, 61.4,②②②, 8, 5, バリトンヴォイス,,石神深, 1.7,,,,13,123.1,⑫⑧⑧, 8, 4,Ｉモハチビスティｰ, 60,柴田善, 1.4, 52,   1,  -6, 6, 12.6,⑨⑪⑩, 8,11,Ｐヒシハイグレｰド, 69,石橋脩, 0.5, 64,*  7,   2, 8, 28.5, ②②
 9, 5,Ｄマイダｰリング, 46,田中博, 2.9, 33, -13, -12, 5, 13.0,⑭⑫⑫, 9,13, アｰトレｰタ,,山本康, 1.9,,,,12,106.2,⑧⑩⑩, 9, 9,Ｌマスラタケヲ, 55,田辺裕, 1.4, 53,   2,  -7,13,195.0,⑬⑪⑩, 9, 7,Ｆマルタｰズホビｰ, 80,吉田隼, 0.6, 64,   3,   5,12, 54.6, ⑦⑦
10,12, マリｰザ,---,蛯名正, 2.9, 33,  -8, -19,10, 39.9,⑪⑥⑦,10, 1, シルバｰデュｰク,,江田勇, 3.4,,,,14,168.5,⑪⑪⑪,10, 3,Ｆアポロコマンダｰ, 61,丹内祐, 1.5, 53,   4, -12, 9, 22.5,⑥⑦⑦,10, 4,Ｊトｰセンテンショウ, 79,中舘英, 0.8, 63,  -1,   8,11, 45.7, ⑭⑭
11, 3,Ｊエプソムメアラス, 19,千葉直, 4.0, 25, -12, -26,15,368.8,⑦⑪⑪,11,10, ユキノアメｰジング,,五十嵐, 3.4,,,,11, 67.8,①①②,11,10,Ｅオンワｰドウシワカ, 61,土谷智, 1.9, 49,   0,  -8,11, 29.7,⑬⑬⑬,11, 6,Ｇサクライナセ, 80,木幡初, 0.8, 60,   5,   0,10, 42.0, ⑤⑤
12,15,Ｉジョコｰザ, 27,土谷智, 4.0, 28,  -7, -31,13, 69.9,③⑤⑧,12,14, グロｰリアスゲスト,,蓑島靖, 5.5,,,,10, 64.9,⑫⑪⑪,12, 7,Ｎモルフェワルツ, 40,小林淳, 1.9, 50,   3, -14,14,211.4,⑦⑦⑧,12, 2,Ｉウエスタンクィｰン, 79,柴田善, 0.8, 59,*  6,  -2, 6,  8.5, ③③
13, 9,Ｋロザンナ,-74,後藤浩, 4.4, 25, -13, -25, 7, 21.0,⑬⑬⑬,,,,,,,,,,,,,13,11,Ｊダブルヒｰロｰ, 58,石橋脩, 1.9, 49,   2, -13, 3,  8.9,⑨⑨⑩,13, 9,Ｑタイキエンデバｰ, 24,田中博, 1.0, 60,  -2,   7,16,193.4, ⑪⑪
14, 7, メジロアルドラ,---,吉田豊, 5.3, 21, -15, -29, 9, 36.8,⑭⑮⑭,,,,,,,,,,,,,14,15,Ｏホクセイプライム, 39,小野次, 3.1, 42,  -1, -18,15,256.4,⑫⑭⑭,14, 3,Ｄヒシフェアレディ, 81,二本柳, 1.1, 56,*  8, -12,13, 66.0, ①①
15,14, リｰサムフリｰク,---,宮崎北, 6.4, -1, -14, -45,14,232.1,⑧⑬⑭,,,,,,,,,,,,,15, 5,Ｃフジノタｰゲット, 62,柄崎将, 3.2, 42,  -2, -17,12,126.1,⑮⑮⑭,15,12,Ｂダンディｰズケア, 86,後藤浩, 1.6, 55,   6, -12, 5,  8.3, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｋムｰンシャイン, 78,北村宏, 6.7,-70, -24, -43, 9, 35.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:5,520円 複勝:08=800円 02=190円 06=480円 枠連:2,840円",,,,,,,,,,,,単勝:310円 複勝:11=140円 07=250円 04=500円 枠連:710円,,,,,,,,,,,,"単勝:1,160円 複勝:12=320円 13=620円 01=450円 枠連:7,600円",,,,,,,,,,,,"単勝:2,560円 複勝:15=570円 16=260円 05=180円 枠連:5,860円",,,,,,,,,,,
"馬連:9,630円 ワイド:02-08=1,970円 06-08=4,680円 02-06=1,250円",,,,,,,,,,,,"馬連:1,000円 ワイド:07-11=580円 04-11=1,060円 04-07=2,630円",,,,,,,,,,,,"馬連:7,320円 ワイド:12-13=2,110円 01-12=1,860円 01-13=3,100円",,,,,,,,,,,,"馬連:8,980円 ワイド:15-16=2,550円 05-15=1,700円 05-16=660円",,,,,,,,,,,
"馬単:27,310円 3連複:27,240円",,,,,,,,,,,,"馬単:2,320円 3連複:8,260円",,,,,,,,,,,,"馬単:14,880円 3連複:29,940円",,,,,,,,,,,,"馬単:22,990円 3連複:13,890円 3連単:141,950円",,,,,,,,,,,
■ 3R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.5,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,村上特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14, マルタｰズウディｰ,---,蛯名正,, 52,*  2, -10, 7, 19.3, ②②, 1,11, フォｰチュンワｰド,---,北村宏,, 56, -10,*  5, 4,  8.0, ④③, 1,11,Ｂゲイル, 78,福永祐,, 78,   8,* 17, 1,  2.9, ⑬⑬, 1, 8,Ｂスプリングタピアン, 79,石橋脩,, 78,  13,   8, 7, 13.8, ④④
