07年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本栖湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａシングンリタｰンズ, 48,中舘英,, 54, -22,* 16, 1,  3.6, ③③, 1,14, オｰトゼウス,,矢原洋,,,,, 8, 16.6,①①①, 1,14,Ｉスタｰシップ, 56,津村明,, 67,*  3,   0, 9, 46.1,②②①, 1, 4,Ａトップセラｰ, 76,蛯名正,, 79,   1,* 19, 4,  6.4,②②②
 2, 3,Ｂマイネルポンピオン, 48,大野拓, 0.1, 44,*-20,   8, 3,  4.5, ①①, 2, 1, ミウラマリリン,,横山義, 0.4,,,, 4,  6.0,③④④, 2,13,Ｆメジロアルタイス, 62,吉田豊, 0.1, 65,   0,*  8, 1,  2.8,⑮⑭⑭, 2, 7,Ｄマイネルアナハイム, 71,北村宏, 0.1, 75,   1,  17, 5,  6.5,③②②
 3, 5,Ｉナムラノブナガ, 23,柴山雄, 0.3, 54, -26,* 17, 5, 11.3, ⑧⑧, 3, 6, エリモマキシム,,西谷誠, 1.1,,,, 1,  4.8,⑩③②, 3, 5,Ｂアポロキングダム, 68,吉田隼, 0.2, 65,   2,   1, 3,  5.0,⑥④③, 3, 5,Ｆウエイクアイランド, 67,藤田伸, 0.1, 81,  -1,* 21, 6,  8.2,⑤④④
 4, 9,Ｅエｰシンペｰスワン, 40,北村宏, 0.4, 46, -24,  12, 7, 19.3, ⑤⑤, 4,11, ウォッチンザスカイ,,鈴木慶, 1.1,,,, 7, 14.1,③④⑤, 4, 9,Ｈティリブルティｰト, 57,黛弘人, 0.2, 62,   0,*  3,14,176.8,⑦⑦⑦, 4, 3,Ｃシグナリオ, 72,松岡正, 0.4, 71,   0,  15, 2,  3.6,④④④
 5, 1,Ｄフェアｰプロ, 44,横山典, 0.6, 37, -22,   6, 4,  4.9, ③③, 5, 8, マｰブルジｰン,,岩崎祐, 1.1,,,,11, 38.0,⑥⑨⑨, 5,10,Ｍサクラハｰレｰ, 52,藤田伸, 0.5, 63,*  3,  -3, 6, 18.6,⑦⑤③, 5, 6,Ｇスｰパｰキャノン, 61,横山典, 0.5, 63,*  4,   5, 3,  5.3,①①①
 6,12,Ｇムｰンストリｰト, 32,田中博, 0.8, 31, -26,   4, 2,  4.1, ⑤⑤, 6, 9, グロｰリｰジョン,,水出大, 1.2,,,, 5,  7.5,②②②, 6, 8,Ｇティンバｰセブン, 59,蛯名正, 1.2, 57,   0,  -4, 5, 12.7,⑫⑩⑪, 6, 8,Ｂサンワｰドブル, 76,後藤浩, 0.6, 70,  -2,  15, 1,  3.2,⑩⑨⑦
 7, 2,Ｃマイネテオリア, 47,後藤浩, 1.1, 33, -29,   8, 9, 35.5, ⑪⑪, 7,12, ワイズタイクｰン,,穂苅寿, 1.3,,,,10, 32.6,⑫⑦⑦, 7, 2,Ｌヤマノフェロｰ, 52,菊沢隆, 1.4, 56,  -1,  -4,16,315.1,⑨⑫⑭, 7, 1,Ｈレッドスタｰライト, 60,大野拓, 1.0, 66,  -3,  14,10,136.1,⑧⑨⑩
 8, 6,Ｈディｰエスプリｰム, 28,石橋脩, 1.1, 31, -26,   5, 8, 24.4, ⑧⑧, 8, 3, ロｰレルハンバｰバ,,金子光, 1.3,,,, 3,  5.8,⑥④⑤, 8, 3,Ｃサムシンググッド, 63,田中勝, 1.6, 55,   0,  -7, 4,  7.0,⑬⑭⑪, 8, 2,Ｊレオティアラ, 50,江田照, 1.1, 60,  -2,   9, 7, 48.4,⑦⑦⑧
