07年 3月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.2,,,,,■10R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,須磨特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆイタリアンオリｰブ, 37,武幸四,, 65,  -9,*  9, 5, 17.7,④④④, 1, 8, アグネスモナク,,南井大,,,,, 3,  5.0,③②③, 1, 6,Ｂヤマカツブライアン, 76,池添謙,, 78,*  5,*  8, 1,  2.0, ②①, 1, 5,Ｈサクライナセ, 70,安藤勝,, 84,   6,* 14, 1,  2.5, ⑦⑦
 2, 6,Ａマｰブルダンサｰ, 54,池添謙, 0.0, 63,* -8,*  8, 1,  2.3,②②②, 2, 9, ポｰトエレガント,,出津孝, 0.0,,,, 1,  2.5,①①①, 2, 2,Ａエノク, 79,岩田康, 0.2, 74,   0,* 12, 2,  2.7, ⑧⑧, 2, 3,Ｂマイケルバロｰズ, 76,武豊  , 0.0, 85,   4,* 17, 2,  3.2, ⑨⑩
 3, 3,Ｂメリッサ, 49,武豊  , 0.7, 51,* -8,   0, 2,  4.2,①①①, 3, 3, スリｰプレアデス,,白浜雄, 0.7,,,, 2,  3.7,⑤④③, 3,10,Ｄナックルパｰト, 65,武豊  , 0.5, 72,   4,   5, 4, 12.5, ⑤④, 3, 4,Ｃアスタｰトリッピｰ, 74,岩田康, 0.2, 80,   9,   8, 6, 14.7, ③⑤
 4,10,Ｃユキノシクラメン, 47,須貝尚, 1.7, 42,  -9,  -8, 3,  4.6,④④④, 4, 7, メイショウアカシ,,植野貴, 0.7,,,, 4,  9.8,②②②, 4, 9,Ｃアｰトオブウォｰ, 67,小原義, 0.5, 72,   2,   7, 3, 12.1, ⑤⑥, 4, 6,Ｉマルカシリウス, 70,岡部誠, 0.3, 76,* 13,   2, 9, 28.3, ①①
 5,11, ワンダｰパｰトナ,---,田村太, 1.8, 44, -15,   0,11,152.8,⑩⑪⑩, 5, 2, トｰワスラッガｰ,,田中亮, 4.4,,,,11, 88.6,⑨⑨⑥, 5, 8,Ｊメルシｰコバン, 56,角田晃, 0.6, 72,   4,   3, 8, 53.3, ③③, 5, 2,Ｐタツシャンハイ, 48,小林徹, 0.5, 75,   6,   6,16,427.8, ⑦⑧
 6, 4,Ｄメイドカフェ, 42,岩田康, 2.5, 39,* -8, -17, 8, 49.3,②②②, 6,13, テイエムトッパズレ,,白坂聡, 5.1,,,,12,115.7,⑧⑧⑥, 6, 7,Ｆワンダｰポデリオ, 64,石橋守, 0.8, 69,   2,   4, 7, 27.7, ⑤⑥, 6,15,Ｇビッグファルコン, 72,石橋守, 0.6, 75,   2,  11, 7, 16.4, ⑫⑫
 7, 2,Ｉパｰプルパンチ, 24,安部幸, 2.6, 37, -11, -13,12,236.7,⑦⑥⑥, 7,14, ミヤコミラクル,,柴田大, 5.4,,,,14,206.2,④④⑤, 7, 5,Ｌゴｰルドアラン, 49,松田大, 0.9, 67,  -1,   7,11,105.0, ⑪⑪, 7,10,Ｊリガｰドシチｰ, 66,長谷川, 0.6, 71,* 11,  -1,12, 90.0, ②②
 8, 8,Ｇキｰラッキｰ, 36,岡部誠, 2.7, 36, -11, -13, 6, 20.7,⑨⑥⑥, 8, 4, ハイタイド,,北沢伸, 6.9,,,, 7, 21.0,⑦⑥⑧, 8,11,Ｈベンティスカ, 61,小牧太, 1.0, 66,   0,   4, 6, 19.8, ⑧⑧, 8,16,Ｋサクセスドマｰニ, 66,千田輝, 0.6, 72,   9,   2,11, 84.6, ⑥④
