07年 4月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.7,,,,,■ 4R  芝2910m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,,■10R  ダ1800m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,端午ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃハッピｰラン, 52,岩田康,, 61, -11,* 10, 3,  4.3, ⑫⑩, 1, 9, テイエムテンライ,,出津孝,,,,, 1,  2.8,①②②, 1, 2,Ａフェルヴィｰド, 75,岩田康,, 68,*  3,   0, 1,  1.7, ②②, 1,10,Ｃロングプライド, 73,河北通,,100,   2,* 25, 1,  2.3,⑨⑩⑤
 2,11,Ａセフティプラスワン, 56,河北通, 0.0, 61,  -9,*  7, 2,  3.6, ⑥④, 2, 1, ホワイトポイント,,熊沢重, 0.2,,,, 2,  4.9,②①①, 2, 6,Ｂゴｰルドネオ, 63,川田将, 0.0, 68,   1,*  5, 3,  5.6, ⑤⑦, 2, 7,Ｇヒシカツリｰダｰ, 69,田嶋翔, 1.1, 72,*  6,   6, 9, 36.1,①①①
 3,13,Ｅワキノドライバｰ, 49,四位洋, 0.1, 60,  -7,*  4, 4,  5.2, ⑥④, 3, 7, サンエムウラノス,,植野貴, 2.7,,,, 4,  6.1,④③③, 3, 7,Ｆオオアタリ, 53,和田竜, 0.2, 65,   2,   0, 4,  8.5, ③④, 3, 4,Ｄマコトスパルビエロ, 72,岩田康, 1.2, 74,   4,   8, 5, 10.7,③③③
 4, 5,Ｂシャインジュエリｰ, 54,高井彰, 0.5, 56,* -5,  -3, 5,  9.3, ②②, 4,12, シルバｰガル,,小坂忠, 2.9,,,, 5, 10.5,⑤④④, 4, 5,Ｅヤマカツティガｰ, 53,田嶋翔, 0.2, 65,   1,*  2, 2,  4.0, ⑤⑤, 4, 9,Ａパルティｰレ, 76,川原正, 1.3, 70,*  6,   4, 2,  5.0,②②②
 5,14, エリモヴィヴィアン,---,安藤勝, 1.0, 51, -10,  -2, 1,  3.6, ⑨⑧, 5, 5, スリｰプレアデス,,白浜雄, 5.7,,,, 3,  5.4,⑩⑦⑥, 5, 1,Ｄマルノパイオニア, 54,小牧太, 1.0, 55,*  4, -17, 6, 36.3, ①①, 5, 3,Ｋケアレスウィスパｰ, 60,金折知, 1.4, 73,   3,   8,10, 37.3,⑥⑥⑦
 6,10,Ｇスリｰリュｰジュ, 38,小林徹, 1.3, 49, -10,  -4,16,460.0, ⑨⑩, 6, 4, アイエススピリット,,宇田登, 7.2,,,, 9, 38.3,⑪⑩⑨, 6, 8,Ｇティンバｰルｰカン, 24,幸英明, 1.3, 51,   1, -16, 7, 65.1, ⑤⑤, 6, 8,Ｅクリｰン, 70,安藤勝, 1.5, 71,   3,   7, 3,  5.1,⑨⑥⑤
 7, 4,Ｄポｰトカンパｰニュ, 50,幸英明, 1.5, 46,* -4, -14, 6, 14.1, ②②, 7,13, ライトニングボｰル,,今村康, 7.9,,,, 6, 12.7,③⑤⑤, 7, 3, ダイモスハｰバｰ,---,下原理, 1.6, 47,  -2, -14, 9,139.9, ⑧⑧, 7, 2,Ｉアドマイヤマジン, 60,川田将, 1.5, 71,   3,   7, 4,  9.4,⑨⑥⑦
 8, 1,Ｆバｰラプレッタ, 47,秋山真, 1.6, 46, -12,  -5, 7, 32.9, ⑬⑩, 8, 3, ロゼッタ,,蓑島靖, 8.9,,,,10, 67.4,⑧⑨⑩, 8, 4,Ｃロｰランクリムゾン, 58,池添謙, 1.7, 47,*  3, -26, 5, 15.7, ③②, 8,12,Ｌアプロｰズヒｰロｰ, 54,和田竜, 2.5, 63,   0,   5,12,124.1,⑫⑪⑪
 9, 3, メイショウマハラニ,---,藤岡康, 2.2, 37,  -8, -19,12,237.7, ④④, 9, 2, ニシノユメヲミセテ,,林満明, 9.6,,,, 7, 15.3,⑤⑥⑦, 9, 9, ブルｰカｰリアン,---,東川公, 2.2, 40,  -2, -23, 8, 77.2, ⑧⑧, 9, 6,Ｊマイネルクルｰガｰ, 60,幸英明, 2.5, 60,   3,  -2, 8, 23.6,⑥⑥⑩
10,12, シキノイロドリ,---,佐藤哲, 2.7, 36, -13, -14, 8, 37.6, ⑮⑭,10, 6, クインリボｰ,,小林慎,11.3,,,,13,189.2,⑧⑧⑧,,,,,,,,,,,,,10, 5,Ｈダイナミックグロウ, 66,小林徹, 3.3, 57,   4, -12, 7, 18.9,③③③
