07年 9月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.7,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■10R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞﾘｰﾝﾁｬﾝﾈﾙC,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａナンヨｰリバｰ, 47,池添謙,, 59,* -1,   0, 1,  1.9, ②②, 1, 6,Ｂニシノドｰン, 59,古川吉,, 65,   5,* -2, 2,  2.8,⑧④②, 1, 8,Ｂニシノアレックス, 65,菊沢隆,, 63,*  2,  -2, 2,  3.3,②①①, 1, 7,Ｅパｰプルカフェ, 65,小島太,, 75,* 10,   1, 3,  8.1,②②②
 2, 2,Ｇエリザベスサクラ, 32,河北通, 0.0, 62,  -7,*  6,11,124.3, ⑥⑥, 2, 7,Ｋマッキｰパシオン, 39,小林徹, 0.7, 59,   0,*  1, 7, 36.4,⑬⑪⑤, 2, 9,Ｃウォｰクライ, 64,古川吉, 0.5, 60,  -1,*  3, 1,  2.6,⑥⑥⑥, 2, 8,Ｃギｰニョ, 66,藤岡佑, 0.0, 74,   9,*  4, 1,  2.0,④③③
 3, 6,Ｂワイルドエキサイト, 46,松田大, 0.2, 56,  -3,  -2, 2,  3.3, ④④, 3, 9,Ｄグランドアムｰル, 55,黛弘人, 0.9, 56,*  6, -16, 4, 16.4,④②②, 2, 6,Ｅノボプレゼンス, 57,佐藤聖, 0.5, 57,   0,  -4, 5, 14.0,③③③, 3, 3,Ｂアイアムザヒロイン, 69,丹内祐, 0.1, 73,   9,   2, 6, 15.9,②③③
 4, 3,Ｅコパノシンオｰ, 37,津村明, 0.2, 59, -12,*  7, 5, 19.9, ⑨⑪, 4, 2,Ｊファストドロウ, 39,芹沢純, 1.4, 55,*  9, -21, 6, 36.0,①①①, 4, 2,Ｄナチュラルウェｰブ, 64,藤岡佑, 0.6, 59,   0,*  0, 4,  6.3,⑤⑤④, 4, 4,Ｆウェディングフジコ, 63,菊沢隆, 0.4, 68,   5,*  3, 7, 20.7,⑨⑨⑤
 5,10,Ｄサユリ, 38,菊沢隆, 0.4, 52,  -4,  -3, 4, 17.7, ④④, 5, 1,Ｃトゥルｰノｰス, 56,藤岡佑, 1.4, 54,   5, -16, 1,  1.9,④④②, 5, 4,Ｇマイネルシｰワ, 51,梶晃啓, 0.7, 57,*  2,  -9, 8, 55.3,①②②, 5, 1,Ｉユメキコウ, 55,小林徹, 0.4, 69,   7,   1, 5, 15.4,⑥⑥⑤
 6, 4,Ｆネバｰグレイス, 34,小原義, 0.6, 50,  -9,  -2, 8, 44.8, ⑥⑨, 6,11,Ｅメタリック, 53,菊沢隆, 2.2, 47,   1, -17, 5, 21.2,⑧⑩⑪, 6,10,Ａマイティｰサンダｰ, 66,小林徹, 1.4, 54,   1, -12, 3,  5.0,③③④, 6,12,Ｈシルキｰパフュｰム, 60,津村明, 0.5, 67,   5,*  4, 9, 56.7,⑩⑨⑨
 7, 1,Ｃダンツシｰキング, 40,川島信, 0.7, 49, -12,   0, 3,  5.6, ⑨⑥, 7, 8,Ｇキングロッチ, 46,田辺裕, 3.3, 40,   4, -31, 9, 81.3,⑧⑧⑥, 7, 7,Ｈメジロラスタバン, 50,津村明, 1.8, 50,  -2,  -9, 6, 15.7,⑥⑥⑦, 7, 2,Ｌセイカベンザイテン, 40,田辺裕, 0.7, 64,   6,  -5,12,268.7,④⑥⑤
 8,12,Ｋランドメタル, -6,藤岡佑, 0.7, 47,  -7,  -5, 9, 83.7, ⑥⑥, 8,13,Ｈグラスハｰブ, 45,勝浦正, 3.6, 38,   3, -33, 8, 38.8,⑦⑧⑧, 8, 1,Ｉブラックレディ, 46,柴原央, 2.5, 47,  -3, -12, 7, 44.3,⑧⑧⑧, 8, 9,Ａステイトリｰデイズ, 69,勝浦正, 0.8, 64,   3,   1, 2,  3.1,⑪⑪⑤
 9, 8,Ｊメイセイカレン, 20,小林徹, 0.8, 44,*  1, -14, 7, 21.2, ②②, 9,10,Ｆスノｰショコラ, 50,草野太, 3.8, 34,   4, -39,10, 83.2,④⑦⑧, 9, 5,Ｊラストアラシ, 40,河北通, 5.3, 35,  -5, -32,10, 85.6,⑧⑨⑨, 9,10,Ｄシルキｰフレンド, 65,的場勇, 1.0, 61,   3,   1, 8, 37.5,⑫⑫⑪
10, 7,Ｈアドリｰム, 27,勝浦正, 1.0, 41,*  1, -17, 6, 20.2, ①①,10, 3,Ｉミッシｰマインド, 41,丸田恭, 4.6, 29,   5, -49,11,208.3,②④⑧,10, 3,Ｆウィンディｰロｰド, 53,川島信, 8.3, 12, -12, -40, 9, 55.7,⑩⑩⑩,10, 6,Ｇフィフスアベニュｰ, 62,池添謙, 1.4, 57,* 10, -23, 4, 14.8,①①①
11,11,Ｌファンシｰレディ,-24,的場勇, 1.7, 28, -19, -13,12,210.8, ⑫⑪,11,12,Ｌカシノベガスタｰ, 28,佐藤聖, 5.3, 27,  -4, -41,12,247.1,⑪⑫⑫,,,,,,,,,,,,,11,11,Ｊリッカムテキ, 55,芹沢純, 1.9, 52,   6, -20,10,107.2,⑥⑥⑪
12, 5,Ｉトスティ, 24,佐藤聖, 1.8, 26, -14, -19,10,114.0, ⑨⑨,12, 4,Ｍビッグアジュｰル, 25,柴原央, 5.6, 28,  -5, -39,13,397.4,⑫⑬⑫,,,,,,,,,,,,,12, 5,Ｋヴィンテｰジ, 48,鈴来直, 2.2, 47,   7, -29,11,122.1,⑥③⑨
,,,,,,,,,,,,13, 5,Ａヤマタケフレッシュ, 59,小島太, 5.9, 22,*  6, -63, 3,  7.0,③②⑥,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+17 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:2),,,,,,,,,,,
"単勝:190円 複勝:09=120円 02=1,340円 06=130円 枠連:7,370円",,,,,,,,,,,,"単勝:280円 複勝:06=150円 07=670円 09=330円 枠連:1,920円",,,,,,,,,,,,単勝:330円 複勝:08=150円 06=250円 09=120円 枠連:500円,,,,,,,,,,,,単勝:810円 複勝:07=200円 08=120円 03=280円 枠連:650円,,,,,,,,,,,
