07年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.0,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳴海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃデットオアアライブ, 50,津村明,, 70,*  7,   2, 3,  4.9, ①①, 1,13,Ｆマイサイドキック, 54,和田竜,, 63,*  0,*  3, 6, 13.6,③④②, 1, 6,Ａラブリｰコンサｰト, 70,的場勇,, 66,*  2,*  3, 1,  2.2,⑧⑤③, 1, 7,Ｏフミノパッション, 60,上村洋,, 76,*  7,   7, 2,  4.5,③②②
 2, 7,Ｂミステリアスバイオ, 51,上村洋, 0.0, 70,*  6,*  3, 1,  2.9, ②②, 2, 7,Ａディｰプスカイ, 61,野元昭, 0.1, 62,  -1,*  3, 1,  2.5,⑧④⑤, 2, 2,Ｂコスモシレナ, 60,宮崎北, 0.4, 61,   1,   0, 5, 14.8,⑦⑦⑥, 2,14,Ｋシゲルタック, 63,中村将, 0.0, 75,   3,* 18, 4,  6.8,⑫⑬⑩
 3, 5,Ｊダノンモンスタｰ, 35,的場勇, 0.5, 61,   2,  -1, 6, 13.5, ③③, 3, 9,Ｂシャイニングデイ, 58,浜中俊, 0.1, 57,  -5,*  4, 2,  3.7,⑪⑧⑦, 3, 3,Ｄオンワｰドカミｰノ, 58,大下智, 0.7, 57,  -5,*  7,10, 57.5,⑮⑭⑭, 3, 8,Ｊエテルノ, 64,中舘英, 0.2, 73,   7,   6, 3,  5.2,⑤⑤⑤
 4, 4,Ｆメイショウシシリｰ, 40,藤岡康, 0.5, 61,  -7,*  4, 7, 20.9, ⑥⑥, 4, 3,Ｊトキノプリンセス, 44,中村将, 0.2, 60,*  0,  -4, 9, 44.8,①①①, 4,14,Ｆスズカゲラン, 56,河北通, 0.8, 61,*  3,  -4, 4, 12.1,③③③, 4, 5,Ｇオｰプンセサミ, 65,柴原央, 0.3, 72,   3,* 13, 7, 14.7,⑫⑬⑭
 5, 6,Ｎビッグロｰズ, 22,古川吉, 0.9, 57,  -7,   2,14,180.9, ⑥⑥, 5,15,Ｅワンダフルユｰス, 55,石橋脩, 0.6, 56,*  0,  -6, 5, 10.9,⑤④⑤, 5, 9,Ｅヴィヴィッドカラｰ, 58,中舘英, 0.9, 59,   0,   0, 3,  5.7,⑨⑨⑧, 5, 1,Ｉニシノコンドコソ, 64,大野拓, 0.4, 71,   6,   6, 5,  9.4,⑤⑧⑧
 6,12,Ａカミングラック, 52,太宰啓, 1.0, 56, -13,*  5, 2,  4.2, ⑪⑪, 6,16,Ｈマッシュアップ, 47,津村明, 0.6, 56,*  0,  -8, 8, 37.2,③②②, 6, 7,Ｃフロｰネ, 59,田中健, 1.1, 57,*  3, -10, 2,  3.5,②①②, 6,10,Ｄマイネルブリアｰ, 68,安藤光, 0.6, 68,   6,   3,10, 36.6,⑪⑧⑤
 7,15,Ｈヴァイサｰブリッツ, 37,中舘英, 1.0, 55,   2,  -5, 4,  5.9, ③③, 7, 2,Ｋスマｰトキャスタｰ, 37,川島信, 1.0, 50,  -3,  -6, 7, 35.6,⑤⑩⑦, 7,11,Ｈスプリングダイアン, 54,石橋脩, 1.2, 58,*  3,  -8, 7, 26.9,⑤③③, 7,16,Ｃベルモントルパン, 69,石橋脩, 0.8, 66,   7,  -3, 8, 18.0,⑧⑤②
 8, 8,Ｋトキメキボストン, 33,大野拓, 1.6, 46, -11,  -3, 9, 48.2, ⑧⑧, 8, 5,Ｄイノセントスカイ, 57,中舘英, 1.1, 50,  -1, -12, 3,  5.3,⑤④⑦, 8,13,Ｍキョウコマチ, 46,小原義, 1.6, 53,  -2,  -2,15,232.5,⑬⑬⑫, 8, 2,Ｅミヤコノカｰン, 66,嘉藤貴, 0.8, 66,   5,   1,12, 82.2,⑨⑪⑩
