07年 7月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13.8,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■10R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,下北半島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂジョイフルスマイル, 39,藤岡佑,, 59,*  1,* -5, 5,  7.5, ②②, 1, 3,Ｄウエストライン, 54,勝浦正,, 60,  -1,*  0, 6, 19.5,④③③, 1, 2,Ａスプリングザスパ, 70,田中博,, 68,*  5,   1, 1,  3.0,⑦②②, 1, 5,Ａファインドロップ, 77,宮崎光,, 80,*  9,  12, 2,  3.7, ①①
 2, 5,Ｇクリｰルトルネｰド, 29,武幸四, 0.4, 49,  -4,  -6, 6, 17.0, ④④, 2,11,Ｂエアリｰズ, 58,藤岡佑, 0.0, 60,* -1,  -1, 4, 13.0,④③②, 2, 3,Ｃキタノアラワシ, 67,秋山真, 0.1, 68,   3,*  6, 2,  3.6,⑨⑥④, 2, 7,Ｂサニｰアンジェリカ, 71,秋山真, 0.0, 83,   3,* 18, 5, 12.6, ④④
 3, 2,Ｅライダｰカップ, 31,古川吉, 0.5, 47,  -5,  -6, 4,  6.1, ④④, 3, 8,Ｃマｰブルジｰン, 55,北村友, 0.2, 56,  -3,* -1, 3,  7.2,⑦⑤④, 3,11,Ｉサクセスガｰウィン, 57,藤田伸, 0.6, 66,*  6,  -3, 3,  5.5,③①①, 3, 3,Ｄヒシエンジェル, 70,田嶋翔, 0.1, 82,   3,* 17, 4, 10.0, ④④
 4, 6,Ｆセイカカリンバ, 30,津村明, 0.6, 44,  -8,* -5, 7, 33.7, ⑥⑥, 4,10, フェニックスハｰト,---,四位洋, 0.2, 58,  -3,*  1, 2,  4.4,⑨⑧⑦, 4, 5,Ｇワイルドキング, 57,藤岡佑, 0.8, 62,   2,   1, 6, 14.7,⑩⑨⑧, 4,11,Ｃヤマニンエマイユ, 70,四位洋, 0.3, 78,   2,  15, 1,  1.9, ④④
 5, 7,Ｄマイネルエｰス, 31,長谷川, 0.8, 41,  -8,  -8, 2,  3.6, ⑥⑦, 5,12,Ｇマルタｰズストｰム, 48,松田大, 0.3, 57,  -2,  -1, 8, 33.2,⑥⑤④, 5, 1,Ｄスピｰドウエル, 61,武英智, 0.8, 63,   3,  -2, 9, 30.3,⑩⑥③, 5, 4,Ｈハッピｰムｰド, 67,須貝尚, 0.5, 75,  -2,  15, 8, 30.4, ⑦⑦
 6, 8,Ａディｰエスルｰラｰ, 42,菊沢隆, 0.8, 41,  -8,  -8, 1,  3.5, ⑥⑦, 6, 1,Ｉヒノデプリンセス, 43,郷原洋, 0.7, 53,  -4,  -3,11, 74.9,⑨⑨⑦, 6, 8,Ｂグラマトフィラム, 67,佐藤聖, 1.2, 58,   3,  -6, 4,  6.9,⑥⑥⑦, 6, 8,Ｋタｰニングリｰフ, 48,横山典, 0.7, 69,  -2,  12, 6, 21.3, ⑦⑨
 7, 9,Ｉエリザベススイｰト,  9,柴山雄, 1.1, 38, -11,  -9, 8, 44.0, ⑨⑨, 7, 6,Ａジョｰリゴラス, 64,長谷川, 0.9, 53,*  0, -12, 1,  1.8,②①①, 7,10,Ｆスズライトアップ, 58,鈴来直, 2.0, 54,*  6, -17, 8, 25.2,②②④, 7, 6,Ｅセイヴィングス, 69,藤田伸, 0.8, 65,*  6,   3, 3,  9.0, ②②
 8, 1,Ｈノボメル, 27,勝浦正, 2.0, 30,*  3, -36, 9, 54.0, ①①, 8,13,Ｆマキシマムフォｰス, 48,秋山真, 1.6, 46,  -4, -11, 9, 42.5,⑧⑨⑨, 8, 6,Ｅパスクア, 58,伊藤直, 2.5, 51,*  6, -21, 5,  8.6,①②④, 8, 9,Ｇエムオｰミラクル, 67,田中博, 0.8, 66,  -2,  10, 7, 22.8, ⑦⑦
