07年10月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三年坂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂレインボｰペガサス, 53,安藤勝,, 68, -11,* 12, 1,  1.8,⑧⑨⑥, 1, 9, ブラックコンドル,,小坂忠,,,,, 3,  5.1,③①①, 1, 5,Ｂミヤビランベリ, 75,岩田康,, 82,*  6,* 13, 1,  3.6,①①①, 1,12,Ｆオｰシャンエイプス, 74,武豊  ,, 86,  -8,* 29, 1,  1.5, ⑨⑤
 2, 3,Ａナムラハｰン, 53,藤岡佑, 0.3, 57,* -8,   3, 4,  8.8,⑤④④, 2, 8, ジャイアンツエｰル,,白浜雄, 0.0,,,, 4, 12.0,⑦②②, 2, 1,Ｌシルバｰブレイズ, 62,安藤勝, 0.4, 81,   1,* 17, 2,  4.2,⑪⑪⑦, 2, 9,Ｄディｰプスピリット, 75,ペリエ, 0.2, 83, -10,* 29, 5, 15.9, ⑪⑨
 3,15,Ｅマイハｰトマイラブ, 43,岩田康, 0.5, 54,  -8,   2, 2,  5.8,④④③, 3, 7, ワンダｰシンゲキ,,植野貴, 0.1,,,, 2,  4.9,②④③, 3, 6,Ｇテンエイヤシャマル, 68,上村洋, 0.5, 76,*  4,   9, 8, 39.2,④④④, 3, 7,Ｈフミノバラｰド, 72,角田晃, 0.3, 70,* -4,  18, 9, 33.9, ②②
 4,16,Ｃキアｰロ, 46,田中健, 0.5, 53, -11,*  2, 9, 59.2,⑦⑦⑤, 4, 2, パルティアシチｰ,,南井大, 0.4,,,, 1,  1.9,①③③, 4, 4,Ｅボｰテセレスト, 72,田中勝, 0.7, 76,   1,* 13,11, 58.0,⑫⑫⑩, 4,13,Ｉオリオンオンサイト, 71,芹沢純, 0.4, 66,* -2,  14, 8, 30.5, ①①
 5, 6,Ｐマイネルウォルビス, 16,福永祐, 0.7, 50,* -7,  -3, 3,  7.5,②②②, 5, 6, トｰタチス,,仲田雅, 0.5,,,,10, 75.5,③⑤⑤, 5,10,Ｍマヤノゴクウ, 61,福永祐, 0.7, 75,*  4,   7, 6, 13.9,⑥⑤⑤, 5, 4,Ｇハチマンダイボサツ, 74,幸英明, 0.5, 68,  -6,  18, 2,  8.0, ④④
 6, 5,Ｈエｰシンダボｰブイ, 38,幸英明, 1.5, 44, -10,  -5, 7, 23.4,⑧⑧⑨, 6,10, ゴｰルゲッタｰ,,金折知, 0.8,,,, 6, 27.7,⑧⑥⑥, 6, 3,Ａステップシチｰ, 77,武豊  , 0.7, 76,   1,* 13, 3,  4.7,⑩⑩⑩, 6,11,Ｌフレジェｰル, 66,藤岡佑, 0.6, 65,  -6,  17, 7, 27.5, ④⑤
 7,14,Ｄシゲルエスペレ, 46,船曳文, 1.8, 37, -11, -11,10, 70.9,⑤⑥⑥, 7, 3, マルカフレンチ,,西谷誠, 1.7,,,, 5, 12.1,⑤⑧⑧, 7,13,Ｆツルマルオジョウ, 71,荻野琢, 1.2, 64,*  4,  -6, 7, 21.0,②②②, 7, 6,Ｃビンチェロ, 78,上村洋, 0.6, 66,  -7,  18, 4, 11.6, ④⑤
 8,12,Ｋユグドラシル, 35,ペリエ, 2.4, 38, -14,  -6, 6, 16.4,⑬⑬⑭, 8, 4, バリトンヴォイス,,岩崎祐, 3.1,,,,13,133.1,⑨⑨⑧, 8, 9,Ｊワンダｰポテンシア, 64,渡辺薫, 1.2, 69,   3,   2,10, 55.6,⑥⑦⑦, 8,10,Ａバｰジンフォレスト, 85,岩田康, 0.7, 74, -12,* 26, 3,  9.3, ⑬⑬
