07年10月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12.6,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,,■ 7R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,,■10R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 9,Ｅエフテママサンデｰ, 30,佐藤哲, 3.7, 17, -13, -28, 7, 40.8,⑧⑥⑨,12, 2,Ｈダンツクラフト, 56,石橋脩, 4.2, 31,   2, -40, 7, 21.9,①③⑧,12, 7,Ｍパピュラ, 45,中村将, 1.5, 52,   0,  -3,14,150.7,⑭⑭⑭,12,14,Ｅシュトラウス, 65,安藤光, 0.8, 53, -10,  16,13, 52.8,⑤⑤⑤
13, 3,Ｉクリノメンバｰワン, 20,的場勇, 4.0, 19, -19, -23,14,223.3,⑬⑭⑬,13, 9,Ｍシルキｰソフィア, 37,西田雄, 5.0, 28,  -3, -38,12,172.0,⑨⑪⑪,13, 9,Ｊシュウザンゴｰルド, 58,鈴来直, 1.7, 52,   7, -17,10, 22.6,⑩⑫⑨,13, 3,Ｎマルタカデトリア, 59,西田雄, 0.8, 62, -14,  23,14, 53.5,⑪⑬⑭
14, 5,Ｌキリシマセブン, 14,二本柳, 4.4, 11, -17, -27,13,198.0,⑥⑬⑬,,,,,,,,,,,,,14, 5,Ｄパシコグランルビｰ, 61,中舘英, 2.2, 49,* 13, -34, 9, 21.7,②②②,14,12,Ｌスタｰマップ, 61,高橋智, 0.9, 54, -13,  19,10, 38.7,⑧⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｏスズカボｰイ, 59,中村将, 1.0, 49, -13,  15,15, 93.7,⑦⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｉジャックレイホウ, 62,的場勇, 2.1, 37, -17,   7,11, 44.3,⑭⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:良(指数:0),,,,,,,,,,,
単勝:150円 複勝:02=110円 13=320円 14=170円 枠連:360円,,,,,,,,,,,,単勝:360円 複勝:04=160円 06=260円 08=200円 枠連:740円,,,,,,,,,,,,"単勝:1,260円 複勝:08=310円 10=150円 12=200円 枠連:1,660円",,,,,,,,,,,,"単勝:1,180円 複勝:05=300円 04=190円 02=510円 枠連:810円",,,,,,,,,,,
"馬連:1,140円 ワイド:02-13=460円 02-14=240円 13-14=790円",,,,,,,,,,,,"馬連:2,320円 ワイド:04-06=830円 04-08=450円 06-08=1,100円",,,,,,,,,,,,"馬連:1,890円 ワイド:08-10=720円 08-12=960円 10-12=510円",,,,,,,,,,,,"馬連:2,540円 ワイド:04-05=870円 02-05=2,780円 02-04=1,190円",,,,,,,,,,,
