07年 4月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｌファステック, 29,松岡正,, 51, -10,*  1, 5, 12.1, ⑤⑧, 1, 7, マルブツシルヴァｰ,,西谷誠,,,,, 2,  2.9,①①①, 1,10,Ａトｰセンアｰチャｰ, 69,鮫島良,, 62,*-11,  15, 1,  2.5, ②②, 1,15,Ａセンカク, 85,江田照,, 78,   9,   9, 4, 10.2,⑦⑧⑦
 2,10,Ｈテンジンイナバウア, 39,田中剛, 0.1, 49, -14,*  4, 9, 44.1, ⑬⑬, 2, 9, リバｰスプライト,,今村康, 0.6,,,, 4,  6.9,③②②, 2, 6,Ｇオペラダンディ, 57,後藤浩, 0.0, 62,*-10,  15, 6, 22.5, ①①, 2,14,Ｈウォｰライクトニｰ, 80,小牧太, 0.1, 78,   7,* 15,11, 40.3,⑬⑫⑫
 3, 1,Ｂスマｰトフォルム, 53,柴山雄, 0.2, 48, -14,*  3, 1,  2.7, ⑬⑬, 3, 3, エスケｰアパッチ,,五十嵐, 0.8,,,, 3,  6.1,⑤④③, 3, 3,Ｆアドマイヤワｰルド, 59,田中勝, 0.1, 64, -12,  17, 3,  5.0, ③③, 3, 1,Ｋマルタカハｰモニｰ, 77,鮫島良, 0.1, 78,   6,* 17, 7, 20.4,⑮⑮⑬
 4,15,Ｆアサヒミラクル, 43,田中勝, 0.3, 48, -10,  -2, 3,  6.5, ⑧⑧, 4,10, タイキダイナスティ,,横山義, 0.9,,,, 1,  2.7,⑥⑨⑧, 4, 4,Ｄトｰセンゴライアス, 61,柴田善, 0.2, 62, -12,  16, 2,  2.8, ③③, 4, 7,Ｇタｰキｰ, 80,後藤浩, 0.2, 78,  11,   7, 2,  4.0,⑦⑥⑦
 5, 2,Ａシャｰペンセンス, 53,柴田善, 0.7, 46,* -3, -14, 2,  2.7, ①①, 5, 8, メモリｰオブヨｰク,,山本康, 1.8,,,, 5, 12.6,⑫⑫⑩, 5, 9,Ｅゴｰルドマイン, 61,江田照, 0.5, 61, -14,  17, 5, 12.5, ⑤⑤, 5, 9,Ｆアクレイム, 80,田中勝, 0.3, 79,  13,   3, 1,  3.0,⑥⑥⑤
 6, 7,Ｊウメノカイウン, 37,石神深, 0.7, 43, -13,  -3,11, 69.7, ⑩⑪, 6, 2, シャコｰバニラ,,浜野谷, 2.2,,,, 8, 68.0,②③③, 6, 5,Ｂカロンセギュｰル, 62,松田大, 0.6, 61, -15,* 17, 7, 31.7, ⑦⑥, 6, 8,Ｉトウカイハッスル, 78,柴山雄, 0.5, 72,   7,   5,15,160.0,⑪⑪⑨
 7,12,Ｇユミ, 40,菊沢隆, 0.8, 43, -11,  -6, 8, 39.8, ⑪⑧, 7,12, キングポッシブル,,柴田未, 2.3,,,,14,181.4,⑪⑤⑤, 7, 2,Ｃスプリングヘッド, 62,松岡正, 0.8, 61, -17,* 19, 8, 44.2, ⑦⑧, 7, 2,Ｄサニｰネイティブ, 82,松田大, 0.7, 70,   6,   7,14, 62.7,⑪⑫⑬
 8,14,Ｋトンメイ, 36,津村明, 1.0, 40, -13,  -6,13,162.5, ⑫⑪, 8,11, カズノダンシング,,田中剛, 2.5,,,, 7, 36.6,⑥⑨⑩, 8, 8,Ｈピサノダヴィンチ, 52,津村明, 1.6, 48, -18,  12, 4, 12.1, ⑨⑧, 8,16,Ｅコスモテナシャス, 81,松岡正, 0.7, 72,* 13,  -8, 5, 13.4,⑤④③
