07年12月 8日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 8日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.7,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,つわぶき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｆパレスミサイル, 39,田嶋翔,, 71,* -8,* 13, 7, 34.2,③③③, 1, 7, ムｰドインディゴ,---,上村洋,, 74, -20,* 26, 1,  2.0,⑦⑦⑥, 1, 7,Ｅフォｰリクラッセ, 64,津村明,, 67,  -1,*  8, 2,  4.2,④③③, 1, 8,Ｂメイプルストリｰト, 72,中舘英,, 60,  -6,* 11, 5, 10.6, ⑬⑬
 2, 2,Ａシｰアクロス, 51,長谷川, 0.2, 64,* -6,*  8, 1,  2.1,①①①, 2,13, ミスズオペラ,---,中舘英, 0.1, 61,*-16,* 16, 2,  4.3,②②②, 2,12,Ｊメイショウエンジン, 59,浜中俊, 0.5, 62,  -5,*  6, 6, 11.1,⑩⑧⑧, 2,11,Ｋアイリッシュカフェ, 49,赤木高, 0.1, 64,   7,  -3, 4,  7.9, ④⑤
 3, 9,Ｏメイショウセンゴク,-44,古川吉, 1.0, 59, -10,*  7,12, 69.3,⑩⑤④, 3, 9, マルイチポケット,---,渡辺薫, 0.4, 52,*-16,  12, 5, 15.8,⑦②②, 3, 8,Ｂゴｰルデンヴィット, 66,千葉直, 0.5, 62,  -5,*  6, 8, 17.1,⑨⑧⑧, 3, 7,Ｄマルカベスト, 65,安藤光, 0.2, 66,* 10,  -7, 1,  2.4, ②②
 4, 4,Ｂアグネスボンバｰ, 51,的場勇, 1.6, 44,* -8,  -6, 2,  3.6,②②②, 4, 3, メイショウラフログ,---,田嶋翔, 0.7, 48, -17,  10, 3,  8.7,⑤⑤④, 4,14,Ｆアルタントプチ, 63,的場勇, 0.6, 60,* -1,   0, 3,  5.5,④③③, 4, 4,Ｊエｰティｰドン, 57,石橋脩, 0.3, 58,   2,  -1,10, 32.0, ⑦⑦
 5,13,Ｄフサイチエゴイスト, 43,上村洋, 1.8, 46, -10,  -1, 3,  6.1,⑤⑤⑤, 5,14, オブコｰス,---,浜中俊, 0.9, 36,*-18,   2, 4, 11.7,②②④, 5, 6,Ｍスリｰスピリット, 52,荻野琢, 0.9, 59,  -7,*  6,14,236.5,⑫⑩⑩, 5, 6,Ｇシルクストレングス, 58,長谷川, 0.4, 58,   6,  -6, 3,  6.4, ⑥⑤
 6,10,Ｃナリタシャトル, 43,河北通, 2.5, 39, -11,  -6, 4,  9.5,⑦⑧⑧, 6,10, エｰケｰサンライズ,---,小牧太, 1.1, 37,*-15,  -1, 6, 17.3,①①①, 6, 5,Ｌハングインゼア, 58,柴原央, 1.2, 60,  -7,*  8, 5, 10.5,⑩⑫⑪, 6,12,Ｈミティｰク, 58,上村洋, 0.5, 54,   1,  -3, 6, 11.6, ⑨⑩
 7, 8,Ｈシゲルレスポワｰル, 35,小牧太, 2.9, 37, -13,  -7, 6, 29.9,⑦⑨⑨, 7, 8, オリエンス,---,安藤光, 1.7, 34, -23,   6,15,188.9,⑫⑨⑧, 7, 3,Ｋマｰブルジｰン, 58,田中克, 1.3, 54,  -3,  -4, 7, 15.3,⑦⑥⑥, 7, 9,Ｆマジックモｰメント, 59,的場勇, 0.6, 54,   4,  -7, 9, 30.6, ⑦⑦
 8,14,Ｇカシノマルス, 38,西田雄, 3.1, 36, -10, -13, 8, 44.2,⑥⑤⑥, 8, 2, エｰシンディｰエス,---,野元昭, 2.2, 29, -18, -11, 8, 18.3,⑪⑤⑥, 8, 9,Ｃキタサンダイオウ, 65,宮崎北, 1.5, 55,  -9,   5, 9, 18.5,⑭⑬⑪, 8, 2,Ｉナムラウィッシュ, 57,渡辺薫, 0.6, 52,  -1,  -3, 7, 16.2, ⑨⑪
 9, 1,Ｋプレｰザキング, 33,田中健, 3.3, 35,*-10, -20, 9, 59.4,③④⑥, 9, 5, デンコウレｰナ,---,太宰啓, 2.5, 24, -25,  -2,12, 74.6,⑬⑪⑨, 9,11,Ｈアイアムポセイドン, 60,大野拓, 1.5, 54,*  1, -10, 4,  7.9,②②①, 9, 1, ミサトバレｰ,---,菊沢隆, 0.6, 53,   1,  -4,12,107.0, ⑨⑦
10,11,Ｉメイショウインダス, 34,渡辺薫, 3.3, 34, -13, -11, 5, 16.5,⑩⑨⑨,10, 1, ワイルドヒｰロｰ,---,芹沢純, 2.8, 23, -26,  -5, 9, 48.8,⑨⑪⑫,10,13,Ｉマイネルハヤト, 59,田辺裕, 1.6, 54,*  0,  -9,10, 28.2,④③③,10,13,Ｅラインルｰジュ, 62,松田大, 0.6, 61,* 12, -15,11, 42.4, ①①
11,12,Ｊアポロハマｰ, 33,池田鉄, 4.2, 32, -13, -19,14,235.8,⑦⑨⑪,11, 4, ジェネロｰゾ,---,赤木高, 3.3, 18, -29,  -7, 7, 17.9,⑬⑬⑬,11,10,Ｇニホンピロアニカ, 63,北村浩, 1.7, 54,  -2,  -7,11, 34.9,⑦⑥⑥,11, 3,Ｃアラマサロビンソン, 69,津村明, 0.8, 53,   7, -14, 8, 28.2, ④②
