07年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■10R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三峰山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａタマモスクワｰト, 56,横山典,, 63,* -7,*  6, 1,  2.8, ②②, 1,11, ゴスホｰクケン,---,田中勝,, 67,  -2,*  9, 1,  1.7, ⑤③, 1, 2,Ａリックチョモランマ, 67,柴山雄,, 68, -10,* 16, 1,  2.2, ⑩⑧, 1, 8,Ｉホｰマンブラヴォｰ, 67,岩田康,, 74,   7,   7, 5, 12.2, ⑦⑦
 2, 6,Ｄコパノシンオｰ, 48,藤田伸, 0.5, 55, -12,*  5, 3,  4.7, ⑧⑦, 2, 8, ロングキｰブリッジ,---,藤田伸, 0.4, 63,  -5,*  7, 5, 12.7, ⑥⑥, 2, 3,Ｊフサイチカムｰン, 58,土谷智, 0.2, 60,* -9,  10, 7, 24.0, ③③, 2,14,Ｄセレスケイ, 72,横山典, 0.0, 74,  10,   2, 6, 12.8, ④④
 3,13,Ｂキングスグリｰム, 55,岩田康, 0.5, 51,* -8,   0, 2,  3.1, ③③, 3, 5, ウォｰタｰボｰイズ,---,横山典, 0.6, 58,*  0,  -4, 2,  3.5, ②②, 3, 7,Ｃメンバｰズボンド, 66,田中勝, 0.2, 63,  -9,* 13, 3,  6.1, ⑤⑤, 3,16,Ｅフサイチウィｰド, 70,田中剛, 0.5, 70,* 12,  -7, 3,  7.1, ②②
 4, 3,Ｍレッツゴｰヒチョリ, 20,丹内祐, 0.5, 52, -10,   2, 8, 41.5, ④④, 4, 3, カワキタライジン,---,津村明, 0.7, 58,  -2,  -2, 7, 35.2, ③③, 4, 4,Ｉカｰデナルポイント, 59,吉田豊, 0.2, 59,* -7,   8,10, 60.4, ①①,15, 7,Ｃマナｰハウス, 73,江田照, 0.7, 68,  10,  -5, 7, 13.8, ④④
 5, 5,Ｈダイワデュｰク, 38,田中勝, 0.6, 50, -10,   0, 5, 11.8, ④④, 5, 1, マルタカラッキｰ,---,岩田康, 1.2, 50,*  1, -15, 3,  9.1, ①①, 5, 8,Ｇテンジンニチオｰ, 61,勝浦正, 0.3, 63, -11,* 13, 6, 14.2, ⑧⑧, 4, 6,Ｊヤマビコ, 65,田辺裕, 0.7, 67,  -3,* 14,10, 48.7, ⑬⑪
 6, 7,Ｃモリトパラダイス, 53,的場勇, 0.8, 46, -15,   0, 4,  8.3, ④⑧, 6, 9, リリイメイド,---,石橋脩, 1.4, 51, -15,*  6,10,176.0, ⑩⑩, 6, 6,Ｄラインステッチ, 63,横山典, 0.4, 56,* -8,   7, 2,  5.0, ②②, 5,12,Ｈデジデｰリオ, 67,丹内祐, 0.8, 67,  -2,* 13,12, 83.3, ⑩⑪
 7, 2,Ｊコスモホウキボシ, 37,梶晃啓, 1.1, 40, -14,  -4,12,206.5, ⑧⑧, 7, 6, スズノエイユウ,---,北村宏, 1.7, 45,  -6, -12, 4, 11.9, ⑦⑥, 7,11,Ｈユウタｰストライプ, 59,北村宏, 0.9, 54, -12,   8, 9, 26.8, ⑩⑩, 6,13,Ｂスズノメヒョｰ, 76,柴山雄, 0.8, 67,* 12, -10, 2,  5.8, ②②
 8, 4,Ｆレオパンドラ, 41,西田雄, 1.3, 37,* -7, -16, 6, 23.5, ①①, 8,10, クレバｰボブ,---,加藤士, 1.9, 44,  -9, -10, 6, 28.4, ⑦⑧, 8, 5,Ｅリスティアプロトス, 62,藤田伸, 1.1, 51, -11,   7, 8, 26.6, ⑧⑩, 7, 5,Ｏロｰドウィズダム, 59,吉田豊, 0.9, 66,   2,   6,14,191.9, ⑨⑨
