07年 8月11日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月11日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.2,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,,■ 7R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浦佐特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａフラミニアンウェイ, 48,後藤浩,, 69,*  9,  -5, 1,  1.8,   , 1,10,Ｆアサヒバロン, 48,小野次,, 68,  -7,* 14, 1,  2.5, ⑤⑤, 1, 8,Ｄマイネアプレイザｰ, 53,吉田隼,, 71,   5,*  8, 2,  4.2,⑥⑤④, 1, 7,Ｃバトルスタｰボウ, 69,吉田隼,, 77,  -6,* 25, 4,  5.8, ⑩⑧
 2, 6,Ｃバロンダンス, 44,穂苅寿, 0.4, 56,*  4,  -8, 2,  4.5,   , 2,12,Ｇオンワｰドテイト, 45,加藤士, 0.2, 60,* -6,   8, 9, 41.3, ②②, 2, 4,Ａスズカサンバ, 57,蛯名正, 0.1, 70,*  6,*  2, 1,  1.9,⑤②②, 2, 2,Ｈマイネルグラナｰテ, 64,松岡正, 0.0, 75,  -7,* 24, 6, 20.3, ⑧⑧
 3, 8,Ｅシャｰプブルｰベル, 36,小野次, 0.7, 44, -13,* -2, 6, 25.1,   , 3,13,Ｈピンクキャンドル, 44,福永祐, 0.3, 63,  -9,* 13, 3,  6.2, ⑧⑦, 3, 5,Ｆドンラミロ, 51,北村宏, 0.8, 62,*  5,  -5, 6, 24.9,⑩④④, 3,10,Ｇミココロ, 65,大野拓, 0.2, 65,  -4,  17, 9, 60.2, ③③
 4, 2,Ｂマチカネハルノコエ, 46,村田一, 1.1, 36,  -6, -13, 3,  6.2,   , 4, 7,Ｄテンジンチカラ, 52,大野拓, 0.6, 49,* -5,  -1, 5, 12.1, ②②, 4, 7,Ｂマルタカフィンガｰ, 57,中舘英, 1.1, 59,*  7, -16, 3,  8.2,②①①, 4, 6,Ｂコスモフリｰダム, 71,柴田善, 0.2, 60,* -3,  12, 5,  9.5, ②②
 5, 5,Ｄコスモドリｰミン, 42,木幡初, 1.7, 26,  -3, -25, 5, 16.8,   , 5,11,Ａギガンティア, 57,木幡初, 0.7, 48,* -4,  -3, 2,  3.4, ①①, 5, 9,Ｃジョウテンダｰク, 56,後藤浩, 2.1, 50,*  6, -27, 4,  8.5,⑥②③, 5, 3,Ａマイネルメロス, 75,後藤浩, 0.5, 58,  -3,  11, 2,  4.6, ③③
 6, 9,Ｉノットアトランダム, 20,田中博, 1.8,-34, -37,  -7, 9,121.5,   , 6, 8,Ｉカゼノマイ, 40,宮崎北, 0.8, 52, -14,*  8,11,130.5, ⑧⑩, 6,14,Ｌシルキｰメイン, 40,小野次, 2.7, 44,   4, -30,13,263.4,⑥⑧⑥, 6, 4, ハイベットタイム,---,今野忠, 1.0, 50,  -5,   5, 7, 28.2, ⑤⑤
 7, 4,Ｇロスアンゼルス, 31,二本柳, 1.9, 23,  -6, -26, 4,  7.1,   , 7,14,Ｂメイショウポジリポ, 56,吉田隼, 0.9, 50, -10,   5, 6, 16.9, ⑧⑦, 7, 1,Ｅマｰルロッソ, 52,千葉直, 3.0, 39,   2, -36, 8, 32.6,③⑧⑧, 7, 8,Ｄジョイザラス, 67,北村宏, 1.0, 51,  -7,   8, 3,  5.5, ⑧⑧
 8, 1,Ｈベニノアイ, 25,水出大, 1.9, 24,  -1, -30, 7, 26.9,   , 8, 3,Ｎカズサスマｰト,  2,穂苅寿, 1.0, 45,* -6,  -3,12,162.5, ④④, 8, 2,Ｎアレイオン, 31,武士沢, 3.1, 42,   0, -27,15,366.0,⑫⑪⑨, 8, 5,Ｅショウナンライジン, 67,吉田豊, 1.1, 52,* -1,  -6, 1,  2.3, ①①
 9, 3,Ｆチッタディディｰオ, 32,武士沢, 2.2, 19,  -1, -35, 8, 31.0,   , 9, 5,Ｃウェディングフジコ, 54,柴田善, 1.2, 47, -13,   5, 4,  9.6, ⑪⑩, 9, 3,Ｈオｰシンファｰスト, 46,松岡正, 3.7, 39,  -2, -30, 7, 25.0,⑬⑬⑫, 9, 9,Ｉパレスソルジャｰ, 48,南田雅, 3.9,-44,  -6, -36,10,255.8, ⑤⑤
,,,,,,,,,,,,10, 1,Ｊクロスマシェリ, 39,千葉直, 1.2, 41, -13,   0,16,305.7, ⑤⑦,10,13,Ｍトｰアノマイ, 34,宮崎北, 3.9, 35,   2, -52,14,283.1,⑥⑤⑥,,,,,,,,,,,,
,,,,,,,,,,,,11,15,Ｋダイワエミネンス, 37,北村宏, 1.3, 45, -13,   3,10, 42.1, ⑫⑩,11,10,Ｋセイウングレイシｰ, 40,山田信, 4.0, 38,  -3, -33,11, 76.9,⑬⑬⑫,,,,,,,,,,,,
,,,,,,,,,,,,12, 4,Ｅマストアイテム, 50,安藤光, 1.4, 46, -16,   6, 7, 28.8, ⑭⑬,12, 6,Ｉトノノオナリｰ, 45,今野忠, 6.1,  3,   1, -76,12,128.7,⑪⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,13, 9,Ｌロｰドスコｰピオン, 36,武士沢, 1.7, 39, -15,   0,14,210.6, ⑬⑬,13,12,Ｇコスモペンタクン, 50,丹内祐, 6.1, -4,   3, -85, 5, 16.8,①⑤⑨,,,,,,,,,,,,
,,,,,,,,,,,,14,16, マルタカウイング,---,蛯名正, 1.9, 37, -17,   0, 8, 35.9, ⑯⑯,14,11, プライドロック,---,安藤光, 8.4,-57, -17, -62, 9, 57.2,⑮⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,15, 2,Ｍシルクカリバｰン, 28,山田信, 2.1, 37,  -7, -19,13,166.8, ⑤⑤,15,15,Ｊホウショウレイク, 44,木幡初,47.1,47.1---,*  0, ---,10, 67.3,④⑫⑭,,,,,,,,,,,,
,,,,,,,,,,,,16, 6,Ｏフレイムクイｰン,-32,田中博, 3.6,-32, -17, -32,15,255.0, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
