07年 8月12日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月12日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■10R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小樽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａクラッカｰジャック, 57,藤田伸,, 65,* -4,*  8, 2,  3.0,⑤③②, 1, 7, サブジェクト,---,安藤勝,, 74, -19,* 24, 1,  2.6,⑧⑨⑩, 1, 9,Ｇコｰナｰストｰン, 66,横山典,, 70,   4,   6, 2,  4.6,⑥⑥③, 1,11,Ｃフミノサチヒメ, 69,勝浦正,, 75,   2,* 12, 3,  6.2,⑨⑨⑥
 2, 9,Ｄファンドリゲット, 53,北村友, 0.1, 63,* -3,*  5, 3,  7.2,②①①, 2, 3, マルカベスト,---,池添謙, 0.1, 59,*-15,* 15, 4,  8.1,③③③, 2, 8,Ｏナムラクック, 51,宮崎光, 0.1, 70,   5,   5,14,116.1,⑥⑥⑧, 2, 8,Ｂバクシンヒロイン, 71,藤岡佑, 0.0, 73,   4,   8, 2,  4.8,⑥⑥⑥
 3, 3,Ｅプレシャスジェフォ, 47,藤岡佑, 1.2, 54,  -6,   0, 4,  8.2,⑥⑧⑥, 3, 9, ロｰドインペリアル,---,松田大, 0.4, 46,*-13,   6,12, 86.7,①①①, 3,15,Ｋステイトリｰデイズ, 63,勝浦正, 0.1, 69,*  7,  -2,11, 46.1,②②②, 3, 6,Ｅニシノツキカゲ, 61,武幸四, 0.1, 72,* 10,  -1, 5, 11.6,②②①
 4, 2,Ｇアグネスシグマ, 43,福永祐, 1.2, 55,* -4,  -3, 5,  9.3,③③④, 4, 6, ラッシュストリｰト,---,四位洋, 0.7, 42,*-14,   3, 7, 31.4,②②②, 4, 1,Ｈマｰスエンペラｰ, 64,藤岡佑, 0.2, 69,*  7,  -1, 4,  8.9,③③③, 4,13,Ｄニチリンタカラ, 66,柴山雄, 0.1, 73,   6,   4, 7, 26.8,⑤③③
 5,10,Ｊニシノドｰン, 34,古川吉, 1.3, 54,  -6,   0, 9,104.2,⑨⑨⑨, 5, 2, アリュｰバニヤン,---,福永祐, 0.9, 41, -16,   4, 3,  4.5,⑤⑥③, 5, 3,Ａミスタｰシｰザ, 74,川島信, 0.3, 68,   3,   6, 8, 18.2,⑫⑨⑨, 5, 3,Ｊタニノウィンザｰ, 52,福永祐, 0.2, 72,   0,* 11, 8, 27.7,⑩⑩⑩
 6, 7,Ｈアグネスゼッセイ, 41,武幸四, 1.6, 53,  -6,  -3, 8, 35.8,⑫⑨③, 6, 1, エｰルドクラｰジュ,---,田中勝, 1.0, 39, -16,   3, 2,  4.1,⑦⑥③, 6, 2,Ｃゲイルバニヤン, 70,藤田伸, 0.3, 68,   6,  -1, 1,  2.9,③⑤③, 6, 2,Ｆアサクサブラボｰ, 60,柴田善, 0.3, 71,   4,   4,11, 50.1,⑥⑥⑥
 7,13,Ｃマイネルスペランザ, 53,津村明, 2.0, 48,  -4, -10, 7, 29.9,⑥⑥④, 7, 8, スリｰオリオン,---,武幸四, 1.2, 39, -19,   6, 9, 53.5,⑨⑨⑦, 7, 4,Ｉクリスタルルｰジュ, 64,福永祐, 0.3, 68,   2,*  8,10, 25.1,⑪⑪⑨, 7,14,Ａヘヴンボｰン, 80,安藤勝, 0.5, 66,   6,  -3, 1,  2.3,③③③
 8, 5,Ｂヘンリｰゴンドｰフ, 56,田中勝, 2.1, 47,  -5, -10, 1,  2.4,⑥⑥⑥, 8,10, ブラックエンブレム,---,藤岡佑, 1.2, 41, -20,   7, 5,  8.9,⑫⑪⑪, 8, 7,Ｅシルキｰフレンド, 69,的場勇, 0.5, 62,  -1,*  7,13, 96.9,⑮⑬⑬, 8, 4,Ｈダンシングボｰイ, 56,的場勇, 0.6, 68,  -3,* 10, 4,  9.8,⑬⑫⑩
