07年 8月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.7,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.9,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅギンザフロｰラル, 49,川田将,, 62,*  6,  -6, 3,  6.0, ①①, 1, 5, シゲルトンカｰン,---,田中克,, 52,* 11, -23, 4,  7.5, ①①, 1,18,Ａミスズアロハ, 66,川田将,, 77,*  8,   7, 2,  4.8, ③②, 1, 8,Ｈジョｰファング, 66,石橋守,, 82,* 12,*  6, 4, 11.9,①①①
 2, 8,Ｂメイショウジギｰ, 57,角田晃, 0.0, 60,   5,* -4, 1,  1.8, ②③, 2, 6, トウカイポプリ,---,中村将, 0.3, 42,  -3,*-13, 1,  2.1, ⑦⑥, 2,12,Ｃリサミサツインズ, 62,上村洋, 0.2, 70,  -1,* 13, 4,  7.9, ⑪⑦, 2, 9,Ａトップオブツヨシ, 77,上村洋, 0.5, 75,   8,*  6, 1,  2.5,③③②
 3, 2,Ｄコスモランゲル, 51,上野翔, 0.0, 59,   3,* -3, 5, 18.3, ⑤⑤, 3, 4, エイユｰフェアリｰ,---,太宰啓, 0.6, 43,  10, -27, 5, 10.7, ②②, 3,11,Ｂメイショウセレス, 62,佐藤哲, 0.2, 69,   0,* 11, 1,  3.5, ⑨⑩, 3, 7,Ｂリメインオブザサン, 76,小牧太, 0.6, 73,   7,*  8, 2,  2.6,⑦④④
 4, 4,Ｃプリックアップ, 53,藤岡康, 0.4, 49,   1, -11, 4, 11.2, ⑤⑤, 4, 3, マイネベリンダ,---,佐藤哲, 1.1, 32,   4, -28, 2,  3.5, ⑤④, 4,14,Ｋトリノシチｰ, 44,和田竜, 0.4, 64,  -8,* 16, 8, 18.7, ⑯⑮, 4, 1,Ｉウィングドフォｰス, 65,太宰啓, 0.8, 71,* 10,  -1, 6, 16.1,②②②
 5, 7,Ａコアマン, 63,佐藤哲, 0.4, 53,   3,  -9, 2,  3.9, ⑤⑧, 5, 1, スパｰブ,---,飯田祐, 1.2, 31,   4, -30, 7, 31.0, ⑤④, 5, 7,Ｆファンドリメロデイ, 54,角田晃, 0.5, 63,  -5,* 11, 7, 15.0, ⑭⑬, 5,11,Ｇトｰホウファイタｰ, 66,和田竜, 0.9, 70,   6,   5, 7, 20.8,④④④
 6, 1,Ｆトｰホウドレス, 37,芹沢純, 0.8, 50,*  6, -18, 6, 19.7, ②②, 6, 2, リッカビクトリｰ,---,小牧太, 1.8, 26,* 12, -47, 6, 17.3, ②②, 6,15,Ｍゴッドビラブドミｰ, 39,浜中俊, 0.5, 63,   2,   2,12, 63.7, ⑥③, 6, 6,Ｆマヤノリバティ, 67,赤木高, 1.5, 62,   1,*  6, 5, 15.2,⑩⑨⑦
 7, 6,Ｉマイネフルｰレ,-16,高橋智, 0.9, 45,   3, -16, 8, 47.5, ⑤⑧, 7, 7, フェアリｰグリｰン,---,上村洋, 2.5, 13,   7, -53, 3,  5.9, ④⑥, 7,10,Ｉサクラダモン, 47,長谷川, 0.7, 62,   0,   4, 9, 25.4, ⑨⑩, 7, 3,Ｃスプリングダボス, 73,鮫島良, 1.6, 61,   6,  -6, 9, 45.8,⑤④④
 8, 9,Ｇファンドリハンタｰ, 33,和田竜, 1.6, 35,   3, -27, 9, 54.1, ⑤⑤,,,,,,,,,,,,, 8, 3,Ｅヤマニンキュリオ, 57,田中健, 0.7, 61,*  5,  -5, 6, 10.2, ④③, 8, 5,Ｋナンゴクライデン, 59,川田将, 1.8, 59,   4,  -4,10, 48.3,⑤⑦⑨
 9, 3,Ｈナムラフュｰチャｰ, 31,赤木高, 2.0, 31,*  6, -36, 7, 26.7, ②③,,,,,,,,,,,,, 9, 4,Ｄシルクスタｰリング, 59,鮫島良, 0.9, 60,   2,  -1, 5,  8.4, ⑥⑦, 9, 4,Ｄミツワスカイハイ, 72,渡辺薫, 2.0, 57,   4,  -7, 8, 23.9,⑧⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,10,17,Ｑスリジェ, 33,小牧太, 1.3, 53,   2,  -7,11, 55.7, ⑥⑦,10,10,Ｊグランプリゴｰルド, 61,小林慎, 2.3, 53,   0,  -4,11, 65.3,⑨⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,11, 2,Ｌレインボｰアカリ, 43,小林久, 1.3, 56,*  7, -12,13, 65.3, ④③,11, 2,Ｅエルロドリゴ, 71,小林久, 2.8, 48,  -5,  -3, 3,  8.6,⑪⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｈハギノプレｰミオ, 51,中村将, 1.5, 45, -11,  -1,14, 90.0, ⑱⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｇタイキクララ, 53,渡辺薫, 1.5, 55,* 10, -18, 3,  6.4, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｐスズノユｰフォｰド, 37,菊地昇, 1.8, 45,  -1, -12,17,223.2, ⑪⑬,,,,,,,,,,,,
