07年10月20日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月20日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■ 4R  芝2910m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,太秦ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｅファインブラヴォｰ, 44,岩田康,, 64,* -8,*  7, 3,  8.9, ④③, 1,11, マルブツグロｰリア,,西谷誠,,,,, 1,  1.4,⑦⑦④, 1, 9,Ｆベビｰフェイス, 64,畑端省,, 68,  -7,* 11, 5,  8.2, ⑥⑤, 1,11,Ａメイショウシャフト, 82,福永祐,, 81,   1,  17, 1,  1.9, ②②
 2, 6,Ｊニホンピロキリバス, 38,藤岡佑, 0.6, 56, -10,   4, 6, 37.8, ⑧⑧, 2, 8, テイエムエｰス,,佐久間, 0.2,,,, 2,  5.2,⑧②②, 2, 1,Ｅキッスアンドライド, 65,角田晃, 0.0, 68,  -5,   9, 1,  2.1, ⑤⑤, 2,14,Ｈワｰキングボｰイ, 74,和田竜, 0.2, 79,   1,  16, 5, 13.1, ⑤④
 3,14,Ａワンモアグリッタｰ, 60,武豊  , 0.6, 51,* -6,  -2, 1,  1.3, ①①, 3, 4, シュトラｰレン,,林満明, 0.2,,,, 7, 44.7,①②②, 3,12,Ａオメガロンド, 70,川田将, 0.0, 66,* -3,   7, 3,  7.4, ②①, 3, 5,Ｄウォｰタｰオｰレ, 76,藤岡佑, 0.4, 75,   1,  14, 4, 12.4, ⑤⑥
 4,15,Ｉライフチェンジ, 39,長谷川, 0.7, 52,* -7,  -1,11,173.9, ②②, 4,12, オｰスミオｰカン,,仲田雅, 0.9,,,,10, 79.7,③④⑤, 4, 3,Ｄレンデフルｰル, 65,岩田康, 0.3, 65,  -9,* 10, 2,  6.4, ⑧⑧, 4,10,Ｂアドマイヤキラメキ, 80,川田将, 0.5, 75,  -1,  15, 3,  8.6, ⑧⑧
 5, 5,Ｆニュｰロザリオ, 41,池添謙, 0.8, 55, -12,   4, 9,147.1, ⑪⑩, 5,10, テイエムニンジャ,,菊地昇, 1.1,,,, 4, 13.3,②⑥⑤, 5, 2,Ｂカシノハヤテ, 69,上野翔, 0.4, 62,  -8,   8, 8, 22.7, ⑧⑧, 5, 7,Ｇメイショウディオ, 75,難波剛, 0.6, 78,  -5,* 19,16,210.3, ⑫⑫
 6, 9,Ｎタケイチサイレンズ, 32,中村将, 0.9, 54, -16,*  6,16,461.1, ⑮⑭, 6, 3, ジョイゲｰム,,難波剛, 1.8,,,,13,165.9,⑤①①, 6,13,Ｌサッサイア, 55,鮫島良, 0.4, 60,  -4,   4,10, 73.3, ③②, 6, 6,Ｅヒカリアイ, 76,角田晃, 0.8, 77,  -7,* 20, 9, 30.8, ⑭⑬
 7, 3,Ｌテイエムエナジｰ, 36,和田竜, 1.0, 49,  -9,  -2,12,180.6, ⑦⑤, 7, 2, マルタカテンビｰ,,高野容, 1.8,,,,12,152.5,⑬⑦⑦, 7,14,Ｈリトルマｰメｰド, 59,武豊  , 0.6, 61, -11,   9, 4,  7.8, ⑫⑫, 7, 1,Ｆシアトルバロｰズ, 76,長谷川, 0.8, 76,  -6,* 19, 7, 20.1, ⑮⑮
 8, 1,Ｂライジングバイオ, 55,幸英明, 1.1, 49, -10,  -1, 2,  6.3, ⑧⑤, 8, 1, セオソフィア,,南井大, 2.1,,,, 6, 31.6,⑪⑪⑩, 8,11,Ｇベレッツァ, 60,浜中俊, 0.7, 53,  -5,   0, 7, 18.0, ③②, 8,12,Ｋバトルハｰトオｰ, 72,渡辺薫, 0.8, 71,  -2,  13,12, 71.6, ⑨⑩
