07年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.2,,,,,■10R  ダ2400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,成田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｋタケデンヴィｰナス, 41,横山典,, 51,  -5,*  0,11, 64.7, ⑪⑩, 1,13, トウカイゲイル,---,横山典,, 68,*-13,* 15, 2,  4.6,②②①, 1,11,Ｄテンジンダイカグラ, 69,大野拓,, 64,* -7,  14, 7, 18.8,③②②, 1, 7,Ａオリンピアンナイト, 79,横山典,, 79,   6,* 14, 1,  2.6,⑧⑦④
 2, 8,Ｂウイビリｰブ, 58,小野次, 0.0, 58,*  9, -12, 4,  6.2, ③②, 2, 6, コスミックスピｰド,---,勝浦正, 0.7, 57,*-14,* 11,11, 37.8,④④④, 2,12,Ｍデスバラｰド, 60,吉田豊, 0.0, 69,  -7,* 17,12,134.8,⑥⑤⑧, 2, 4,Ｅイエス, 72,柴田善, 0.3, 76,*  7,   6, 6, 15.1,⑥②①
 3,14,Ａロイヤルクリｰク, 61,柴山雄, 0.1, 56,   8, -12, 2,  4.3, ③②, 3,15, スマｰトクルｰズ,---,バルジ, 1.1, 50,*-13,   6, 3,  5.4,③②②, 3, 7,Ａレコンパンス, 74,後藤浩, 0.0, 67,  -7,  16, 1,  2.2,③⑤⑤, 3,16,Ｇバンドマスタｰ, 67,勝浦正, 0.4, 81,   3,* 17,10, 63.1,⑭⑭⑨
 4, 5,Ｌマイネルサテライト, 36,バルジ, 0.2, 50,  -7,*  0,13,158.2, ⑫⑬, 4, 5, フレンチパｰル,---,津村明, 1.1, 52, -15,*  8, 5,  8.8,⑤⑤④, 4, 1,Ｃユｰスフルデイズ, 72,北村宏, 0.1, 73, -10,* 21, 2,  4.3,⑨⑭⑭, 4, 6,Ｄオｰスミダンスイン, 74,江田照, 0.4, 79,   5,  11, 2,  3.9,⑨⑨④
 5,16,Ｃディヴァインシチｰ, 57,吉田豊, 0.3, 52,   5, -12, 3,  5.4, ⑤⑤, 5, 9, サクラアメｰジング,---,蛯名正, 1.9, 43, -16,   4, 1,  3.5,⑭⑦⑦, 5,14,Ｈエドノドリｰム, 66,小林淳, 0.1, 69,  -8,* 18, 9, 62.9,⑪⑨⑨, 5,10,Ｃブラックランナｰ, 75,蛯名正, 0.9, 73,   6,   4, 3,  4.2,⑨④②
 6,10,Ｊマジカルビュｰティ, 44,吉田隼, 0.3, 50,  -9,*  0,10, 60.1, ⑭⑩, 6, 2, シｰクレットヘヴン,---,吉田豊, 2.3, 37, -16,  -1, 4,  7.0,⑧⑦⑧, 6,13,Ｂシャコｰミリオン, 73,蛯名正, 0.4, 61,  -7,  12, 3,  5.8,⑥⑤⑤, 6,12,Ｆチｰフシャトｰ, 71,二本柳, 0.9, 72,*  7,   2, 8, 30.8,②②②
 7, 7,Ｆピエネヴェｰレ, 48,北村宏, 0.6, 53,* 10, -19, 7, 23.2, ①①, 7,14, スズコマンダｰ,---,北村宏, 2.6, 35, -14,  -6, 7, 18.9,⑤⑤④, 7, 5,Ｇチザルピｰノ, 67,柴田善, 0.6, 56,* -6,   8, 4,  9.8,②②①, 7, 3,Ｈタマモアｰチスト, 65,後藤浩, 1.0, 74,   4,   8, 4, 12.9,⑨⑪⑧
 8,13,Ｄキングデオキシス, 55,柴田善, 0.8, 47,   5, -17, 1,  3.5, ⑤⑤, 8, 7, ドンラミロ,---,吉田隼, 3.0, 31, -18,  -4,12, 43.1,⑩⑩⑨, 8,10,Ｊリワｰドジオン, 63,嘉藤貴, 0.6, 62,  -9,  14, 8, 36.8,⑬⑪⑨, 8, 1,Ｂエプソムボス, 75,吉田隼, 1.0, 77,   2,* 14, 5, 14.1,⑮⑮⑪
 9,12,Ｇペレ, 48,村田一, 0.8, 44,   1, -13, 8, 24.9, ⑨⑦, 9,10, サクラヴェロｰチェ,---,柴山雄, 4.1, 27, -22,  -6, 8, 22.2,⑫⑬⑫, 9, 9,Ｏリッチスマイル, 58,村田一, 0.6, 57,* -6,   9,10, 81.1,③②②, 9,14,Ｉワンダｰタイキ, 65,石橋脩, 1.2, 71,   6,   3, 7, 23.6,⑤⑦⑨
10, 4,Ｉベルモントエアロ, 47,中舘英, 1.1, 48,* 10, -24, 6, 10.8, ②②,10, 8, インペリアルスタｰ,---,田中勝, 4.2,  7,*-13, -24, 6, 12.8,①①②,10, 3,Ｆゴｰファイトウィン, 68,吉田隼, 0.6, 61,  -9,  14, 6, 17.2,⑥⑪⑨,10, 5,Ｌゼンノジュウシン, 60,北村宏, 1.9, 66,   6,  -5,11, 88.9,④④⑦
11,15,Ｎトライデント, 25,石橋脩, 1.2, 43,   5, -21, 9, 37.4, ⑤⑦,11,12, デフネ,---,穂苅寿, 5.2,-13, -17, -25,13, 63.7,⑩⑨⑩,11, 2,Ｋメジロカｰル, 62,バルジ, 0.7, 57,  -7,   9,11, 90.7,⑮⑤⑤,11,11,Ｋワンダｰゼネラス, 64,柴山雄, 2.0, 67,   4,   0,15,163.3,⑬⑫⑪
12, 3,Ｈホウキボシ, 47,後藤浩, 1.5, 38,   0, -19, 5,  8.0, ⑩⑩,12, 1, ネイチャｰマインド,---,木幡初, 5.7,  1, -24, -18,14,104.1,⑮⑮⑫,12, 4,Ｉオｰロブライト, 65,勝浦正, 0.9, 53,* -6,   6, 5, 11.4,①①②,12,13,Ｍキタグニジョｰ, 60,小林淳, 2.3, 62,*  7, -12,13,105.4,①①④
13, 9,Ｍユキノハナグルマ, 26,二本柳, 2.1, 36, -11, -15,15,286.9, ⑮⑭,13,11, タツエンペラｰ,---,中舘英, 5.9,-32, -19, -29, 9, 29.8,⑧⑪⑩,13,15,Ｅエスケｰアパッチ, 68,黛弘人, 1.2, 49,  -9,   5,13,196.6,⑬⑨⑨,13, 9,Ｐアロハスピリッツ, 54,武士沢, 3.6, 59,   1,  -6,16,330.0,⑮⑯⑯
14, 1,Ｅボｰンザスカイ, 49,大野拓, 2.6, 26,   3, -35,12, 79.5, ⑧⑦,14, 3, ハクウン,---,田中博, 6.2,-42, -22, -30,15,250.1,⑬⑫⑭,14, 8,Ｌアルファｰワン, 60,二本柳, 2.0, 46,  -9,   1,15,379.9,⑨⑪⑬,14, 8,Ｊソレックス, 64,中舘英, 3.9, 54,*  6, -25, 9, 36.3,②④⑪
15, 6,Ｐロｰリエエンペラｰ,  6,小林淳, 2.7, 30,  -6, -25,14,264.9, ⑫⑭,15, 4, オｰデンセ,---,後藤浩, 6.3,-35, -21, -28,10, 36.2,⑦⑬⑮,15, 6,Ｎシルバｰデュｰク, 59,郷原洋, 2.1, 45, -10,   3,14,197.4,⑪⑭⑮,15,15,Ｎインタｰコウキ, 57,小野次, 4.3, 52,   4, -22,12, 96.7,⑥⑫⑮
16, 2,Ｏマルタチｰフ, 19,田中博, 3.7,-34, -23, -23,16,352.5, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｏリュウゴｰルド, 56,郷原洋, 5.6, 46,   5, -38,14,126.7,⑨⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+19 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+24 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:稍重(指数:-2),,,,,,,,,,,
"単勝:6,470円 複勝:11=1,350円 08=230円 14=180円 枠連:3,620円",,,,,,,,,,,,"単勝:460円 複勝:13=180円 06=730円 15=230円 枠連:4,170円",,,,,,,,,,,,"単勝:1,880円 複勝:11=460円 12=1,770円 07=130円 枠連:3,520円",,,,,,,,,,,,"単勝:260円 複勝:07=160円 04=420円 16=1,030円 枠連:930円",,,,,,,,,,,
"馬連:14,070円 ワイド:08-11=3,620円 11-14=3,650円 08-14=510円",,,,,,,,,,,,"馬連:5,950円 ワイド:06-13=1,760円 13-15=460円 06-15=2,780円",,,,,,,,,,,,"馬連:71,230円 ワイド:11-12=12,520円 07-11=610円 07-12=2,830円",,,,,,,,,,,,"馬連:2,300円 ワイド:04-07=980円 07-16=2,830円 04-16=8,160円",,,,,,,,,,,
"馬単:34,250円 3連複:20,830円",,,,,,,,,,,,"馬単:10,610円 3連複:13,740円",,,,,,,,,,,,"馬単:137,190円 3連複:33,340円",,,,,,,,,,,,"馬単:3,210円 3連複:45,150円 3連単:198,620円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,,■ 8R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,中山新春ｼﾞｬﾝﾌﾟS,,,,,,,,,,,,初富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂアイアムジュピタｰ, 56,大野拓,, 53,*  1,*-12, 2,  3.4,④②②, 1,10,Ａブルｰマｰテル, 67,武士沢,, 67,   4,*  6, 3,  4.9,⑬⑬⑩, 1, 1, リワｰドプレザン,,五十嵐,,,,, 2,  3.0,②①①, 1, 9,Ｇナスノストロｰク, 77,中舘英,, 83,  12,* 13, 8, 20.5,⑬⑬⑫
 2,13,Ａセントラルカフェ, 60,小島太, 0.0, 53,*  1,*-15, 1,  1.8,①①①, 2,14,Ｂトｰセントゥルｰ, 59,吉田隼, 0.0, 66,   6,*  0, 2,  4.3,⑧⑦⑦, 2, 6, カナハラコマンダｰ,,宗像徹, 1.5,,,, 8, 54.2,⑧⑧⑦, 2, 4,Ｆジョリｰダンス, 80,柴田善, 0.0, 81,   9,* 18, 7,  9.8,⑮⑮⑮
 3, 9,Ｆアイビスビッテ, 43,的場勇, 0.7, 47,*  0, -19, 3, 10.1,②②③, 3, 9,Ｅクリムゾンベガ, 49,田中勝, 0.7, 61,   8, -15, 1,  2.7,⑤④③, 3, 3, マイネルアントス,,高野和, 1.9,,,, 4, 10.1,④⑥⑤, 3,10,Ｂリザｰブカｰド, 87,蛯名正, 0.1, 83,  16,   6, 6,  8.3,⑦⑦⑥
 4, 1,Ｇサドラｰズボｰイ, 41,石神深, 0.8, 48,  -1, -14, 8, 50.9,⑧⑤③, 4, 2,Ｇボレロビｰト, 43,吉田豊, 1.0, 58,* 11, -25, 5, 10.3,①①①, 4, 5, ファインピｰク,,山本康, 2.2,,,,11, 96.3,⑥④②, 4, 7,Ｄピサノグラフ, 81,横山典, 0.2, 81,  15,   6, 1,  4.3,⑦⑦⑥
 5, 2,Ｄケイアイコンテンツ, 44,津村明, 1.1, 44,  -3,*-14, 5, 13.9,⑩⑦⑥, 5, 1,Ｆアドマイヤヒビキ, 44,蛯名正, 1.1, 56,   6, -16, 7, 15.1,⑨⑦⑤, 5, 2, ディバイドバイゼロ,,穂苅寿, 2.4,,,, 5, 14.5,②③④, 5,15,Ｅアイルラヴァゲイン, 81,吉田隼, 0.2, 83,* 19,   0, 4,  6.3,⑤③②
 6,10,Ｃゴｰルドリｰヴァ, 50,田中博, 1.1, 44,  -1, -21, 7, 26.6,⑤④⑤, 6, 7,Ｄボストンクエスト, 54,後藤浩, 1.2, 55,   5, -13, 4,  7.9,⑪⑩⑫, 6, 7, パレスチャンピオン,,浜野谷, 2.7,,,, 3,  5.7,①②②, 6, 6,Ａカイシュウタキオン, 89,勝浦正, 0.3, 79,  13,   7, 3,  5.4,⑪⑩⑩
 7,14,Ｉマザｰピクシｰ, 36,平沢健, 1.2, 45,  -3, -14,14,322.8,⑩⑦⑥, 7,15,Ｋオｰランボｰ, 33,小野次, 1.3, 55,* 10, -28,10, 85.8,②②②, 7,10, キャピタルゲイン,,大庭和, 2.8,,,, 7, 32.4,⑩⑨⑨, 7, 5,Ｋヨイチサウス, 73,江田照, 0.3, 83,* 20,  -3,11, 92.1,②①①
 8,16,Ｅサンワｰドブル, 43,吉田隼, 1.3, 43,  -2, -18, 4, 11.6,⑥⑤⑥, 8, 8,Ｈマイネルピｰク, 43,津村明, 1.5, 51,   4, -20,11,129.2,⑨⑩⑧, 8,11, ランドブラザｰ,,嘉堂信, 2.9,,,, 6, 17.7,⑨⑦⑤, 8, 1,Ｊモエレソｰブラッズ, 73,柴山雄, 0.4, 80,* 18,  -2,12, 92.6,②⑤④
 9,11,Ｈサチノグロｰバル, 38,佐藤聖, 2.6, 34, -10, -17, 9, 75.2,⑮⑫⑪, 9,13,Ｃミラクルペｰジ, 55,柴田善, 1.6, 52,   8, -27, 6, 13.8,⑤④⑤, 9, 4, ミヤビペルセウス,,平沢健, 3.7,,,, 9, 69.8,④④⑦, 9, 3,Ｈムｰンシャイン, 77,津村明, 0.7, 75,  15,  -2, 9, 36.0,⑦⑦⑥
10, 6,Ｐテゾｰロ,  3,大庭和, 2.6, 36,  -9, -14,11,210.4,⑮⑭⑬,10, 5,Ｉキングブライト, 38,江田照, 1.6, 51,   2, -13, 9, 52.9,⑯⑭⑬,10, 8, ホリディオンワｰド,,江田勇, 4.4,,,,10, 82.1,⑩⑪⑩,10, 8,Ｃガブリン, 83,田中勝, 0.8, 75,  17,  -6, 5,  6.9,⑤⑤⑥
