07年 6月16日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月16日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.2,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,さくらんぼ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄトミヨシプリンセス, 49,村田一,, 63,*  1,   3, 7, 14.1,③③③, 1,14,Ｂダイワモナｰク, 51,武士沢,, 59,*  0,* -2, 2,  4.0,②②②, 1,13,Ｂストロングラリｰ, 63,田中勝,, 70,* -6,* 16, 1,  2.7,⑥④③, 1, 8,Ａプレミアムボックス, 80,吉田隼,, 87,   5,* 21, 1,  2.5, ⑤④
 2, 1,Ｇトｰセンゲンザン, 44,武士沢, 0.2, 61,  -1,*  4, 6, 10.1,⑦⑤④, 2,15,Ｅキングガイア, 44,田中勝, 0.5, 53,* -1,  -9, 4,  6.5,①①①, 2,14,Ａジャンバルジャン, 73,後藤浩, 0.5, 57,* -5,   7, 2,  2.9,③②③, 2,12,Ｅトミノドリｰム, 73,高山太, 0.3, 80,  -1,* 20, 6, 17.7, ⑨⑧
 3, 4,Ｆサンライトフェロｰ, 46,松岡正, 0.2, 59,  -5,* 10, 4,  7.4,⑬⑨⑧, 3, 4,Ｌユミ, 37,小野次, 0.7, 50,  -8,*  3, 9, 35.5,⑪⑫⑫, 3, 5,Ｈコスモピロリ, 43,吉田隼, 0.5, 58,* -6,   8, 7, 46.5,③④③, 3, 3,Ｍバｰドントロフィｰ, 62,安藤光, 0.4, 77,   3,  16,15,220.2, ⑦④
 4, 3,Ｂアルファトミｰ, 51,中谷雄, 0.4, 60,*  2,  -3, 2,  4.4,②②②, 4, 3,Ｃニュｰチャプタｰ, 45,村田一, 1.1, 49,* -2, -10, 3,  5.8,③③④, 4, 6,Ｋダイワバイロン, 28,柴田善, 0.6, 66, -11,* 16, 4, 12.7,⑬⑩⑨, 4, 4,Ｂマキシマムスピｰド, 80,後藤浩, 0.4, 74,*  8,  11, 5, 15.1, ②②
 5, 5,Ａマイネルスペランザ, 53,大野拓, 0.5, 57,  -2,   0, 5,  8.3,⑦⑤④, 5, 7,Ｈクリアｰキセキ, 40,小林淳, 1.1, 49,  -4,  -7, 6, 16.3,⑥⑤④, 5, 2,Ｄマイネルテアトロン, 54,中舘英, 0.6, 53,* -4,   2, 3,  3.8,①①①, 5, 6,Ｈピサノデュエル, 68,石橋脩, 0.7, 76,  -8,* 22,13,115.7, ⑭⑪
 6, 8,Ｅコウヨウウェｰブ, 49,千葉直, 1.0, 50,  -6,   0, 9, 35.3,⑨⑨⑧, 6,12,Ａマケテタマルカ, 51,松岡正, 1.1, 50,  -5,  -4, 1,  3.1,⑪⑩④, 6, 7,Ｆトラストエｰス, 51,江田照, 0.9, 49,* -5,  -1, 5, 17.5,②②②, 6, 9,Ｄシルクゾディアック, 73,中舘英, 0.7, 68,* 12,   4, 2,  3.1, ①①
 7,11,Ｉルクラｰジュ, 39,江田照, 1.1, 55,*  2, -11, 3,  5.4,①①①, 7,13,Ｇマイダｰリング, 40,石橋脩, 1.3, 48,* -1, -13,11, 39.1,③③③, 7,15,Ｅウインドビュｰ, 53,田辺裕, 1.1, 48,  -8,   2, 8, 52.8,⑩⑦⑦, 7, 5,Ｃトｰセングラマｰ, 78,田中勝, 0.7, 68,   4,   9, 3,  7.0, ⑤④
 8,14,Ｈハシルペンチャン, 42,安藤光, 1.1, 53,  -3,  -2, 8, 28.9,⑨⑦⑦, 8, 9,Ｍニシノシンワ, 37,安藤光, 1.6, 44,  -6,  -8,13, 61.6,⑨⑩⑩, 8, 1,Ｇオンワｰドテイト, 49,加藤士, 1.2, 52, -11,   8, 6, 33.2,⑬⑫⑪, 8,11,Ｉアラマサフェアリｰ, 67,大野拓, 0.8, 71,  -3,  16, 8, 25.5, ⑪⑪
 9, 6,Ｃリカオｰナイン, 50,田中勝, 1.7, 49,   0, -13, 1,  3.5,⑤③④, 9,11,Ｎゾルトンワｰジ, 35,田中剛, 1.8, 43,  -5, -12,15,154.9,⑨⑧⑦, 9,12,Ｎマルサンサプライズ,-18,高野和, 1.3, 44,* -6,  -4,14,296.3,⑧④⑥, 9,10,Ｋサンドクリｰク, 64,西田雄, 0.8, 71,  -3,  16,14,120.1, ⑪⑧
