07年 4月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月29日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.0,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■ 7R  芝1600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上賀茂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａチャリティショウ, 63,佐藤哲,, 68,* -1,   6, 2,  3.5, ②①, 1,11,Ｃドリｰムフライト, 54,和田竜,, 63,*  0,   1, 7, 14.4,①①①, 1,11,Ａヴァｰチュ, 71,熊沢重,, 74,  -8,* 19, 4, 11.9, ⑧⑧, 1, 7,Ｉメイショウシャフト, 71,角田晃,, 85,   6,* 16, 6, 14.2,⑤④③
 2,11,Ｄアｰスコマンダｰ, 59,岩田康, 0.2, 67,  -4,   7, 1,  1.8, ④③, 2,12,Ｅプリキュアバロｰズ, 48,渡辺薫, 0.2, 61,* -1,  -1,11,118.6,②②②, 2,14,Ｆノｰヴァｰチャル, 59,安藤勝, 0.0, 68,  -4,  12, 2,  4.5, ⑤⑤, 2, 8,Ｄセフティｰステｰジ, 76,河北通, 0.0, 86,   4,* 19, 7, 14.6,⑨⑧⑦
 3, 7,Ｇサンマルチｰフ, 48,丸野勝, 0.7, 66, -16,* 13, 6, 33.0, ⑩⑨, 3, 8,Ｈマルブツファｰスト, 42,秋山真, 0.4, 62,  -4,   4, 9, 33.1,⑤⑤④, 3, 5,Ｂエイシンルンナ, 68,岩田康, 0.5, 56,* -1,   0, 1,  1.9, ②②, 3,11,Ａブルｰフランカｰ, 80,小坂忠, 0.2, 82,   5,* 14, 4, 11.0,⑧④③
 4,12,Ｌベルテッセン, 29,生野賢, 1.0, 59, -14,*  8, 7, 66.1, ⑧⑦, 4, 5,Ｇミリオンキング, 48,安藤勝, 0.7, 57,  -4,  -1, 1,  2.5,⑦⑤④, 4, 2,Ｄショウナンタイトル, 62,吉田豊, 0.5, 68, -11,* 17, 3,  8.4, ⑫⑪, 4, 3,Ｂアドマイヤスバル, 79,村田一, 0.3, 80,*  8,   9, 3,  4.3,①①①
 5, 1,Ｅスリｰキュラソｰ, 57,岩崎祐, 1.4, 52, -14,   4, 4, 12.2, ⑧⑨, 5,10,Ｄスｰパｰウェｰブ, 51,藤岡康, 0.7, 51,* -5,  -6, 4,  6.8,③③③, 5, 4,Ｌウォｰタｰネバダ, 48,渡辺薫, 0.7, 54,*  0,  -4, 6, 20.8, ①①, 5, 2,Ｃフィｰルドオアシス, 78,四位洋, 0.3, 81,*  7,  11, 2,  3.9,⑤②②
 6,13,Ｃビコｰオｰスウイン, 59,石橋守, 1.6, 47,* -1, -10, 3,  5.8, ①②, 6, 7,Ｂノｰキュアノｰペイ, 56,角田晃, 0.9, 56,  -6,   1, 2,  4.6,⑧⑧⑦, 6,13,Ｋサンキンレタｰ, 51,秋山真, 0.7, 55,  -5,   3, 8, 26.8, ⑦⑤, 6, 5,Ｅタガノエクリプス, 75,岩田康, 1.1, 77,   3,  10, 1,  3.5,⑨⑫⑦
 7, 8,Ｂスズノトップレディ, 59,藤岡康, 1.6, 45,* -3, -10, 5, 18.6, ③③, 7, 1,Ｆタイユイヒメ, 48,佐藤哲, 1.0, 61, -11,* 10,10, 99.3,⑫⑫⑫, 7, 8,Ｅメイショウハヤボシ, 59,佐藤哲, 0.9, 58, -13,  12, 9, 34.7, ⑫⑪, 7, 4,Ｈタガノシャンハイ, 72,小林徹, 1.4, 73,   2,  10,11, 52.9,⑬⑬⑪
 8, 4,Ｋメイショウネストル, 34,田村太, 2.2, 39, -19,  -1,12,374.6, ⑪⑪, 8, 3,Ｉムカワシシャモ, 34,小原義, 1.0, 59,  -9,*  7,12,160.6,⑩⑩⑩, 8, 6,Ｎメイショウダンケン, 45,和田竜, 1.2, 49,  -9,   3,14,264.3, ⑨⑨, 8,16,Ｆバトルハｰトオｰ, 74,佐藤哲, 1.4, 70,   5,   3,13, 80.9,⑤④⑥
