07年11月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.1,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.4,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8.2,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高湯温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｋカフェレジェンド, 39,大野拓,, 52,  -6,  -2, 3,  5.9, ④⑤, 1, 3,Ｅサムタイム, 57,赤木高,, 60,  -3,*  4, 3,  6.0,③⑤⑤, 1,12,Ｆトゥルｰノｰス, 55,青木芳,, 67,* -9,* 18, 3,  7.3,②②①, 1, 3,Ｊイケトップガン, 62,大野拓,, 65,   0,*  7, 4,  8.1,⑧⑦①
 2,14,Ｉナスザン, 42,的場勇, 0.3, 46,* -4,  -7, 9, 27.9, ③②, 2, 6,Ｂフレアキャスケｰド, 59,田中克, 0.0, 57,  -4,*  3, 4,  7.3,⑬⑤②, 2, 1,Ｃピサノダヴィンチ, 59,田中博, 0.2, 73, -14,* 23, 1,  2.4,⑪⑪⑩, 2,10,Ｃカゼノユクエ, 67,安藤光, 0.0, 64,   3,   1, 3,  6.6,⑤④⑤
 3, 9,Ｂジファｰル, 54,田中克, 0.3, 46,  -5,  -7, 7, 20.1, ④②, 3,10,Ｇカシノハヤテ, 57,上野翔, 0.2, 57,  -5,*  6, 7, 22.9,⑪⑨⑥, 3, 5,Ｈアイファｰドラゴン, 54,野元昭, 0.6, 61, -10,  15, 9, 36.8,⑨⑤④, 3, 1,Ａグランドカラｰ, 70,二本柳, 0.4, 58,   1,  -1, 1,  4.2,⑥⑦⑤
11,15,Ａカシノレッド, 60,二本柳, 0.3, 47,* -1,  -8, 1,  3.0, ①①, 4, 7,Ｆニシノキンレンポ, 57,大野拓, 0.4, 55,  -3,  -2, 1,  2.3,⑥②②, 4,15,Ｌエイトサンデｰ, 42,田辺裕, 1.0, 53, -10,  10,12, 95.2,③③②, 4, 8,Ｄリッカメルド, 66,中舘英, 0.5, 58,   2,  -5, 5,  9.0,⑥④⑧
 4, 1,Ｇコロネット, 49,赤木高, 0.4, 48,  -9,  -2, 6, 19.8, ⑥⑥, 5, 4,Ｊサワッディ, 54,川島信, 0.6, 56,*  0,  -6,10, 84.9,①①①, 5, 2,Ａアドミラビリス, 68,大下智, 1.2, 51, -14,  11, 2,  3.8,⑬⑨⑥, 5, 2,Ｇエステｰムシチｰ, 62,芹沢純, 0.5, 58,   3,  -5, 2,  4.7,④④②
 5, 8,Ｄチャｰムキャップ, 52,木幡初, 0.5, 47,  -9,  -3, 2,  5.3, ⑥⑥, 6, 1,Ｌアマゾンリリｰ, 50,河北通, 1.0, 51,  -5,  -2,11,149.6,⑥⑨⑧, 6,13,Ｇオリエンタルバｰド, 55,安藤光, 1.3, 50, -10,   7, 5, 10.5,④③④, 6, 4,Ｈナムラシンドバッド, 62,津村明, 0.6, 56,   0,  -2, 7, 12.7,⑧⑦⑧
 6, 4,Ｈホッコｰマイクイン, 48,大下智, 0.7, 45, -21,*  3,13, 63.2, ⑬⑫, 7, 5,Ａリキアイノキセキ, 61,的場勇, 1.1, 49,  -5,  -5, 8, 24.4,⑨⑨⑧, 7,10,Ｅマルチヒット, 56,津村明, 1.9, 44, -12,   4, 7, 21.2,⑦⑦⑦, 7,11,Ｉヒカリベルサイユ, 62,中村将, 0.7, 55,   0,  -4,10, 14.0,⑧⑦⑩
 7, 3,Ｊシベリアンマグピｰ, 39,田中博, 0.7, 47, -21,*  3,11, 52.6, ⑬⑨, 8, 2,Ｄフィｰルフィット, 58,木幡初, 1.1, 50,  -3,  -7, 2,  5.1,③⑤⑧, 8,11,Ｍアデオス, 41,芹沢純, 1.9, 48, -15,  10,11, 91.2,⑮⑬⑪, 8, 6,Ｅテントゥワン, 63,野元昭, 0.7, 55,  -2,   1,11, 52.6,⑪⑪⑩
 8, 7,Ｃネバｰグレイス, 53,郷原洋, 1.1, 40, -17,  -2, 4,  6.4, ⑪⑪, 9, 9,Ｃシャインジュエリｰ, 58,中村将, 1.4, 47,* -2, -13, 9, 37.3,②②⑥, 9, 8,Ｂダイワネバダ, 60,石橋脩, 2.0, 43, -12,   3, 8, 27.1,⑥⑦⑦, 9, 5,Ｆタニオブゴｰルド, 63,木幡初, 0.8, 55,*  5, -13, 6,  9.6,①②②
 9,10,Ｌシゲルスエテ, 31,田嶋翔, 1.8, 31, -14, -12, 8, 26.6, ⑧⑨,10,11,Ｍシゲハヤテ, 45,宮崎北, 1.4, 45,  -7,  -5,13,223.2,⑬⑬⑪,10, 4,Ｄパｰリｰゲイツ, 57,赤木高, 2.1, 42, -11,   1, 4,  9.0,④⑤⑦,10, 9,Ｂビュレットライナｰ, 70,田中博, 0.8, 55,*  4, -12, 8, 13.6,③③⑤
10, 6,Ｎニュｰカマｰ, 13,宮崎北, 1.9, 28, -16, -14,14,265.4, ⑨⑧,11,12,Ｈコスモコネクション, 56,津村明, 2.1, 43,* -1, -18, 6, 13.3,③②④,11, 9,Ｊスズノオｰ, 51,郷原洋, 2.3, 43, -15,   7,15,221.0,⑬⑬⑫,11, 7,Ｋメイショウカｰタｰ, 59,難波剛, 1.0, 53,*  5, -18, 9, 13.7,②①②
