07年12月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 1日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.6,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■10R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葉牡丹賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａファンタジックキｰ, 45,丹内祐,, 52,* -7,* -2, 1,  2.4,③③②, 1,10, パルティｰタ,---,江田照,, 52,* -7,  -2, 3,  6.8, ①①, 1,13,Ｌパｰプルストック, 62,木幡初,, 83,  11,  10, 9, 49.7, ④④, 1, 1,Ｆミステリアスライト, 52,蛯名正,, 62,*-12,  19, 2,  4.4,①①①
 2, 6,Ｃハナヤッコ, 38,千葉直, 0.2, 48,* -8,  -7, 8, 43.2,①①①, 2, 8, マイミカプリンセス,---,吉田隼, 0.2, 50,* -9,  -2, 1,  1.8, ③②, 2, 3,Ａブラックシャドウ, 79,横山義, 0.2, 81,  10,   9, 4, 14.3, ④④, 2, 2,Ａマイネルチャｰルズ, 72,松岡正, 0.2, 63, -14,* 20, 1,  2.8,③⑤④
 3, 9,Ｇスｰパｰプライド, 22,田中博, 1.1, 40, -11,  -7, 5, 21.7,⑦⑦⑥, 3, 7, オンワｰドメモリア,---,勝浦正, 0.7, 43,* -8,  -8, 4,  8.1, ②②, 3,14,Ｃディオスクロイ, 72,松岡正, 0.4, 78,   6,  10, 1,  2.3, ⑧⑧, 3, 4,Ｈブラックエンブレム, 48,柴山雄, 0.3, 67, -16,* 23, 6, 17.2,⑤⑦⑥
 4, 7,Ｄレオバベル, 35,江田照, 1.2, 43,* -7, -14, 3,  3.8,②②②, 4, 3, クリプトゾｰン,---,武士沢, 1.1, 44, -24,*  3, 9, 58.9, ⑧⑦, 4, 2,Ｇクリアエンデバｰ, 68,吉田豊, 0.4, 78,   6,  10, 7, 29.0, ⑧⑥, 4, 3,Ｃエアキリヤン, 60,北村宏, 0.7, 48, -14,  11, 5, 13.4,③③③
 5, 4,Ｈニシノキセキパワｰ, 21,勝浦正, 1.7, 38,  -9, -15, 2,  3.2,③⑤④, 5, 4, シラユキ,---,木幡初, 1.1, 42, -19,  -1, 7, 30.6, ⑦⑥, 5, 1,Ｅゼンノスカイブルｰ, 70,宗像徹, 0.4, 79,* 15,   2, 8, 34.1, ①①, 5, 6,Ｉキングバｰド, 40,吉田隼, 0.7, 49, -14,  12, 8, 23.2,⑤⑤⑥
 6, 1,Ｂエドノバラｰド, 38,小林淳, 2.2, 35,  -8, -21, 4,  8.9,③④④, 6, 2, ロｰテカリｰノ,---,北村宏, 1.5, 38, -25,*  0, 2,  5.4, ⑩⑦, 6, 8,Ｂジェイケイボストン, 75,北村宏, 0.5, 77,   4,  11, 3, 10.1, ⑩⑧, 6, 9,Ｄシングンリタｰンズ, 60,吉田豊, 0.7, 53, -15,  15, 7, 19.7,⑨⑦⑧
 7, 2,Ｉショウナンアロｰン, 19,吉田豊, 2.9, 30,  -9, -25, 6, 29.5,⑥⑥⑥, 7,11, ベリッシモ,---,村田一, 1.8, 33, -11, -15, 6, 21.8, ④④, 7,12,Ｆセトノヒット, 69,勝浦正, 0.5, 77,   2,* 13, 5, 19.1, ⑭⑭, 7, 7,Ｇスパｰクキャンドル, 51,ペリエ, 0.9, 43,*-12,   5, 3,  4.5,②②②
 8, 3,Ｅスプリッツァｰ, 28,菊沢隆, 3.2, 27, -11, -24, 7, 42.1,⑧⑧⑧, 8,14, キタノアラシ,---,蛯名正, 1.9, 31, -14, -13, 5, 12.3, ⑤⑤, 8,11,Ｐメジロタｰキッシュ, 57,菊沢隆, 0.6, 76,   2,* 12,13,140.8, ⑭⑫, 8,10,Ｅトウカイブレイズ, 58,勝浦正, 1.0, 51, -17,  15, 9, 76.9,⑦⑨⑨
 9, 5,Ｆリバｰブレイブ, 25,郷原洋, 3.5, 26, -12, -26, 9, 66.4,⑨⑨⑨, 9, 1, デｰワンハｰト,---,菊沢隆, 2.4, 26, -24, -10,13,198.6, ⑧⑪, 9,10,Ｈスマｰトエッジ, 67,蛯名正, 0.8, 74,   4,   8, 6, 26.8, ⑩⑫, 9, 8,Ｂリアルヴィクトリｰ, 64,ルメｰ, 1.3, 39, -14,   2, 4,  4.8,⑩③④
,,,,,,,,,,,,10,12, グランディブルｰ,---,吉田豊, 2.4, 28, -16, -16,12,139.0, ⑥⑦,10,16,Ｉフジヤマスウィｰプ, 66,江田照, 0.9, 73,   7,   4,10, 71.8, ⑥⑧,10, 5, ミサトマｰブル,---,江田照, 2.3, 35, -17,  -4,10,214.1,⑦⑨⑩
,,,,,,,,,,,,11, 5, サチノインパクト,---,松岡正, 2.5, 27, -33,  -2,11,138.8, ⑬⑫,11, 5,Ｍザップトウショウ, 62,小林淳, 0.9, 73,   9,   3,16,208.4, ⑥⑥,,,,,,,,,,,,
,,,,,,,,,,,,12, 6, イシノチカラ,---,小林淳, 2.6, 26, -27,  -9, 8, 36.9, ⑪⑦,12, 7,Ｎトワイニングイモン, 62,南田雅, 0.9, 73,   5,   6,12,106.4, ⑩⑧,,,,,,,,,,,,
,,,,,,,,,,,,13, 9, マウントフッド,---,千葉直, 4.4, -6, -46, -12,14,281.0, ⑭⑭,13,15,Ｄソロソログランプリ, 71,ルメｰ, 1.0, 73,* 15,  -4, 2,  2.5, ②②,,,,,,,,,,,,
,,,,,,,,,,,,14,13, クニサキミノル,---,田中博, 5.1,-42, -31, -31,10,112.9, ⑫⑫,14, 6,Ｋアタゴビッグマン, 66,小野次, 1.2, 70,  -5,* 13,14,144.6, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｊレオフォｰレンス, 66,吉田隼, 1.3, 70,* 14,  -6,11, 73.5, ③②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｏバｰドントロフィｰ, 60,柴山雄, 2.6, 56,   5, -11,15,152.0, ⑩⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-2),,,,,,,,,,,
"単勝:240円 複勝:08=120円 06=550円 09=370円 枠連:3,210円",,,,,,,,,,,,単勝:680円 複勝:10=160円 08=110円 07=190円 枠連:440円,,,,,,,,,,,,"単勝:4,970円 複勝:13=850円 03=380円 14=140円 枠連:1,420円",,,,,,,,,,,,単勝:440円 複勝:01=160円 02=140円 04=360円 枠連:710円,,,,,,,,,,,
"馬連:4,120円 ワイド:06-08=1,080円 08-09=600円 06-09=3,300円",,,,,,,,,,,,馬連:530円 ワイド:08-10=240円 07-10=620円 07-08=300円,,,,,,,,,,,,"馬連:18,570円 ワイド:03-13=5,290円 13-14=1,420円 03-14=720円",,,,,,,,,,,,馬連:710円 ワイド:01-02=270円 01-04=990円 02-04=750円,,,,,,,,,,,
"馬単:5,970円 3連複:10,480円",,,,,,,,,,,,"馬単:1,560円 3連複:1,230円",,,,,,,,,,,,"馬単:45,450円 3連複:16,840円",,,,,,,,,,,,"馬単:1,710円 3連複:2,930円 3連単:11,220円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.8,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■11R  芝3600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾃｲﾔｰｽﾞS ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂジファｰル, 48,田中博,, 64,*  1,   0, 2,  6.3, ①①, 1,11, プリマフォルツァ,---,北村宏,, 64,  -6,* 13, 6, 21.3,⑪⑪⑦, 1, 6,Ａフィｰルドオアシス, 80,松岡正,, 80,* 10,*  9, 3,  5.4,⑤④④, 1, 4,Ｊマキハタサイボｰグ, 77,吉田豊,, 95,  15,* 18, 7, 50.7,⑨⑦①
 2, 4,Ｃソｰマジック, 46,ルメｰ, 0.0, 64,  -3,*  6, 1,  1.4, ④③, 2,10, ウインマグナム,---,柴田善, 0.2, 63,*  0,  -1, 3,  4.6,①①①, 2,15,Ｃドリｰミｰペガサス, 71,蛯名正, 0.2, 79,* 10,   6, 1,  2.0,⑤③②, 2,11,Ｃネヴァブション, 87,北村宏, 0.1, 93,* 16,* 15, 2,  7.1,⑥④②
 3, 1,Ｉアメリカンヒロイン, 29,小林淳, 1.3, 51,  -6,  -5,11,212.4, ⑤⑤, 3, 2, ライトニングソｰド,---,ルメｰ, 0.6, 56,  -4,  -1, 2,  4.0,⑦④④, 3, 8,Ｂノワｰルシチｰ, 77,柴田善, 0.4, 77,   9,   7, 2,  4.9,⑨⑦④, 3, 2,Ｄアドマイヤモナｰク, 85,村田一, 0.3, 93,  15,* 15, 5, 22.7,⑨⑨②
 4,10,Ｄサマｰグロリアス, 34,吉田隼, 1.4, 50,  -6,  -6, 8, 63.6, ⑤⑥, 4, 7, タイキルネサンス,---,蛯名正, 0.8, 54,* -2,  -7, 1,  2.6,④②②, 4, 5,Ｋプロミスフェアｰ, 65,吉田隼, 0.4, 77,   8,   8,11, 76.2,⑨⑧⑨, 4, 6,Ａトウカイトリック, 95,ルメｰ, 0.3, 89,* 15,  11, 1,  1.5,⑥④④
 5, 3,Ｊメジロアリエル, 27,吉田豊, 1.5, 46, -20,*  6, 3,  7.5, ⑭⑬, 5, 5, レッドアゲｰト,---,柴山雄, 0.8, 52,  -6,  -1, 7, 26.7,⑨⑧⑨, 5, 9,Ｉテンジンダイカグラ, 69,丹内祐, 0.5, 75,   6,* 12,14,204.6,⑫⑮⑭, 5, 9,Ｈメジロトンキニｰズ, 82,武士沢, 1.9, 78,  14,  -6,10, 93.9,⑪⑪⑦
 6, 9,Ａネバｰグレイス, 48,郷原洋, 1.6, 46, -12,  -2, 5, 15.0, ⑪⑪, 6, 8, ラッキｰサムタイム,---,村田一, 1.2, 46, -10,   0, 5, 18.8,⑭⑭⑫, 6, 2,Ｊトｰセンベルボｰイ, 68,勝浦正, 0.6, 74,   7,*  9,10, 55.4,⑮⑫⑨, 6, 7,Ｌパｰプルファルコン, 71,菊沢隆, 2.1, 78,  14,  -7,13,201.2,⑬⑪④
 7,14,Ｍベストカップル, 11,柴田善, 1.7, 48,*  1, -15, 6, 22.6, ③③, 7, 1, コスモエラプション,---,小林淳, 1.2, 47,  -6,  -7,12,119.7,⑦⑧⑨, 7, 1,Ｈリオサンバシチｰ, 69,江田照, 0.7, 74,   7,   8, 8, 47.2,⑬⑫⑬, 7,10,Ｂエｰシンダｰドマン, 91,松岡正, 2.4, 72,  14, -15, 3,  7.4,⑫⑨⑦
 8, 5,Ｅベストチョイス, 33,柴山雄, 2.0, 43,  -8, -10, 4, 12.1, ⑦⑦, 8, 4, ショウナンアヤカ,---,吉田豊, 1.3, 47,  -4, -12, 8, 30.9,④④⑦, 8, 7,Ｅマナｰハウス, 70,木幡初, 1.0, 72,   8,   3, 6, 32.3,⑬⑪⑨, 8, 5,Ｋゴｰウィズウィンド, 75,蛯名正, 2.8, 71,* 15, -27,12,174.3,⑧④⑩
