07年 8月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8.0,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.7,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,月岡温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａリｰベストラウム, 57,田中博,, 69, -23,* 26, 3,  5.5, ⑪⑪, 1,10,Ｂリカオｰナイン, 52,中舘英,, 72,* -3,* 12, 2,  3.1,①①①, 1,11,Ｅシルクプログレス, 57,北村宏,, 68,  -2,* 15, 1,  2.8, ⑩⑪, 1,11,Ｉマイネルクラッチ, 75,田中博,, 70,* 16, -13, 5, 11.0, ①①
 2, 6,Ｑスエズ,-16,石橋脩, 0.2, 55, -14,* 12,11,122.3, ④④, 2, 3,Ａヤマニンピボワンヌ, 55,二本柳, 0.5, 66,* -4,*  9, 1,  3.0,②②②, 2, 9,Ｇエンジェルステｰジ, 54,石橋脩, 0.1, 66,  -4,* 18, 2,  4.5, ⑫⑫, 2, 4,Ａカゼノコウテイ, 83,石橋脩, 0.0, 86, -12,* 34, 7, 11.4, ⑯⑮
 3, 3,Ｇショウナンハゴロモ, 35,後藤浩, 0.5, 44,*-12,   2, 2,  4.3, ①①, 3, 6,Ｄコスモシウテクトリ, 44,石橋脩, 1.6, 57,  -8,*  7, 5, 13.1,⑫⑧⑦, 3,17,Ｃコスモピロリ, 58,吉田隼, 0.1, 67,  -1,  12, 3,  5.0, ⑧⑧, 3, 7,Ｅカレンナサクラ, 79,武士沢, 0.1, 78,  -9,* 28, 2,  4.9, ⑬⑬
 4,13,Ｂダイワアンリ, 47,北村宏, 0.6, 43,*-12,   2, 1,  2.1, ②②, 4,11,Ｆマイネルセグレイト, 43,吉田隼, 1.6, 53,* -5,   1, 4, 10.8,⑤③③, 4, 8,Ｋラｰドロキングリｰ, 47,後藤浩, 0.2, 65,  -1,  10, 6, 12.4, ⑩⑧, 4,12,Ｑタケデンノキボｰ, 52,安藤光, 0.3, 61,*  6,  -2,14, 72.3, ③③
 5,15,Ｊストロングマリオン, 30,木幡初, 0.8, 42, -15,   4, 6, 23.9, ⑤⑤, 5, 1,Ｃニシノシンワ, 47,安藤光, 1.8, 50,* -5,  -1, 8, 23.3,③③③, 5,12,Ｂフィｰルフィット, 58,松岡正, 0.3, 64,   1,   4, 5, 12.3, ⑤⑤, 5, 2,Ｎキングルｰキｰ, 71,土谷智, 0.3, 64,   1,  13, 6, 11.1, ④④
 6,12,Ｃジｰピｰエンブレム, 44,吉田稔, 1.0, 39, -16,   2, 4,  7.2, ⑤⑤, 6, 4,Ｎマンハッタンナイト, 34,松岡正, 2.3, 47,  -7,  -2, 3,  6.1,⑥⑦⑥, 6, 4,Ｆファストソニック, 57,吉田豊, 0.4, 63,*  3,  -2, 7, 14.1, ③③, 6, 8,Ｋアイリッシュホｰク, 75,後藤浩, 0.3, 76,  -9,* 28, 1,  4.5, ⑬⑭
 7, 1,Ｅポイントベクトル, 40,中舘英, 1.1, 46, -23,* 12, 7, 24.2, ⑰⑰, 7,15,Ｅロｰリングソバット, 44,田辺裕, 2.4, 45,  -5,  -6, 7, 21.2,⑩③③, 7,13,Ｌニシノムツラボシ, 45,石神深, 0.7, 59,  -7,* 15,12,120.8, ⑰⑯, 7,13,Ｇパｰトゥｰアワｰズ, 76,北村宏, 0.5, 64,  -7,  19, 3, 10.0, ⑩⑪
 8, 5,Ｈチャｰムキャップ, 34,小野次, 1.3, 38, -21,   6,13,178.3, ⑬⑭, 8, 5,Ｈテキサスイｰグル, 41,木幡初, 3.2, 40,  -6, -12,10, 33.2,③⑥⑦, 8, 7,Ｊメジロカペラ, 49,菊沢隆, 0.7, 59,*  2,  -6,10, 71.6, ③③, 8, 5,Ｊジュラナスリング, 75,松岡正, 0.5, 60,  -3,  13,12, 36.4, ⑦⑥
