07年 4月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月15日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.5,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.6,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,,■10R  芝1600m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,卯月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａレオスマイル, 62,安藤勝,, 53,  -5,* -1, 1,  2.6, ⑤⑥, 1,10,Ｅキングタキオン, 58,岩田康,, 58, -15,* 12, 6, 16.3,⑤⑤④, 1, 3,Ｆロｰランウェルズ, 55,北村宏,, 61,*-14,  17, 7, 33.5,②②②, 1, 9,Ａマシュリク, 88,蛯名正,, 83,   5,* 18, 1,  2.4,⑧⑥⑤
 2,10,Ｄアリマエンプレス, 50,蛯名正, 0.0, 53,  -5,* -1, 6, 12.7, ⑤③, 2, 7,Ｄフサイチルネサンス, 61,田中勝, 0.1, 49,*-13,   6, 3,  8.3,③③②, 2, 9,Ｂサンワｰドピラｰ, 63,藤田伸, 0.0, 62,*-15,* 18, 4,  8.7,③②②, 2, 4,Ｂゼットフラッシュ, 84,藤田伸, 0.1, 83,   5,  18, 3,  6.0,⑤⑥⑤
 3,12,Ｆシャｰペンセンス, 46,後藤浩, 0.3, 54,*  1,  -9, 5, 10.7, ②②, 3, 4,Ｆメジロアルタイス, 55,吉田豊, 0.4, 56, -17,* 12, 4,  9.6,⑫⑫⑩, 3, 4,Ａペイデイ, 64,田中勝, 0.4, 61, -18,* 19, 2,  3.5,⑦⑦⑥, 3,10,Ｆトウショウカレッジ, 80,池添謙, 0.1, 84,   3,* 20, 4,  9.3,⑩⑪⑨
 4,11,Ｃショウナンワイズ, 53,藤田伸, 0.4, 55,*  2, -11, 3,  5.9, ①①, 4,14,Ａジャンバルジャン, 71,横山典, 0.4, 51, -16,*  9, 1,  1.5,⑦⑨⑦, 4,10,Ｇカナハラグロリア, 54,蛯名正, 0.5, 55, -15,  14, 5, 13.4,⑦④④, 4,12,Ｋトｰセンテンショウ, 78,藤岡佑, 0.2, 80,  -1,* 20,16,170.9,⑭⑬⑭
 5, 6,Ｇイエロｰファイト, 45,岩田康, 0.6, 49,  -2, -10, 7, 29.4, ③③, 5, 3,Ｂウェンブリｰ, 63,柴田善, 0.4, 43, -14,   3, 5, 15.1,③④④, 5, 2,Ｃスタｰラビット, 60,横山典, 0.7, 49,*-14,  10, 3,  6.4,①①①, 5,13,Ｉロｰランジェネルｰ, 79,北村宏, 0.4, 70,   6,   6,15,120.6,③③③
 6, 7,Ｅチェリｰスイッチ, 48,吉田豊, 1.0, 42,  -7,  -9, 9, 49.2, ⑦⑧, 6, 1,Ｌマイネナデシコ, 44,藤田伸, 0.6, 37,*-12,  -6,10,147.3,①①②, 6, 1,Ｊダンシングタイガｰ, 49,勝浦正, 0.7, 50, -15,  12, 9,132.9,③④④, 6, 1,Ｍガッテンワン, 77,村田一, 0.4, 73,   3,  13, 5, 15.1,⑩⑨⑨
 7, 1,Ｈウインエトワｰル, 40,福永祐, 1.1, 41,  -8,  -9, 8, 37.6, ⑦⑦, 7,13,Ｃショウナンアンバｰ, 63,後藤浩, 0.7, 38, -14,   0, 2,  7.9,⑤⑤④, 7, 7,Ｄアイアムドラマ, 60,武豊  , 0.9, 48, -16,  11, 1,  1.9,⑤⑥⑥, 7, 5,Ｅサンキンバスタｰ, 81,岩田康, 0.4, 74,   4,  12, 6, 16.1,③⑥⑤
 8, 3,Ｂプリティコニｰ, 57,江田照, 1.3, 43,* -1, -18, 4,  8.5, ③③, 8,12,Ｉマチカネフクノカミ, 49,蛯名正, 0.8, 42, -16,   5, 7, 21.9,⑩⑨⑩, 8, 6,Ｅショウナンバラｰド, 58,吉田豊, 1.0, 53, -18,  15, 6, 26.0,⑨⑨⑨, 8, 3,Ｃリザｰブカｰド, 82,柴田善, 0.6, 74,   4,  13, 2,  5.4,⑫⑪⑨
 9, 5,Ｉサクラチャｰム, 32,松岡正, 1.6, 36,  -7, -15,10, 76.0, ⑦⑨, 9, 2,Ｇダイワジェラｰト, 50,北村宏, 1.1, 37,*-12, -12, 9,126.1,②②①, 9, 5,Ｈマイネエムロｰド, 53,松岡正, 1.0, 54, -19,  16,10,145.9,⑩⑨⑧, 9, 7,Ｊモエレフィｰルド, 79,吉永護, 0.7, 63,* 11,  -6, 8, 23.2,①①①
10, 9,Ｊマチカネビｰナス, 29,丸田恭, 2.2, 29, -14, -17,12,517.9, ⑪⑪,10, 9,Ｈウィナｰズカｰド, 49,松岡正, 1.1, 36, -16,   0, 8, 34.8,⑦⑨⑦,10, 8,Ｉブレｰブソルジャｰ, 52,上村洋, 3.1, 35, -17,  -7, 8, 85.6,⑤⑦⑨,10, 6,Ｇラブハｰト, 80,田中勝, 0.7, 65,* 10,  -2,10, 38.5,②②②
11, 2, テルミヌス,---,横山典, 2.2, 30,  -9, -19, 2,  3.2, ⑩⑩,11, 5,Ｋマドリｰドシチｰ, 46,武士沢, 1.2, 33, -15,  -5,11,335.0,⑪⑦⑩,,,,,,,,,,,,,11, 8,Ｌレオニダス, 77,福永祐, 0.8, 70,  -2,  14,11, 40.5,⑯⑯⑭
12, 8,Ｋタケデンブロンド, 23,藤岡佑, 2.9, 25, -12, -23,11,174.0, ⑪⑪,12, 6,Ｎコスモキラウェア, -9,江田照, 1.5, 27, -20,  -5,13,552.4,⑬⑫⑬,,,,,,,,,,,,,12,11,Ｎトｰセンハピネス, 75,川田将, 0.8, 66,   3,   7,14, 58.2,⑧⑨⑫
,,,,,,,,,,,,13, 8,Ｊテゾｰロ, 47,上村洋, 1.7, 33, -15, -12,12,476.6,⑦⑦⑦,,,,,,,,,,,,,13,15,Ｄダンスフォｰウィン, 82,横山典, 1.1, 62,   7,  -3, 7, 17.7,⑤③⑤
,,,,,,,,,,,,14,11,Ｍカルストンヒットオ, 34,村田一, 2.3, 28, -19, -12,14,620.0,⑭⑭⑬,,,,,,,,,,,,,14, 2,Ｏトｰヨｰエｰピｰ, 72,小林淳, 1.1, 59,  -1,   4,13, 57.9,⑭⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｈタイキシルバｰ, 80,武豊  , 1.2, 59,   0,   3, 9, 32.8,⑫⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｐダイワティグリス, 71,勝浦正, 1.2, 59,   6,  -4,12, 57.7,⑤⑤③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+24 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,
"単勝:260円 複勝:04=130円 10=270円 12=290円 枠連:1,490円",,,,,,,,,,,,"単勝:1,630円 複勝:10=380円 07=260円 04=320円 枠連:3,650円",,,,,,,,,,,,"単勝:3,350円 複勝:03=480円 09=250円 04=140円 枠連:3,970円",,,,,,,,,,,,単勝:240円 複勝:09=130円 04=180円 10=260円 枠連:250円,,,,,,,,,,,
"馬連:1,380円 ワイド:04-10=520円 04-12=730円 10-12=1,650円",,,,,,,,,,,,"馬連:4,150円 ワイド:07-10=1,170円 04-10=1,320円 04-07=940円",,,,,,,,,,,,"馬連:10,060円 ワイド:03-09=2,110円 03-04=1,130円 04-09=530円",,,,,,,,,,,,馬連:710円 ワイド:04-09=320円 09-10=470円 04-10=720円,,,,,,,,,,,
"馬単:1,770円 3連複:5,350円",,,,,,,,,,,,"馬単:11,420円 3連複:10,630円",,,,,,,,,,,,"馬単:19,530円 3連複:7,510円",,,,,,,,,,,,"馬単:1,100円 3連複:1,810円 3連単:5,650円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8.5,,,,,■ 5R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■ 8R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,桜草特別,,,,,,,,,,,,皐月賞 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂスタｰシップ, 45,北村宏,, 63,  -7,*  8, 2,  3.6,⑤③③, 1, 5,Ｇエフテｰストライク, 46,武士沢,, 69, -10,* 14, 6, 49.9, ⑦⑦, 1,13,Ｂテラノフォｰスワン, 71,藤田伸,, 69,*  8,  -2, 2,  3.7, ①①, 1,17,Ｎヴィクトリｰ, 66,田中勝,, 77,* 15,   4, 7, 17.3,①①①
 2,12, ハヤテ,---,勝浦正, 0.3, 58,* -6,*  4, 7, 33.9,②②②, 2, 6,Ａシベリアンクラシカ, 73,田中勝, 0.2, 61,   2,   0, 1,  1.8, ②②, 2, 8,Ｃフィクシアス, 70,柴田善, 0.1, 67,   1,   4, 1,  3.0, ⑥③, 2, 9,Ｍサンツェッペリン, 68,松岡正, 0.0, 77,* 14,   7,15,100.6,②②②
