07年 5月 6日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 5月 6日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■ 7R  芝1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■10R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,わらび賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆセｰフアズロック, 44,津村明,, 64,  -4,*  6, 3,  6.6, ③③, 1, 5,Ｅマイネルデネブ, 52,北村友,, 59,* -2,   5, 2,  3.8, ①①, 1, 7,Ｃプラジェラｰト, 64,宮崎北,, 73, -26,* 31, 7, 19.3, ⑨⑩, 1, 9,Ｆゴｰルデンシャイン, 63,石橋脩,, 66,   1,*  7, 2,  4.1,⑦⑧⑥
 2,11, デスピュｰトロマン,---,中舘英, 0.1, 60,*  0,   1, 1,  2.8, ①①, 2, 9,Ａストロングラリｰ, 61,木幡初, 0.2, 68,  -6,* 16, 1,  3.1, ⑧⑦, 2, 6,Ａマイネコンテッサ, 76,塚田祥, 0.1, 62, -23,* 26, 2,  3.5, ⑤⑥, 2,12,Ｉベルグミサイル, 57,菊沢隆, 0.2, 64,   0,*  7, 4,  8.7,⑨⑩⑩
 3, 4,Ｅクロスベンハｰ, 45,芹沢純, 0.5, 58,  -8,*  5, 6, 16.5, ⑥⑥, 3,12,Ｌマッキｰパシオン, 39,梶晃啓, 0.2, 74,  -9,* 21,14,293.4, ⑫⑫, 3,11,Ｌアクティブアクト, 57,大野拓, 0.3, 43,*-19,  15,15,326.4, ②②, 3, 5,Ｊテンシノライアン, 56,中村将, 0.4, 63,   1,*  4, 7, 10.7,⑬⑧⑨
 4,13,Ｊマルタｰズドｰラ, 44,吉田隼, 0.6, 53,* -2,  -2, 5, 15.6, ②②, 4, 6,Ｂショウナンアンバｰ, 60,中舘英, 0.2, 61,  -3,   8, 5, 10.9, ③③, 4, 2,Ｊコスモシレナ, 58,田中博, 0.3, 51, -23,  20, 9, 28.2, ⑤⑥, 4,15,Ｃヒシポラリス, 65,吉田隼, 0.8, 61,*  4,  -5, 1,  3.7,②②①
 5,15,Ｂカシノラブコｰル, 53,西田雄, 0.9, 50,  -5,  -2,10, 54.2, ③④, 5,10,Ｍチアズマｰヴェラス, 36,小野次, 0.5, 57,  -4,   7, 7, 31.5, ④④, 5,13,Ｄサクラトレゾア, 63,菊沢隆, 0.4, 53, -22,  22, 8, 23.1, ⑧⑥, 5,13,Ｂグッドチョイス, 66,中舘英, 1.0, 58,   0,   0, 5, 10.0,⑪⑩⑩
 6, 9,Ａマイティマイロｰド, 60,田中克, 0.9, 47,  -5,  -4, 2,  3.0, ③④, 6, 7,Ｎアｰバンスイｰツ, 34,津村明, 0.7, 56,  -6,   8,10, 43.6, ⑧⑦, 6, 8,Ｏメイショウマボンヌ, 54,石橋脩, 0.4, 46, -19,  17,10, 28.7, ④④, 6, 2,Ａシルクプレスト, 66,北村友, 1.0, 59,*  3,  -5, 8, 11.0,③④④
 7, 1,Ｈタマモグッドラック, 44,田中博, 1.2, 46, -13,   0, 8, 30.6, ⑨⑧, 7, 8,Ｇノボスコｰピオ, 52,石橋脩, 0.9, 53,  -6,   5, 4,  6.9, ⑩⑩, 7,12,Ｍチェイスバニヤン, 57,梶晃啓, 0.4, 42,*-17,  13,12, 50.1, ①①, 7,11,Ｄマイネルマニセス, 65,芹沢純, 1.9, 52,*  3, -15, 9, 25.0,③③②
 8, 2,Ｋトｰワコジｰン, 40,赤木高, 1.3, 49, -14,   3, 9, 34.5, ⑪⑪, 8,11,Ｈシルクトワイライト, 49,吉田隼, 1.1, 49,  -6,   2, 3,  3.9, ⑩⑩, 8, 1,Ｈストｰルンブライド, 61,吉田隼, 0.4, 57, -22,  24, 1,  3.2, ⑨⑨, 8,10,Ｇパｰリｰゲイツ, 60,赤木高, 1.9, 52,   2, -13, 3,  6.6,⑦⑥⑥
