07年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 7R  ダ2300m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美濃特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄレインボｰルシファ, 52,池田鉄,, 67,*  6,*  0, 5, 19.1, ②②, 1,15,Ａシャペロンルｰジュ, 64,的場勇,, 60,*  4,  -2, 7, 17.2, ①①, 1,12,Ａカレンパパ, 78,北村友,, 70,*  0,* 11, 2,  4.8,⑤④④, 1, 2,Ｄタガノアイガｰ, 67,橋本美,, 73,   1,* 15, 1,  2.1,⑪⑪⑥
 2, 3,Ｂトキノムテキ, 60,赤木高, 0.2, 64,*  8,  -3, 2,  3.2, ①①, 2,16,Ｇケイアイアップヒル, 50,菊沢隆, 0.4, 60,  -5,   5, 3,  6.9, ⑥④, 2, 8,Ｃメイショウアズｰロ, 66,スボリ, 0.3, 72,   0,* 14, 7, 22.4,⑨⑧⑧, 2, 8,Ｆトドロキカポネツｰ, 63,柴山雄, 0.3, 68,   4,   4, 7, 28.5,⑦③④
 3,15,Ｃカシノダンク, 56,北村友, 0.3, 60,  -5,*  2, 1,  2.7, ⑦⑦, 3,10,Ｃケイエスバウアｰ, 59,難波剛, 0.7, 54,  -7,   2, 1,  2.3, ⑥⑦, 3,11,Ｍメイショウカレン, 46,柴山雄, 0.3, 73,  -1,* 17, 9, 80.6,⑭⑪⑨, 3,15,Ｃマルイチクエスト, 70,幸英明, 0.3, 68,*  6,  -2, 5, 10.7,①①①
 4, 6,Ｆテイエムシップウ, 51,和田竜, 0.4, 62,   3,  -2, 4,  6.2, ③③, 4, 4,Ｉキリシマスピｰド, 46,上村洋, 0.7, 59, -17,* 11, 6, 13.4, ⑩⑨, 4,13,Ｈバンダムカｰン, 58,安藤光, 0.4, 70,   1,  10, 8, 26.1,⑧⑦⑥, 4, 5,Ｂリヴァプｰル, 70,北村友, 0.3, 67,   4,   4, 4, 10.0,⑤③③
 5, 8,Ｈテイエムフルパワｰ, 45,中舘英, 0.7, 57,   0,  -3, 6, 22.2, ⑥④, 5, 7,Ｂブラックホｰル, 62,太宰啓, 0.8, 55, -15,*  8, 2,  4.5, ⑩⑨, 5, 7,Ｆカブキメｰク, 63,和田竜, 0.6, 67,*  2,   4, 6, 15.5,②②②, 5, 6,Ｅダンスオｰルナイト, 66,中舘英, 0.5, 66,   3,   4, 3,  7.8,⑧⑨⑥
 6,10,Ａアンクルレオン, 60,池添謙, 0.7, 57,   2,  -4, 3,  4.5, ④④, 6,14,Ｄハニｰダンサｰ, 58,渡辺薫, 1.0, 46,  -4,  -6, 4,  9.2, ⑤④, 6, 1,Ｅテイエムカミガカリ, 65,中舘英, 1.2, 63,*  3,  -3, 4,  8.7,①①①, 6,12,Ｎホクテンハイトップ, 56,菊沢隆, 0.5, 65,   0,* 10,14,213.8,⑯⑫⑫
 7, 7,Ｇヒットトップガン, 45,河北通, 1.0, 53,  -9,*  0, 8, 50.1, ⑩⑨, 7, 2,Ｋタカラジャイアンツ, 37,和田竜, 1.1, 45,   0, -11,12,148.0, ③③, 7, 2,Ｂサクセスラゴｰラ, 70,熊沢重, 1.3, 62,*  2,  -4, 1,  2.1,②②②, 7,13,Ａフルヴィクトリｰ, 73,赤木高, 0.5, 65,   0,* 10, 2,  4.0,⑭⑫⑫
 8,12,Ｎプラチナムペスカ, 23,中村将, 1.2, 48,   1, -10,10,102.7, ④⑥, 8, 6,Ｈファストソニック, 48,塚田祥, 1.2, 44, -14,  -1, 9, 31.8, ⑧⑦, 8, 5,Ｇトシツカサオｰ, 62,幸英明, 1.4, 62,*  1,  -2, 5, 11.5,⑤④④, 8, 7,Ｍセルリアンシャチ, 56,渡辺薫, 0.6, 64,   2,   4,13,180.7,⑪⑨⑥
 9, 4,Ｅベルグコマンダｰ, 51,的場勇, 1.2, 48,  -8,  -5, 9, 67.1, ⑨⑨, 9,11,Ｅマヤノバルトｰク, 54,浜中俊, 1.5, 36, -17,  -5,10, 32.3, ⑩⑨, 9, 6,Ｄスリｰハイランド, 65,橋本美, 1.8, 62,  -1,   3, 3,  5.8,⑩⑪⑩, 9,10,Ｋマリｰエンジェル, 58,二本柳, 0.6, 63,  -1,* 10,15,288.3,⑬⑮⑭
