07年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,,■ 4R  芝1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筑前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂヴィヴァｰチェ, 53,塚田祥,, 62,*  6,  -8, 1,  2.1, ①①, 1, 7, ツルマルオジョウ,---,塚田祥,, 58, -28,* 24, 3,  4.2,⑫⑤③, 1, 4,Ｃチェリスト, 62,嘉藤貴,, 62,*-12,* 14, 6, 11.1,⑤③④, 1, 1,Ｂミュｰジックホｰク, 69,中舘英,, 74,*  4,* 10, 5, 10.7,①①①
 2,14,Ｃユｰオｰミｰ, 52,中舘英, 0.3, 58,*  4, -10, 4,  6.3, ②②, 2, 6, ベルベットジャガｰ,---,スボリ, 0.2, 44,*-24,  15, 7, 16.4,②①②, 2, 3,Ｄニホンピロファイブ, 62,赤木高, 0.0, 61,*-12,* 13, 4,  7.8,③③④, 2, 8,Ａアドマイヤサンサン, 69,鮫島良, 0.5, 69,*  2,   7, 1,  2.8,⑤③②
 3,11,Ｉダンツクラフト, 39,田中克, 0.9, 41,  -7, -11,11, 71.4, ③③, 3, 4, オｰシャンレディｰ,---,古川吉, 0.3, 47, -26,  18, 4,  7.0,④⑤③, 3, 9,Ｇヤマニンリュクス, 57,北村友, 0.3, 56, -15,* 12, 8, 23.3,⑩⑦⑧, 3, 3,Ｅピｰタｰキャット, 63,小林久, 0.7, 68,  -2,* 11, 4,  9.2,⑭⑩⑫
 4, 4,Ａシルバｰジャンパｰ, 54,北村友, 1.2, 35, -12, -11, 2,  5.2, ⑦⑥, 4, 1, グラスゾｰン,---,鈴来直, 0.5, 49, -29,* 20, 6, 13.7,⑨⑧⑦, 4,11,Ｌトｰセンマウンテン, 51,二本柳, 0.3, 59, -13,* 13,10, 70.0,⑪⑦⑩, 4, 9,Ｉミココロ, 55,嘉藤貴, 0.9, 65,   0,   4,11, 77.5,⑦⑦⑥
 5, 2,Ｅマルダイロマン, 46,菊沢隆, 1.3, 36, -15,  -7, 7, 25.3, ⑩⑫, 5, 9, アグネスタイガ,---,藤岡佑, 0.5, 36,*-24,  11, 2,  4.2,①②①, 5,13,Ａニッシンテｰスト, 70,塚田祥, 0.4, 53,*-12,   9, 1,  2.7,③③③, 5, 6,Ｇマイネルパラシオ, 62,田中博, 0.9, 65,  -1,   7, 7, 23.7,⑫⑩⑩
 6, 8,Ｌドリｰムオンシップ, 30,スボリ, 1.4, 37,  -7, -14, 6, 23.6, ⑥⑥, 6,14, オッティマルｰチェ,---,鮫島良, 0.6, 34,*-26,  10, 1,  3.7,③③③, 6,12,Ｈタツシャンハイ, 56,鮫島良, 0.4, 54,*-13,  10, 9, 58.2,⑤③④, 6,10,Ｄリｰドザダンス, 65,赤木高, 0.9, 63,*  3,  -2, 2,  3.2,②②②
 7, 7,Ｎスリｰスノｰグラス,-55,橋本美, 1.5, 36,  -5, -16, 5, 18.7, ③④, 7,12, ラウンドビスケット,---,赤木高, 0.6, 43, -28,  17, 5, 10.0,⑬⑧⑧, 7, 1,Ｂメイショウダンディ, 63,田中克, 0.5, 53, -15,  10, 2,  4.3,⑤⑦⑧, 7, 4,Ｈヤマニンアリエル, 56,橋本美, 1.0, 62,*  2,  -2, 8, 25.7,⑤③②
 8, 9,Ｇスｰパｰレインボｰ, 40,松田大, 1.5, 35, -19,  -7, 8, 26.9, ⑫⑫, 8, 5, リュウウイング,---,高橋智, 0.7, 33,*-25,   9,14,110.7,⑩③③, 8, 5,Ｆマイネルピエｰル, 58,中舘英, 0.6, 54, -13,  11, 3,  6.5,⑬⑦⑦, 8, 7,Ｎカシノトｰマス, 45,野元昭, 1.2, 60,*  2,  -4,14,195.6,③③⑦
 8, 5,Ｆアドマイヤミスティ, 40,赤木高, 1.5, 37, -23,* -4, 9, 40.9, ⑭⑭, 9, 8, ストレｰトブラスト,---,田辺裕, 1.0, 38, -30,  15,11, 71.4,⑩⑫⑩, 9, 7,Ｊグッドフロマｰジュ, 54,藤岡佑, 0.7, 54, -15,  12, 5, 10.2,⑨⑫⑪, 9,11,Ｋマイネルウェルス, 51,スボリ, 1.3, 59,*  2,  -7, 9, 33.8,③③②
10, 6,Ｈクルム, 39,芹沢純, 1.7, 34, -17, -11,10, 64.6, ⑫⑧,10,10, シｰクレットソング,---,渡辺薫, 1.7, 24, -28,   0,10, 64.2,⑤⑧⑧,10, 6,Ｋテンジンハナマツリ, 52,大野拓, 0.8, 45,*-11,   3,12,153.2,①①①,10, 2,Ｊシルクルフラン, 53,鈴来直, 1.3, 60,  -1,  -1,12, 83.0,⑨⑦⑩
11, 1,Ｄアラバマ, 51,梶晃啓, 1.8, 33,  -5, -19, 3,  5.5, ③④,11,11, ヒラボクキャロル,---,大野拓, 2.1, 19, -33,   0, 9, 40.8,⑭⑭⑩,11, 2,Ｅスズカイｰグル, 59,田中博, 1.5, 40, -16,   3, 7, 12.7,⑪⑫⑬,11,13,Ｆエムティｰエアｰ, 63,川島信, 1.4, 58,   0,  -4, 6, 14.1,⑦⑦⑦
12,12,Ｊビクトリアダンス, 36,田中博, 1.8, 28, -13, -16,14,180.3, ⑧⑧,12,13, マイネアプレイザｰ,---,田中博, 2.6,-16, -32, -11, 8, 21.2,⑦⑫⑬,12,10,Ｉヨシリマｰカブル, 55,高橋智, 1.5, 44, -16,   7,11, 89.8,⑭⑭⑭,12,14,Ｃロングユリシｰズ, 68,菊沢隆, 1.5, 58,  -1,  -2, 3,  6.6,⑨⑩⑦
13, 3,Ｍメイドンネｰム,  6,渡辺薫, 1.9, 30, -12, -16,12, 93.1, ⑧⑩,13, 3, ドンマイ,---,飯田祐, 2.6,-10, -29, -10,13, 84.3,⑦⑪⑬,13,14,Ｎアラタマハｰバｰ, 42,高井彰, 1.5, 41, -13,   1,13,204.4,⑧⑦⑪,13, 5,Ｍサファリバンブｰ, 49,田辺裕, 1.8, 55,  -4,  -2,13,126.0,⑪⑬⑭
14,13,Ｋメイショウジョウガ, 34,古川吉, 2.0, 29, -14, -16,13,165.5, ⑩⑪,14, 2, ブライティアアｰチ,---,中舘英, 3.1,-48, -27, -22,12, 77.4,⑥⑤⑩,14, 8,Ｍテンジンテンリュウ, 43,高山太, 1.8, 40,*-11,  -6,14,213.2,②②②,14,12,Ｌビｰトオｰル, 51,塚田祥, 1.8, 55,  -4,  -2,10, 67.8,⑬⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-12),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+26 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:稍重(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,
"単勝:210円 複勝:10=110円 14=180円 11=1,070円 枠連:430円",,,,,,,,,,,,"単勝:420円 複勝:07=160円 06=380円 04=230円 枠連:2,840円",,,,,,,,,,,,"単勝:1,110円 複勝:04=310円 03=260円 09=590円 枠連:4,550円",,,,,,,,,,,,"単勝:1,070円 複勝:01=250円 08=130円 03=240円 枠連:1,080円",,,,,,,,,,,
"馬連:580円 ワイド:10-14=280円 10-11=1,900円 11-14=3,620円",,,,,,,,,,,,"馬連:3,330円 ワイド:06-07=800円 04-07=590円 04-06=1,700円",,,,,,,,,,,,"馬連:3,410円 ワイド:03-04=1,310円 04-09=2,400円 03-09=2,100円",,,,,,,,,,,,"馬連:1,030円 ワイド:01-08=480円 01-03=1,150円 03-08=560円",,,,,,,,,,,
"馬単:870円 3連複:9,040円",,,,,,,,,,,,"馬単:5,800円 3連複:6,350円",,,,,,,,,,,,"馬単:6,710円 3連複:25,520円",,,,,,,,,,,,"馬単:2,700円 3連複:2,720円 3連単:17,930円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.3,,,,,■ 5R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■ 8R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.8,,,,,■11R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,
