07年 7月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.9,,,,,■ 4R  芝2770m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,彦星賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂアポロアパッチ, 55,後藤浩,, 66,* -7,* 11, 2,  3.4, ②②, 1, 4, メモリｰオブヨｰク,,横山義,,,,, 6, 11.6,⑧⑥④, 1, 9,Ｆバンダムカｰン, 64,南田雅,, 77,  -5,* 22, 7, 14.9,⑪⑦②, 1,12,Ｆチザルピｰノ, 65,坂井英,, 69,* -1,  14, 4, 10.6,②②①
 2, 1,Ａサクラスウィｰプ, 57,五十嵐, 0.1, 64,* -6,*  9, 3,  5.7, ①①, 2,10, カズノダンシング,,田中剛, 0.2,,,, 2,  6.4,④③③, 2, 3,Ｃマイネルコレドｰル, 72,大庭和, 0.1, 63,* -3,  14, 4, 10.3,①①①, 2,10, ダイワロシナンテ,---,吉田隼, 0.3, 72,  -5,* 18, 7, 20.1,⑤⑥⑤
 3, 4,Ｃアルファトリリオン, 54,二本柳, 0.7, 56,*-10,   6, 1,  2.1, ③③, 3, 2, トウショウビｰム,,宗像徹, 1.1,,,, 1,  2.0,①①①, 3, 6,Ｅリヴィエラブルｰ, 65,田中勝, 0.4, 60,* -5,  13, 1,  2.1,⑤③②, 3, 9,Ａペディクラリス, 76,後藤浩, 0.3, 69,  -4,* 16, 1,  1.8,⑤④③
 4, 8,Ｄリンガスフリｰト, 47,柴田善, 1.0, 53, -14,   7, 4, 10.5, ⑥④, 4, 3, トウキュウキング,,山本康, 1.4,,,, 3,  6.9,②②②, 4, 4,Ｉマイネナデシコ, 63,坂井英, 0.5, 62,  -6,  14, 8, 21.8,⑧⑦⑨, 4,11,Ｇゴｰルドロビン, 64,安藤光, 0.6, 63,  -3,  11, 6, 19.9,③③②
 5,12, タイキキャプテン,---,吉田豊, 1.7, 43, -17,   2, 6, 26.9, ⑧⑦, 5, 6, ミヤコミラクル,,柴田大, 2.7,,,, 9, 69.5,⑦⑤⑥, 5, 7,Ｊレイトスプリング, 49,吉田隼, 0.6, 59,  -4,  12, 2,  4.8,③⑦⑨, 5, 6,Ｄキングフォｰティ, 66,北村宏, 0.7, 63,  -4,  12, 2,  5.6,③④③
 6,11,Ｅホｰクドｰタｰ, 44,高山太, 1.8, 43, -20,   4,10, 49.1, ⑩⑨, 6, 7, グロｰリｰジョン,,五十嵐, 3.1,,,, 4,  6.9,④④④, 5, 5,Ｂサクラトレゾア, 72,二本柳, 0.6, 58,* -4,  11, 9, 35.7,⑧③②, 6, 5,Ｈソリッドエビデンス, 63,田中勝, 0.9, 67,  -8,* 17, 9, 27.8,⑩⑨⑧
 7, 9, クイックフロｰ,---,坂井英, 1.8, 45, -25,*  8, 7, 38.6, ⑬⑫, 7, 1, ジョッシュ,,浜野谷, 4.9,,,, 7, 26.9,④⑦⑦, 7, 2,Ｇグラスガルｰダ, 64,武士沢, 0.7, 62,  -6,  15, 5, 12.8,⑧⑪⑪, 7, 4,Ｂオｰスミダイケン, 71,赤木高, 1.2, 58,  -5,   9, 5, 11.7,⑨⑥⑤
 8,15,Ｈコウジンキンキ, 36,池崎祐, 1.9, 38, -15,  -5,13,110.1, ⑤④, 8, 8, モエレフェニックス,,高野和, 9.7,,,, 5,  7.5,③⑧⑧, 8,10,Ｄマイネルプロメッサ, 65,柴田善, 1.1, 50,* -4,   2, 3,  6.9,③③⑥, 8, 3,Ｃナカヤマスナイパｰ, 68,柴田善, 1.5, 57,  -8,  11, 8, 21.9,⑩⑨⑩
