07年12月23日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月23日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6.3,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3.8,,,,,■10R  ダ2300m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,矢作川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａシｰアクロス, 63,長谷川,, 52,* -2, -10, 1,  1.9,①①①, 1,11,Ｅキヲウエタオトコ, 58,石橋脩,, 74,* 15,  -3, 1,  3.8,②②②, 1, 8,Ｆセラフィックロンプ, 71,宮崎北,, 75,*  2,* 15, 2,  4.4,②③③, 1,16,Ｊサンアントニオ, 58,田中博,, 79,* 10,*  7,11, 39.8,②②②
 2, 7,Ｆドリｰムザドリｰム, 44,中舘英, 0.1, 48,  -9,*  1, 4,  8.1,⑭⑩⑦, 2,10,Ｎリッカモｰメント, 32,古川吉, 0.5, 59,   1,   3,15,134.2,⑨⑩⑦, 2, 4,Ｏロｰレルナイト, 58,池崎祐, 0.8, 67,  -3,* 11,10, 20.6,⑬⑪⑧, 2, 5,Ｇサンアスレチック, 59,丹内祐, 0.4, 75,*  9,   1, 5, 14.3,①①①
 3,10,Ｇレオプラズマ, 42,的場勇, 0.3, 47,* -4, -12,10, 63.8,⑨②②, 3, 5,Ｇヴェｰダバイオ, 51,藤岡康, 0.7, 55,   5,  -8, 7, 18.0,⑦⑦⑤, 3,10,Ｃマイネルゴｰシュ, 76,田中博, 0.9, 67,  -2,* 10, 3,  7.9,⑬⑪⑧, 3, 8,Ａマイネルアｰバニタ, 64,石神深, 0.4, 75,   6,* 11, 1,  2.5,⑭⑧⑦
 4,14,Ｂメイショウセンゴク, 56,古川吉, 0.4, 47,  -6,* -8, 5, 19.0,⑦④②, 4, 8,Ｈヴィオレットステラ, 50,柴山雄, 0.7, 65,* 16, -15, 3,  4.7,①①①, 4, 3,Ｄエムケイドリｰム, 74,的場勇, 1.0, 64,   0,   3, 1,  3.4,⑩⑤③, 4, 7,Ｅウインバリエンテ, 61,石橋脩, 0.8, 73,*  9,   0, 8, 28.3,③③③
 5,12,Ｃトｰホウオルビス, 50,中村将, 1.2, 40,* -5, -19, 3,  6.3,②③④, 5,13,Ｂメイショウロｰラン, 59,飯田祐, 0.8, 59,  10, -11, 2,  3.8,③③③, 5, 7,Ｌサクラサクセス, 61,藤岡康, 1.2, 61,  -1,   1,11, 27.8,⑥⑦⑥, 5,13,Ｃヒシウィンザｰ, 62,浜中俊, 0.9, 71,   8,   1, 3,  6.6,④④④
 6, 4,Ｌイマカツタイガｰ, 26,松田大, 1.5, 37,  -9, -13, 6, 30.2,⑪⑩⑩, 6, 2,Ｊスマックガｰル, 43,津村明, 0.8, 55,   2,  -3, 6, 15.2,⑨⑧⑦, 6,13,Ａツアｰデフォｰス, 82,小島太, 1.3, 58,*  2,  -8, 5,  8.3,②②②, 6, 9,Ｆショウケイ, 60,中舘英, 0.9, 72,   7,*  7, 4,  6.6,⑩⑧⑦
 7, 2,Ｅアイソトｰプ, 48,赤木高, 1.5, 38,  -7, -16, 2,  4.6,⑥⑦⑦, 7, 3,Ｄアｰスウイザｰド, 58,野元昭, 1.2, 54,  12, -18,12, 51.0,⑥③③, 7, 1,Ｉリキアイコンドル, 64,田村太, 1.4, 60,  -2,   1, 4,  8.1,⑩⑨⑪, 7, 4,Ｄゴｰルドジェネラル, 61,安藤光, 1.4, 69,   8,  -1, 2,  5.0,⑦⑤④
 8, 5,Ｏテイエムライダｰ,  9,高井彰, 1.6, 36,  -9, -13,16,327.5,⑩⑩⑩, 8,14,Ｌジャングルアイズ, 41,丹内祐, 1.2, 50, -10,   3,13, 82.1,⑬⑫⑪, 8,12,Ｈコウエイマｰブル, 66,生野賢, 1.5, 62,   1,   0, 7, 17.9,⑧⑨⑧, 8, 6,Ｎテイエムジカッド, 51,古川吉, 1.8, 65,   4,   2, 9, 31.3,⑫⑭⑭
 9, 3,Ｊクリノコブオｰ, 34,安藤光, 2.3, 31, -11, -18,11, 72.8,⑪⑭⑮, 9, 6,Ｋメリトゥム, 43,長谷川, 1.3, 51,  10, -18, 5, 11.1,③③⑥, 9,16,Ｂスｰパｰレインボｰ, 80,丸田恭, 1.6, 55,*  3, -14, 6, 17.1,①①①, 9,12,Ｉドレスコｰド, 59,赤木高, 1.9, 66,   8,  -6, 6, 15.4,⑯⑤④
10,16,Ｋメイショウオオマ, 28,浜中俊, 2.9, 25,  -8, -33, 9, 47.6,⑦④⑤,10,15,Ｆラブイズビクトリｰ, 52,菊沢隆, 1.5, 45,  -4,  -7,10, 31.7,⑨⑪⑪,10,11,Ｅミズリングリｰダｰ, 72,田中克, 1.6, 58,  -2,   0,16, 97.4,⑩⑪⑬,10,14,Ｈティリブルティｰト, 59,長谷川, 2.4, 62,   7, -10,10, 32.0,⑩⑦⑦
11, 6,Ｈドンペリゴｰル, 36,柴山雄, 2.9, 28,  -8, -29,12, 73.7,④⑦⑦,11, 4,Ｉウィッシュビｰワン, 44,大野拓, 1.5, 45, -11,  -2, 8, 21.6,⑫⑫⑪,11, 6,Ｇマイネレプリｰク, 69,船曳文, 1.8, 56,  -2,  -3, 8, 19.0,⑦⑪⑬,11,11,Ｋトｰセンジュビリｰ, 57,柴山雄, 2.8, 60,   5,  -8, 7, 24.9,⑫⑬⑫
12, 8,Ｎブライトティｰス, 22,太宰啓, 3.1, 27, -12, -24,14,111.0,⑮⑮⑫,12,16,Ｐプリマドンナシチｰ, 19,的場勇, 1.7, 36, -32,* 14,14,106.5,⑮⑮⑮,12, 9,Ｋサチノマックイｰン, 62,大野拓, 1.8, 59,  -3,   1,15, 77.5,⑮⑮⑬,12,10,Ｐレオブライト, 38,大野拓, 2.8, 60,   4,  -5,15,128.7,⑮⑮⑭
13,15,Ｍパｰプルコランダム, 25,宮崎北, 3.3, 23,  -7, -38,15,211.2,④④⑤,13, 7,Ｃドンマルゴｰ, 58,田中博, 1.9, 20, -37,* 16,11, 48.6,⑯⑯⑯,13, 2,Ｊツカサラッキｰ, 64,北村浩, 1.8, 58,   1,  -6,12, 63.3,⑧⑦⑥,13, 2,Ｏエプソムブラスト, 47,藤岡康, 3.4, 55,   5, -15,13, 83.5,⑦⑫⑩
14,11,Ｉダンスシェイカｰ, 35,石橋脩, 4.3, 20,  -9, -40, 8, 41.9,⑪⑩⑫,14,12,Ｍスズカランデブｰ, 41,上村洋, 1.9, 39,   2, -20, 9, 22.2,⑦⑧⑦,14,15,Ｐトットコヒｰロｰ, 58,中村将, 1.9, 58,  -3,   1,13, 65.9,⑮⑮⑯,14, 3,Ｂフジノイチヒメ, 62,二本柳, 3.7, 54,   6, -20,16,129.0,④⑪⑩
15,13,Ｄショウグンリｰダｰ, 49,田嶋翔, 5.8,  3,  -8, -57, 7, 30.7,②⑦⑫,15, 1,Ｏシャインエッセンス, 21,大下智, 2.1, 35, -20,  -5,16,234.9,⑬⑭⑭,15,14,Ｍアンテヴォルテ, 60,荻野琢, 2.4, 47,   1, -20, 9, 20.4,⑤③⑤,15, 1,Ｌマホロバ, 52,芹沢純, 4.1, 52,   3, -16,12, 67.8,④⑯⑯
,,,,,,,,,,,,16, 9,Ａユメイッポ, 66,中舘英, 3.1, 24,  10, -46, 4,  9.1,③③⑩,16, 5,Ｎロングゴｰジャス, 59,大下智, 4.3, 30,   0, -47,14, 72.9,②⑤⑪,16,15,Ｍノボプレゼンス, 51,佐藤聖, 4.2, 52,   7, -25,14, 97.3,⑦⑧⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+17 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:不良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:不良(指数:-7),,,,,,,,,,,
単勝:190円 複勝:09=120円 07=230円 10=820円 枠連:740円,,,,,,,,,,,,"単勝:380円 複勝:11=170円 10=6,040円 05=410円 枠連:1,110円",,,,,,,,,,,,単勝:440円 複勝:08=170円 04=590円 10=200円 枠連:620円,,,,,,,,,,,,"単勝:3,980円 複勝:16=750円 05=280円 08=130円 枠連:8,640円",,,,,,,,,,,
"馬連:780円 ワイド:07-09=390円 09-10=1,530円 07-10=3,630円",,,,,,,,,,,,"馬連:39,820円 ワイド:10-11=11,070円 05-11=790円 05-10=28,400円",,,,,,,,,,,,"馬連:6,260円 ワイド:04-08=1,920円 08-10=590円 04-10=3,360円",,,,,,,,,,,,"馬連:23,020円 ワイド:05-16=5,840円 08-16=1,860円 05-08=530円",,,,,,,,,,,
"馬単:1,190円 3連複:8,020円",,,,,,,,,,,,"馬単:62,730円 3連複:138,480円",,,,,,,,,,,,"馬単:11,480円 3連複:16,100円",,,,,,,,,,,,"馬単:52,500円 3連複:15,970円 3連単:171,160円",,,,,,,,,,,
■ 2R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 5R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, エｰシングッチｰフ,---,古川吉,, 51,* -3,  -8, 3,  4.8,⑤③③, 1,16,Ｉキングアｰサｰ, 59,青木芳,, 72,*  9,  -1, 5,  8.9,①①①, 1,13,Ｆコアレスハリケｰン, 60,中舘英,, 71,   7,   3, 6, 10.6,⑤④③, 1, 2,Ｂブレイズワン, 78,長谷川,, 86,* 12,  12, 1,  4.1,③②②
 2, 4, ムｰンライトミスト,---,芹沢純, 0.2, 50,* -2, -11,10, 85.1,②②②, 2, 9,Ｋニュｰスブレイク, 56,津村明, 0.3, 68,   6,   1, 6, 11.0,⑧④②, 2,14,Ｊマルタｰズストｰム, 57,松田大, 0.0, 72,*  8,   2, 3,  6.0,③②②, 2, 3,Ｄイイデレインジャｰ, 77,古川吉, 0.2, 83,  10,* 13, 5,  7.5,⑥④③
 3, 3, キｰミヤビ,---,荻野琢, 0.2, 47,  -5, -10, 2,  3.9,③⑤③, 3, 5,Ｄマイネルヴルメリオ, 62,中村将, 0.4, 66,   4,*  3, 4,  8.0,⑩⑧⑧, 3, 5,Ａサクラマジェスティ, 69,石橋脩, 0.0, 71,   5,*  6, 2,  5.0,⑧⑥④, 3, 6,Ａバンブｰウエファ, 80,柴山雄, 0.3, 82,* 13,   4, 2,  5.0,①①①
