07年11月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.2,,,,,■ 4R  ダ1150m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本宮特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｊレオソリスト, 32,津村明,, 66,*  3,*  1,12,109.5,①①①, 1,15,Ａシエロアスｰル, 74,芹沢純,, 68,   2,   7, 2,  4.7, ③②, 1,15,Ｆキングオブロマネ, 65,中舘英,, 73,   2,* 19, 5, 15.2,⑮⑯⑭, 1, 4,Ｂイイデレインジャｰ, 72,古川吉,, 76,   6,* 12, 3,  4.2,⑥⑤⑥
 2,11,Ｂブラックマスタング, 46,スボリ, 1.6, 51,  -1,  -7, 1,  2.6,⑤⑤③, 2, 2,Ｅダイワウイザｰド, 63,中舘英, 0.4, 62,*  4,   1, 1,  2.3, ①①, 1,14,Ｂオウシュウヘイロｰ, 70,大野拓,, 72,*  7,   5, 3,  6.0,②②②, 2, 8,Ｃドリｰムサンデｰ, 70,赤木高, 0.1, 76,*  9,   6, 2,  3.8,①①①
 3, 6,Ｇワｰルドマスタｰ, 38,古川吉, 1.9, 49,*  0, -13, 7, 15.3,⑤②②, 3,14,Ｃシアトルレイナ, 66,丸田恭, 0.5, 61,  -4,   5, 5,  8.8, ⑦⑥, 3, 5,Ｅハギノジョイフル, 68,スボリ, 0.1, 72,   6,   8, 1,  2.5,④④④, 3, 3,Ａワイルドシングス, 78,安藤光, 0.2, 75,*  8,   7, 1,  2.2,④⑤②
 4, 4,Ｏエｰシンカメンシズ,  0,田辺裕, 1.9, 49,  -5,* -4,11, 84.0,⑬⑩⑥, 4,11,Ｇトップアクトレス, 61,田中克, 0.6, 59,  -6,   6, 7, 19.4, ⑪⑪, 4, 8,Ｋワンダフルキャスト, 62,太宰啓, 0.1, 73,   5,  11, 6, 15.3,⑦⑧⑧, 4, 1,Ｆテイエムアタック, 61,太宰啓, 0.5, 69,   4,*  9, 6, 17.6,⑨⑨⑦
 5, 7,Ｅカシノヨウスケ, 42,赤木高, 2.3, 46,  -5,  -7, 6, 13.9,⑮⑩⑥, 5, 5,Ｉトｰセンフｰガ, 56,木幡初, 0.6, 60,   0,   3, 4,  8.1, ⑤⑥, 5, 9,Ｇスズカスウィング, 63,芹沢純, 0.2, 73,   5,   9,11, 50.9,⑦⑧④, 5, 9,Ｉカゼノマイ, 54,宮崎北, 0.6, 70,   6,   4, 9,100.4,⑦⑧④
 6,12,Ｆアグネスボンバｰ, 40,的場勇, 2.6, 42,  -2, -19, 9, 20.7,④④④, 6, 7,Ｊレイゴｰルド, 56,田辺裕, 0.8, 61, -10,*  9, 8, 49.1, ⑭⑭, 6,10,Ｌボｰンザスカイ, 59,佐藤聖, 0.2, 68,   5,   5,16,234.2,⑫④②, 6, 5,Ｈゼンノソルジャｰ, 58,的場勇, 0.7, 69,*  8,  -1, 4, 11.1,②②②
 7, 5,Ｈトｰアヘンリｰ, 36,草野太, 2.9, 39,  -9, -10, 8, 20.4,⑭⑭⑨, 7, 8,Ｈゴｰルドヴェイン, 60,スボリ, 0.8, 58,  -4,   4, 3,  6.8, ⑨⑧, 7,11,Ｊシｰロｰレル, 62,大下智, 0.4, 65,   3,   6, 7, 15.7,⑮⑪⑩, 7, 6,Ｊゼンノベリル, 53,津村明, 1.3, 61,   6,  -8, 7, 25.8,④⑤⑦
 8, 3,Ａコアレスマｰシャル, 50,渡辺薫, 4.5, 30,  -4, -30, 3,  5.3,⑧⑧⑩, 8,16,Ｂソリッドラヴ, 67,安藤光, 0.9, 56,  -3,   2, 6, 14.7, ⑦⑧, 7, 6,Ｉビｰトオｰル, 62,安藤光, 0.4, 69,   3,  11,13, 62.7,⑩⑬⑩, 8, 7,Ｄクリノムｰヴオペラ, 65,中舘英, 1.6, 58,*  8, -15, 8, 33.7,⑩②④
