07年 7月 7日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月 7日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.8,,,,,■ 4R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青葉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄコスモビット, 38,蛯名正,, 58,   7,* -7, 1,  1.9, ③②, 1, 8, デライトシｰン,---,北村宏,, 63,  -2,* 12, 6, 14.1, ⑬⑫, 1, 2,Ｆナンヨｰサウス, 48,柴田善,, 60,* -2,*  2, 7, 17.7,①①①, 1,15,Ｅエイミングポイント, 68,石橋脩,, 69,  -2,* 18, 6, 11.0, ⑬⑫
 2, 4,Ａアトラスシｰダｰ, 47,穂苅寿, 0.6, 50,*  8, -18, 3,  4.9, ②④, 2, 9,Ｃペレ, 54,村田一, 0.1, 70,* 14,  -5, 5,  8.6, ①①, 2,15,Ｅマグマカザン, 50,北村宏, 0.4, 56,  -5,*  3, 6, 11.7,⑧④②, 2,13,Ｂアイオブザキング, 72,二本柳, 0.2, 69,   6,   7, 2,  4.1, ⑨⑨
 3, 8,Ｅリネンエｰス, 33,村田一, 0.6, 49,   7, -16, 5, 20.0, ③③, 3,13,Ｇホッカイトｰラス, 44,小林淳, 0.5, 56,   1,*  1, 7, 32.3, ⑪⑪, 3, 7,Ｈフサイチドゥイット, 43,吉田豊, 0.9, 52,  -4,  -3, 5, 10.3,⑤④④, 3, 7,Ｇタマイエス, 63,北村宏, 0.3, 72,* 12,  -1, 7, 13.7, ②②
 4, 1,Ｂフラミニアンウェイ, 45,江田照, 0.8, 49,* 10, -22, 2,  3.2, ①①, 4,16, ギガンティア,---,田中勝, 0.8, 58,* 12, -14, 3,  5.1, ②③, 4,12,Ａトｰセンゲンザン, 61,武士沢, 0.9, 51,  -6,*  0, 1,  3.0,⑦⑦⑤, 4,12,Ｃサニｰケｰティング, 70,吉田隼, 0.3, 65,   2,*  8, 5,  9.3, ⑪⑫
 5, 5,Ｇチャｰムキャップ,-28,小野次, 1.1, 40,   5, -22, 9, 70.3, ⑤④, 5,10,Ａホワイトソリスト, 65,丹内祐, 0.8, 57,  11, -12, 1,  3.2, ④⑥, 5,10,Ｊゲイルハリケｰン, 40,江田照, 1.7, 45,  -7,  -7,14,207.2,⑧⑧⑧, 5, 5,Ａサウスヒュｰマｰ, 74,蛯名正, 0.3, 74,* 13,  -2, 4,  6.5, ①①
 6, 2,Ｃヤマショウゴｰルド, 40,北村宏, 1.3, 36,  -3, -18, 4, 18.0, ⑥⑥, 6, 3,Ｂワンダｰジュｰル, 55,服部剛, 1.0, 50,   4,  -9, 4,  7.9, ⑨⑧, 6,11,Ｉコスモエスパｰス, 42,大野拓, 1.8, 43,  -8,  -6,11, 96.1,⑪⑩⑨, 6,16,Ｉレオベルリン, 62,嘉藤貴, 0.4, 68,   8,   3, 9, 32.6, ⑤⑦
 7, 9,Ｆベストカップル, 14,草野太, 1.8, 28,  -8, -24, 7, 35.7, ⑦⑦, 7, 5,Ｄシャイニンガｰル, 48,後藤浩, 1.2, 49,   8, -15, 2,  3.6, ⑥③, 7,14,Ｂダイワバンデラス, 58,吉田隼, 2.1, 42,  -4, -14, 3,  5.0,⑤④⑤, 7, 9,Ｆチュｰイングサイン, 68,田中勝, 0.5, 62,   2,   5, 3,  5.6, ⑪⑨
 8, 7, エｰシンカメンシズ,---,中舘英, 2.4,  5, -15, -22, 6, 24.2, ⑧⑧, 8,15, ユディット,---,石橋脩, 1.2, 47,   4, -12,13,103.0, ⑨⑧, 8, 1,Ｏトヨマ, 25,丹内祐, 2.1, 41, -10,  -5,15,212.9,⑩⑫⑪, 8, 3,Ｄメイショウヨウザン, 69,柴田善, 0.5, 67,   9,   0, 1,  4.0, ③③
 9, 3, スパｰクルキング,---,吉田隼, 3.0,-20, -15, -31, 8, 44.9, ⑧⑧, 9, 1,Ｈケンコウランハｰト, 39,蛯名正, 1.4, 47,   8, -18,11, 57.3, ⑥②, 9, 6,Ｋダイヤフェニックス, 38,後藤浩, 2.3, 40,  -8, -10, 2,  4.2,⑪⑩⑪, 9, 4,Ｋナムラバンダム, 59,中舘英, 1.0, 58,   6,  -5, 8, 14.7, ⑨⑦
,,,,,,,,,,,,10,14,Ｉクロスマシェリ, 34,大野拓, 1.4, 48,* 12, -24,10, 55.0, ②⑥,10, 3,Ｃサトノユウジ, 54,田中勝, 2.3, 41,* -3, -19, 4,  8.0,②②②,10, 6,Ｈライフゴｰズオン, 62,大野拓, 1.1, 54,  -6,   6,11, 78.2, ⑯⑭
,,,,,,,,,,,,11, 4, シングアップロック,---,江田照, 1.8, 36, -19,*  1,12, 71.7, ⑮⑮,11, 8,Ｄリカオｰナイン, 50,中舘英, 2.5, 39,* -3, -20, 8, 21.4,④②⑤,11,14,Ｐエプソムチャｰム, 42,千葉直, 1.3, 57,* 11, -14,15,268.1, ③③
,,,,,,,,,,,,12,11,Ｆイデアｰレ, 44,吉田隼, 2.1, 36,   8, -29, 9, 38.7, ⑥⑧,12,13,Ｌハルエサン, 36,小林淳, 3.0, 35,  -7, -19,10, 68.4,②⑧⑩,12, 1,Ｏソウレイ, 51,村田一, 1.6, 49,   7, -16,16,286.3, ⑤③
,,,,,,,,,,,,13,12,Ｊコナユキ, 26,安藤光, 2.2, 33,   3, -26,16,263.5, ⑪⑫,13, 4,Ｍロｰザヴィｰ, 35,村田一, 3.1, 34, -11, -13,12,106.9,⑮⑭⑭,13, 2,Ｌジｰガｰユタカオｰ, 55,加藤士, 1.8, 47,   8, -18,14,242.6, ⑤③
,,,,,,,,,,,,14, 2,Ｅクリノオンディｰヌ, 48,武士沢, 2.2, 36,  11, -33, 8, 38.2, ④③,14, 9,Ｇセイサムシング, 46,蛯名正, 3.1, 34, -11, -14, 9, 36.7,⑭⑭⑪,14,11,Ｎトウカイシグナル, 51,小林淳, 2.2, 40,   7, -25,12, 90.8, ⑤⑨
,,,,,,,,,,,,15, 7, ウエスタンビオラ,---,千葉直, 2.3,  8, -21,  -8,15,205.3, ⑮⑮,15, 5,Ｎタケイチバン, 33,安藤光, 5.4, 21,  -9, -38,13,159.2,⑪⑫⑭,15,10,Ｍマイネフェルヴァン, 54,丹内祐, 2.4, 37,  -2, -18,10, 48.5, ⑬⑭
,,,,,,,,,,,,16, 6, ピンクダイヤ,---,西田雄, 3.2, -3, -13, -26,14,147.8, ⑭⑭,,,,,,,,,,,,,16, 8,Ｊキンセイミラｰジュ, 59,安藤光, 2.7, 32,  -2, -23,13,129.3, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:5),,,,,,,,,,,
単勝:190円 複勝:06=110円 04=150円 08=320円 枠連:370円,,,,,,,,,,,,"単勝:1,410円 複勝:08=540円 09=240円 13=760円 枠連:2,000円",,,,,,,,,,,,"単勝:1,770円 複勝:02=430円 15=300円 07=380円 枠連:1,020円",,,,,,,,,,,,"単勝:1,100円 複勝:15=280円 13=160円 07=370円 枠連:1,670円",,,,,,,,,,,
馬連:380円 ワイド:04-06=200円 06-08=480円 04-08=880円,,,,,,,,,,,,"馬連:5,460円 ワイド:08-09=1,610円 08-13=8,790円 09-13=3,090円",,,,,,,,,,,,"馬連:9,000円 ワイド:02-15=1,940円 02-07=2,250円 07-15=1,920円",,,,,,,,,,,,"馬連:2,120円 ワイド:13-15=720円 07-15=1,340円 07-13=1,000円",,,,,,,,,,,
"馬単:640円 3連複:1,700円",,,,,,,,,,,,"馬単:11,010円 3連複:53,340円",,,,,,,,,,,,"馬単:17,130円 3連複:27,830円",,,,,,,,,,,,"馬単:4,900円 3連複:8,240円 3連単:52,830円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■ 8R  芝3380m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,福島ｼﾞｬﾝﾌﾟS,,,,,,,,,,,,松島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂバｰニングラブ, 52,北村宏,, 55, -11,*  6, 4,  9.5,⑧⑦⑤, 1, 3,Ｂクリｰルバレット, 56,柴田善,, 68,  -6,* 12, 1,  3.1, ⑩⑧, 1, 7, キャピタルゲイン,,大庭和,,,,, 6, 22.7,⑨⑤④, 1, 9,Ｇドリｰミｰオペラ, 70,柴田善,, 76,   7,* 17, 4,  8.1,⑨⑩⑦
 2, 9,Ｃキャプテンドリｰム, 50,小林淳, 0.1, 51,*-10,   2, 5, 11.4,③③②, 2,15,Ａフランシｰル, 57,吉田隼, 0.0, 62,*  5,   1, 4,  6.9, ①②, 2,10, アインオｰセン,,林満明, 0.8,,,, 5, 16.7,⑥④④, 2, 4,Ｅサンワｰドブル, 71,後藤浩, 0.0, 75,   9,* 12, 1,  2.3,⑨⑧⑥
 3, 2,Ａトウキュウアジュデ, 58,江田照, 0.1, 49,* -9,   0, 1,  2.1,①①①, 3, 4,Ｃメジロヴィルゴ, 55,中舘英, 0.2, 61,  -3,   6, 2,  3.3, ⑦⑧, 3,11, ベストグランチャ,,五十嵐, 1.2,,,, 1,  2.1,②②②, 3, 7,Ｂコスモオｰスティン, 75,北村宏, 0.1, 77,* 17,  -7, 3,  6.5,①①①
 4, 3,Ｄユミ, 46,小野次, 0.5, 52, -14,*  6, 7, 25.6,⑬⑩⑩, 4,14,Ｅベルグコマンダｰ, 52,的場勇, 0.4, 52,  -2,  -2, 7, 28.3, ③⑤, 4, 4, マチカネビシャモン,,平沢健, 1.4,,,,12, 97.4,⑩⑧⑧, 4, 6,Ｈシンボリモｰガン, 68,中舘英, 0.3, 73,   9,   8, 8, 21.3,⑧⑧⑦
