07年 7月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.5,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 7R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.0,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,駒ｹ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆピエナエイム, 36,岩田康,, 45, -16,*  4, 1,  2.5, ⑨⑧, 1, 7,Ｂマルブツフラッシュ, 58,藤田伸,, 61,*-10,* 11, 1,  2.0,②②②, 1, 9,Ａクｰルシャロｰン, 70,小林徹,, 73,*  4,*  6, 2,  4.8, ②②, 1, 4,Ｈユキノマｰメイド, 62,鈴来直,, 83,*  7,* 14, 6, 18.7,①①①
 2, 3,Ｃダンツシｰキング, 43,藤田伸, 0.0, 48,  -7,  -4, 5, 11.1, ④③, 2,10,Ｃヤマカツマリリン, 50,小林徹, 0.1, 58,*-10,   9, 3,  4.8,①①①, 2, 7,Ｆトレノトマト, 65,松田大, 0.5, 64,*  6,   0, 1,  3.4, ②②, 2,10,Ｃミストラルクルｰズ, 73,北村友, 0.8, 74,   2,* 14, 1,  3.0,⑧⑨⑧
 3, 7,Ｉファンタジックキｰ, 21,長谷川, 0.4, 40, -12,  -6, 9, 80.2, ⑥④, 3, 9,Ａヒットトップガン, 58,秋山真, 0.6, 52, -11,   6, 2,  3.5,③③③, 3, 8,Ｅベルモントユリア, 65,佐藤聖, 0.5, 63,  -3,   4,10, 24.8, ⑥⑦, 3,11,Ｄチョウカイサンデｰ, 71,安藤勝, 0.8, 74,   5,   9, 3,  4.3,⑩③②
 4, 5,Ｂキヲウエタオトコ, 43,勝浦正, 0.6, 38, -12,  -9, 4,  6.9, ⑥⑥, 4, 4,Ｇトシエンジェル, 40,安藤勝, 0.9, 53, -14,   9, 4,  6.7,⑦⑥⑤, 4, 4,Ｄフレンチムスメ, 65,柴山雄, 0.7, 64, -10,*  9, 4,  7.0, ⑧⑧, 4, 8,Ｅサインオブゴッド, 69,横山典, 1.0, 71,   2,  12, 5, 11.2,⑪⑨⑧
 5, 2,Ａテｰブルフラワｰ, 49,横山典, 0.7, 40,* -3, -19, 3,  5.0, ①①, 5, 5,Ｄヒノデプリンセス, 50,郷原洋, 1.6, 41, -13,  -1, 5, 20.4,⑤④④, 5,12,Ｃフミノフクヒメ, 67,勝浦正, 0.9, 58,   2,  -1, 5, 10.1, ④④, 5, 6,Ｆシロキタベガ, 65,松田大, 1.0, 73,   1,* 14,10, 47.8,⑧⑪⑤
 6, 9,Ｈホッカイシｰラ, 35,池添謙, 1.0, 33,  -9, -18, 6, 21.6, ④④, 6, 6,Ｈサンワｰドソング, 39,津村明, 2.1, 38, -12,  -7, 9,184.3,③④⑥, 6, 5,Ｂオオヒメ, 68,菊沢隆, 1.0, 55,*  8,  -6, 6, 11.5, ①①, 6, 5,Ａワイルドシングス, 75,柴山雄, 1.3, 68,   5,   1, 4, 10.2,⑥③⑤
 7, 1,Ｄエイシンキャップ, 42,武幸四, 1.1, 31, -18, -10, 2,  3.5, ⑨⑩, 7,11,Ｆアストロンシチｰ, 41,柴原央, 2.3, 36, -16,  -2, 6, 56.1,⑧⑧⑧, 7, 3,Ｋアンダンテシチｰ, 56,秋山真, 1.1, 56,  -3,   0, 9, 20.6, ⑥⑤, 7, 1,Ｋフウランジョｰ, 52,藤岡佑, 1.6, 65,   4,  -1,11, 56.9,④⑥⑤
 8, 4,Ｅテイクザロマン, 36,藤岡佑, 1.4, 30,* -3, -29, 8, 40.8, ②②, 8, 1,Ｉラｰドロロフティｰ, 38,北村友, 2.4, 35, -20,   1, 8,117.6,⑨⑩⑩, 8, 2,Ｈガｰルズポップ, 58,藤田伸, 1.2, 55, -15,*  6, 3,  5.4, ⑪⑪, 8, 2,Ｉフィフスアベニュｰ, 59,池添謙, 2.1, 58,   2,  -6, 9, 34.8,⑦⑧⑧
