07年10月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3.1,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂエｰティｰドン, 48,和田竜,, 62,   6,* -7, 3,  5.9, ③③, 1, 8, ユキノボｰイ,,金折知,,,,, 1,  2.4,①②②, 1, 4,Ａリバプｰルサウンド, 74,佐藤哲,, 69,  -3,* 10, 2,  3.4,④③③, 1,12,Ｌゴｰルドキリシマ, 70,幸英明,, 88,* 21,   0, 5,  8.7, ⑤②
 2, 7,Ｃドキャｰレ, 47,小牧太, 0.1, 65,* 11, -13, 1,  2.6, ①①, 2, 6, エリモマキシム,,西谷誠, 0.1,,,, 2,  2.5,③①①, 2, 2,Ｈシゲルケセネ, 60,河北通, 0.0, 72,  -5,* 13, 9, 47.0,⑧⑥⑥, 2, 8,Ｋトウカイルナ, 72,長谷川, 0.0, 85,  12,* 16,16,143.2, ⑰⑱
 3, 9,Ｆスカイビュｰティｰ, 43,上村洋, 0.2, 60,*  8, -11, 2,  2.8, ②②, 3, 3, ランドフラッグ,,小林慎, 1.4,,,,13,100.7,⑨⑧⑦, 3,10,Ｇニシオハンセル, 64,高橋亮, 0.6, 58,* -3,   3, 6, 16.3,②②②, 3, 7,Ｈファランドｰル, 76,小牧太, 0.1, 84,  15,* 10, 8, 16.6, ⑫⑭
 4, 4,Ｊファイナルジャッジ, 33,松田大, 0.3, 54,   2,* -7, 8, 39.2, ⑥⑤, 4,11, スリｰエリシオ,,佐久間, 1.5,,,, 3,  8.3,⑪⑤⑤, 4, 5,Ｂヒシウィンザｰ, 71,浜中俊, 0.7, 58,  -6,   5, 3,  4.3,③⑥⑥, 4,17,Ｃマイネルポライト, 83,角田晃, 0.1, 87,  20,   0, 1,  3.9, ⑥③
 5, 6,Ｇメイショウロｰラン, 41,飯田祐, 0.3, 55,   3,  -8, 7, 24.9, ⑤⑤, 5, 7, オメガトレンディ,,白浜雄, 1.9,,,,12, 99.1,⑥⑥⑥, 5, 1,Ｆトウカイポリシｰ, 65,幸英明, 0.8, 61,  -6,   7, 5, 12.9,⑤⑧⑧, 5, 4,Ｆハイソサエティｰ, 80,池添謙, 0.2, 85,  20,  -1, 4,  8.1, ⑥⑤
 6,10,Ｅノｰスウイニング, 46,池添謙, 0.9, 45,   2, -16, 4,  7.8, ⑥⑦, 6,10, アグネスヘルメス,,小坂忠, 1.9,,,, 7, 33.3,⑫⑩⑩, 6, 8,Ｃアドミラビリス, 70,藤岡康, 1.0, 52,  -5,   0, 4,  6.7,⑤③④, 6,10,Ｊタガノグラマラス, 73,高田潤, 0.2, 88,* 24,  -9, 9, 18.8, ①①
 7, 2,Ｄシゲルディザイア, 47,佐藤哲, 1.3, 41, -12, -11, 5, 17.6, ⑩⑩, 7, 4, ダンツイッドン,,林満明, 2.4,,,, 6, 25.9,②③③, 7, 9,Ｄシルクデュｰク, 68,田島裕, 1.1, 53,* -2,  -3, 1,  2.8,①①①, 7, 3,Ｂラブアクチュアリｰ, 84,武幸四, 0.3, 83,  18,   2, 6, 13.2, ⑫⑪
 8, 3,Ａエｰシンエイホｰプ, 50,渡辺薫, 1.5, 34,  -2, -23, 6, 20.7, ⑥⑦, 8, 5, エムテイクラウン,,植野貴, 2.6,,,,14,127.6,④④④, 8, 7,Ｉワンダｰルストラｰ, 60,中村将, 1.2, 56,  -9,   6, 7, 26.6,⑨⑨⑨, 8,13,Ｍジｰンハンタｰ, 68,鮫島良, 0.3, 81,  13,* 10,13, 90.9, ⑰⑰
 9, 8,Ｋサンマルロｰド, 25,中村将, 1.6, 35, -12, -16,11,113.8, ⑩⑩, 9, 1, インマイアイズ,,南井大, 3.1,,,, 4, 13.6,⑨⑧⑧, 9, 6,Ｊゼットアカデミｰ, 59,池添謙, 1.6, 50,  -4,  -4, 8, 43.9,⑤③④, 9, 1,Ｅフィｰルドベアｰ, 81,秋山真, 0.3, 82,  16,   5, 3,  5.5, ⑮⑭
10, 5,Ｈハｰドパティシエ, 40,内田浩, 2.0, 29,  -3, -29,10, 73.2, ⑨⑨,10,12, ジンデンバリュｰ,,柴田大, 4.7,,,, 8, 33.4,⑭⑫⑪,,,,,,,,,,,,,10, 5,Ｉジョウノオｰロラ, 74,藤岡康, 0.6, 79,  17,  -1,15, 93.5, ⑩⑪
11,11,Ｉクｰルサンドラ, 34,幸英明, 2.8, 16,   6, -51, 9, 68.9, ③③,11, 9, フルバック,,今村康, 5.0,,,,10, 76.4,⑤⑦⑨,,,,,,,,,,,,,11,11,Ｎメイショウトキムネ, 68,北村宏, 0.6, 78,  14,   4,11, 77.6, ⑯⑭
,,,,,,,,,,,,12,14, ゴｰルデンミション,,出津孝, 5.6,,,, 9, 46.9,⑫⑬⑬,,,,,,,,,,,,,12,14,Ａゼットフラッシュ, 84,和田竜, 0.9, 76,  18,  -9, 2,  4.2, ⑥⑤
,,,,,,,,,,,,13,13, キクノハヤテ,,高野容, 6.7,,,, 5, 15.3,⑦⑪⑫,,,,,,,,,,,,,13,18,Ｒムｰンシャイン, 62,上村洋, 0.9, 77,  18,  -7,12, 78.8, ⑫⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｐブランシュネｰジュ, 67,赤木高, 0.9, 75,  18,  -7,18,263.1, ⑩⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｄマンテンハット, 82,菊地昇, 1.1, 75,* 22, -18,14, 91.7, ②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｇマッハジュウクン, 76,松田大, 1.2, 73,  20, -16, 7, 15.8, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｑキタサンメッセｰジ, 66,スボリ, 3.4, 46,  18, -47,10, 58.0, ⑥⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｏチェリｰライオｰ, 68,高橋亮, 3.7, 43,* 21, -56,17,172.3, ②⑧
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
単勝:590円 複勝:01=160円 07=110円 09=120円 枠連:650円,,,,,,,,,,,,"単勝:240円 複勝:08=130円 06=130円 03=1,110円 枠連:270円",,,,,,,,,,,,"単勝:340円 複勝:04=240円 02=740円 10=470円 枠連:8,660円",,,,,,,,,,,,"単勝:870円 複勝:12=310円 08=3,090円 07=410円 枠連:3,580円",,,,,,,,,,,
馬連:760円 ワイド:01-07=280円 01-09=360円 07-09=160円,,,,,,,,,,,,"馬連:300円 ワイド:06-08=170円 03-08=2,650円 03-06=2,690円",,,,,,,,,,,,"馬連:7,470円 ワイド:02-04=2,750円 04-10=1,190円 02-10=3,360円",,,,,,,,,,,,"馬連:83,590円 ワイド:08-12=14,660円 07-12=1,070円 07-08=12,990円",,,,,,,,,,,
"馬単:1,920円 3連複:650円",,,,,,,,,,,,"馬単:670円 3連複:8,600円",,,,,,,,,,,,"馬単:12,260円 3連複:27,600円",,,,,,,,,,,,"馬単:115,940円 3連複:228,330円 3連単:1,407,450円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 5R  ダ1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱﾙﾃﾞﾊﾞﾗﾝS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇミスズコｰポラル, 38,幸英明,, 60,   7,*-10, 6, 13.4, ⑫⑪, 1, 9, リｰヴタイム,---,和田竜,, 47,* -6, -11, 1,  1.4, ①①, 1,12,Ｂヘラクレスバイオ, 69,船曳文,, 73,  -3,* 12, 5,  7.8, ⑥⑥, 1, 8,Ｄワンダｰスピｰド, 80,小牧太,, 92,   5,* 22, 3,  4.9,⑧⑧⑤
 2, 1,Ｆアンヴェイル, 43,小牧太, 0.3, 58,  12, -24, 3,  7.6, ⑤⑤, 2, 1, メイショウタマヒメ,---,武幸四, 0.7, 40, -10, -14, 3,  9.6, ③③, 2, 5,Ｄマイグロｰリアス, 67,角田晃, 0.4, 74,  -6,* 15, 1,  4.4, ⑪⑪, 2, 5,Ｂドンクｰル, 85,渡辺薫, 0.6, 77,*  6,  12, 2,  4.5,⑥④③
 3, 2,Ｈセトウチスイング, 38,松田大, 0.5, 55,   9, -21, 5, 12.8, ⑦⑧, 3, 8, アイルイシスタｰ,---,松田大, 0.7, 40,* -7, -16, 7, 34.8, ②②, 3,16,Ｌテイエムオｰディン, 60,中村将, 0.7, 69,  -9,* 14,11, 32.5, ⑭⑬, 3, 4,Ｎサンライズキング, 73,和田竜, 0.7, 76,*  9,   9, 5,  9.4,①①①
 4, 9,Ｊカンファｰライズ, 33,角田晃, 0.7, 53,   5,*-16,13,217.6, ⑭⑫, 4, 6, アナモリ,---,幸英明, 1.5, 31, -27,* -5, 5, 14.6, ⑨⑨, 4,13,Ｇショウナンサリｰレ, 63,小牧太, 0.7, 63,*  1,   3, 7, 12.5, ③③, 4,16,Ｃラッキｰブレイク, 83,幸英明, 0.9, 81,   2,* 18, 1,  3.8,⑫⑫⑪
 5,14,Ａイノセントスカイ, 58,上村洋, 0.7, 54,  14, -35, 1,  2.8, ③③, 5, 2, シゲルチニカ,---,小牧太, 1.6, 30, -19, -14, 9, 66.3, ⑥⑤, 5, 9,Ｉメガリス, 62,藤岡康, 0.7, 59,*  2,   0,10, 24.9, ②①, 5,15,Ｍサヨウナラ, 73,中村将, 0.9, 76,   5,  12,11, 50.4,⑩⑧⑤
 6, 6,Ｉミッドセンチュリｰ, 34,北村宏, 0.7, 53,   9, -24, 7, 13.4, ⑨⑨, 6, 4, ダｰティｰマネｰ,---,渡辺薫, 1.6, 30, -21, -12, 4, 12.2, ⑧⑤, 6, 1,Ａショウリュウアクト, 74,佐藤哲, 0.8, 61,*  1,   2, 2,  4.9, ④③, 6,13,Ｅマンオブパｰサｰ, 80,武幸四, 1.0, 72,   5,   9, 8, 20.9,⑥④③
 7,12,Ｏハリケｰンジャズ,-24,武幸四, 0.8, 52,   9, -26,11, 52.9, ⑨⑥, 7, 5, フェンウェイバｰド,---,菊地昇, 1.7, 30, -10, -23, 2,  5.6, ③③, 7,10,Ｃマｰベラスパレｰド, 68,浜中俊, 0.9, 60,  -5,   5, 4,  7.7, ⑧⑦, 7, 3,Ａトラストジュゲム, 87,池添謙, 1.1, 69,*  6,   5, 4,  8.4,④②②
 8, 5,Ｍハｰドギムレット, 17,渡辺薫, 0.9, 52,   9, -27,10, 51.5, ⑨⑨, 8, 7, リアルタイム,---,田中健, 2.2, 21, -22, -19, 8, 51.1, ⑦⑧, 8, 8,Ｅテイエムカイブツ, 64,柴原央, 0.9, 68,  -8,* 13,12, 41.9, ⑮⑬, 8, 2,Ｋマｰブルチｰフ, 73,鮫島良, 1.1, 77,   3,  15,15, 87.1,⑪⑪⑧
 9, 7,Ｃフジノアリオン, 50,長谷川, 0.9, 52,* 16, -43, 4, 12.5, ②②, 9, 3, エｰシンワナｰペン,---,北村宏, 2.3, 23, -18, -21, 6, 22.9, ⑤⑤, 9,11,Ｈクンダリｰニ, 63,秋山真, 1.0, 62,  -4,   7, 6, 11.5, ⑩⑦, 9,11,Ｏハギノベルテンポ, 72,佐藤哲, 1.3, 81,  -1,* 20,14, 78.6,⑬⑭⑭
10, 8,Ｂアドバンスシチｰ, 50,佐藤哲, 1.0, 51,   6, -22, 2,  3.0, ⑬⑫,,,,,,,,,,,,,10, 7,Ｆラガｰチトセオｰ, 63,鮫島良, 1.1, 59,   0,   1, 3,  5.4, ⑤③,10, 6,Ｈテイエムファンキｰ, 76,秋山真, 1.3, 69,   4,   8,12, 58.5,⑨⑧⑩
11,10,Ｎチェリｰムサシ,-14,高橋亮, 1.6, 47,   4, -29,15,353.5, ⑭⑮,,,,,,,,,,,,,11,15,Ｏダイゴフウジン, 52,長谷川, 1.5, 56,  -4,   2,15,196.1, ⑧⑩,11,12,Ｇジュレップ, 78,上村洋, 1.4, 67,   5,   5,13, 72.4,⑤④⑤
12,15,Ｅレディｰファｰスト, 44,池添謙, 1.7, 44,   6, -37, 8, 32.4, ⑦⑫,,,,,,,,,,,,,12, 6,Ｎメモリｰジャグラｰ, 56,和田竜, 1.5, 56,  -7,   5,14,127.2, ⑫⑫,12, 9,Ｊナリタプレリュｰド, 76,角田晃, 1.5, 78,  -1,* 18,10, 34.6,⑯⑭⑭
13,13,Ｌフジヤマワカムシャ, 27,スボリ, 1.8, 44,  11, -46, 9, 50.3, ⑤⑥,,,,,,,,,,,,,13,14,Ｍナムラマッハ, 57,小坂忠, 1.7, 53,  -1,  -4,13, 93.9, ⑥⑦,13, 1,Ｆピサノパテック, 79,北村宏, 2.1, 65,   1,   8, 6, 13.0,⑮⑬⑪
14, 3,Ｋカシノヨウスケ, 30,赤木高, 1.8, 43,* 17, -58,14,242.2, ①①,,,,,,,,,,,,,14, 3,Ｋノｰスフォンテン, 61,池添謙, 1.9, 51,  -6,   0, 9, 23.5, ⑫⑬,14, 7,Ｌワイルドソルジャｰ, 73,長谷川, 2.9, 58,  -2,   5,16,191.4,⑬⑯⑯
15,11,Ｄミッキｰアデュｰ, 45,秋山真, 2.1, 41,* 15, -58,12, 58.2, ③③,,,,,,,,,,,,,15, 2,Ｊトウカイインパクト, 61,幸英明, 2.7, 50,*  3, -19, 8, 17.7, ①②,15,10,Ｐフレンドシップ, 69,スボリ, 3.8, 59,   5, -18, 7, 16.4,②④⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｉエイシンラｰジヒル, 76,赤木高, 3.9, 56,*  6, -21, 9, 21.2,②②⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+17 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,340円 複勝:04=390円 01=310円 02=380円 枠連:3,680円",,,,,,,,,,,,単勝:140円 複勝:09=110円 01=190円 08=430円 枠連:440円,,,,,,,,,,,,"単勝:780円 複勝:12=260円 05=190円 16=870円 枠連:1,110円",,,,,,,,,,,,"単勝:490円 複勝:08=170円 05=170円 04=280円 枠連:1,050円",,,,,,,,,,,
"馬連:3,580円 ワイド:01-04=1,440円 02-04=910円 01-02=1,450円",,,,,,,,,,,,"馬連:510円 ワイド:01-09=270円 08-09=680円 01-08=1,620円",,,,,,,,,,,,"馬連:2,310円 ワイド:05-12=840円 12-16=5,710円 05-16=3,960円",,,,,,,,,,,,"馬連:1,120円 ワイド:05-08=470円 04-08=880円 04-05=730円",,,,,,,,,,,
"馬単:7,730円 3連複:10,350円",,,,,,,,,,,,"馬単:680円 3連複:2,690円",,,,,,,,,,,,"馬単:4,720円 3連複:36,830円",,,,,,,,,,,,"馬単:2,390円 3連複:2,960円 3連単:13,610円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■ 6R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■12R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,高雄特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂプレサンティｰル, 50,幸英明,, 61, -11,* 10, 3, 11.2, ⑭⑭, 1, 7, アルカザン,---,池添謙,, 55,  -6,*  1, 3,  4.8, ⑤⑤, 1, 7,Ｊワンダｰスティｰヴ, 65,小牧太,, 81,*  8,   8, 7, 15.9,①①①, 1,13,Ｐセンタｰバシレウス, 52,幸英明,, 78,   9,   6, 3,  8.1, ⑤④
 2, 9,Ａエアパスカル, 65,秋山真, 0.1, 58,  -7,*  2, 1,  1.7, ⑨⑨, 2,10, スリｰラスカル,---,渡辺薫, 0.0, 55,  -6,*  1, 7, 21.4, ⑤⑤, 2, 6,Ｂタガノファントム, 81,角田晃, 0.1, 84,*  8,  14, 1,  3.0,⑥⑤③, 2, 7,Ｂカシノエスケイプ, 80,大下智, 0.1, 70,  -3,* 14, 2,  7.9, ⑬⑫
 3,13,Ｅマイネトゥインクル, 45,中村将, 0.2, 53,  -8,  -2, 7, 32.1, ⑥⑥, 3, 1, オｰスミタｰゲット,---,和田竜, 0.0, 56,  -4,  -3, 4,  7.4, ③③, 3, 5,Ｆマイネルファｰマ, 74,長谷川, 0.3, 82,*  9,   9, 5, 12.5,④③③, 3,11,Ｈタムロイｰネｰ, 68,酒井学, 0.3, 69,  -6,* 17,10, 53.5, ⑮⑮
 4,15,Ｆウォｰタｰセレネ, 43,長谷川, 0.3, 54,  -5,  -4, 4, 12.7, ⑥⑥, 4, 6, ジャスティス,---,秋山真, 0.5, 49,  -7,  -5, 6, 20.6, ⑧⑧, 4, 2,Ｃダイシンハｰバｰ, 78,高田潤, 0.4, 80,   6,  11, 9, 17.4,⑥⑦⑥, 4, 1,Ｇセトノヒット, 68,佐藤哲, 0.4, 73,   6,   5, 9, 35.7, ⑦⑦
 5,12,Ｋメイショウデイジｰ, 38,高橋亮, 0.4, 54,  -8,  -1,17,290.9, ⑪⑪, 5, 5, フサイチフウジン,---,武幸四, 0.5, 49,  -4, -10, 2,  2.9, ③③, 5, 8,Ｅデンコウミサイル, 74,池添謙, 0.5, 80,   4,* 14, 6, 15.6,⑪⑩⑨, 5,15,Ｅグロｰバルボンバｰ, 73,田中健, 0.7, 64,  -2,   7, 8, 27.7, ⑪⑨
 6,10,Ｌプティマカロン, 36,北村宏, 0.4, 54,  -8,  -1,12, 77.9, ⑪⑪, 6, 9, マイネルオｰル,---,佐藤哲, 1.0, 43,  -5, -16, 1,  2.9, ⑤⑤, 6, 1,Ｇパッシングマｰク, 68,武幸四, 0.5, 81,   4,* 16,10, 22.9,⑩⑩⑪, 6, 5,Ｌナリタダンディ, 60,河北通, 0.8, 66,  -2,   8,13,144.1, ⑬⑫
 7, 6,Ｑスタンドフラワｰ, 16,小牧太, 0.5, 52,  -5,  -7, 8, 34.4, ④③, 7, 4, トウカイカスタム,---,長谷川, 1.6, 37,* -2, -31, 9, 75.4, ②②, 7, 3,Ａテンシノゴｰルド, 81,中村将, 0.6, 84,   4,* 19, 2,  3.6,⑫⑫⑫, 7, 6,Ｎメイショウホクシン, 57,秋山真, 0.8, 66,   0,   6,11, 68.0, ⑩⑨
 8,17,Ｉザザ, 41,鮫島良, 0.6, 50,* -4, -10, 2,  4.4, ④③, 8, 2, アニキ,---,小牧太, 1.7, 35,  -7, -22, 5, 11.0, ⑧⑨, 8, 9,Ｋワイアットアｰプ, 65,渡辺薫, 1.2, 67,   3,  -1,11, 81.5,⑨⑨⑥, 8,10,Ｏホｰマンファラオ, 56,浜中俊, 1.1, 62,   4,  -3, 4,  9.0, ⑦⑦
 9, 4,Ｍネオベロｰナ, 35,スボリ, 0.7, 49,  -6,  -8, 9, 46.7, ⑥⑥, 9, 3, メイケイクリプトン,---,柴原央, 1.9, 34,* -1, -39,10, 76.1, ①①, 9,10,Ｄマルモコウテイ, 74,幸英明, 1.2, 70,*  9,  -8, 3,  6.0,②②②, 9,12,Ａリンリンリン, 83,小牧太, 1.1, 68,* 12,  -8, 1,  1.9, ②②
10, 5,Ｃナムラウィッシュ, 48,和田竜, 0.7, 49,  -7,  -7, 5, 17.5, ⑨⑨,10, 8, ルドルフキング,---,幸英明, 2.6, 28, -12, -27, 8, 74.8, ⑩⑩,10,11,Ｌアスカノエナリｰ, 56,田中健, 1.4, 64,   4,  -8,12,285.7,⑤⑤⑥,10, 2,Ｄポｰトジェネラル, 73,角田晃, 1.3, 65,  10,  -8, 7, 14.5, ⑤④
11, 1,Ｈパシティア, 43,佐藤哲, 0.8, 49,  -9,  -5,11, 76.6, ⑪⑬,,,,,,,,,,,,,11,12,Ｈエルソルダｰド, 66,鮫島良, 1.5, 65,*  7, -11, 4, 11.1,②③③,11, 9,Ｊヴァンジェｰロ, 65,上村洋, 1.5, 63,  10, -10,14,155.8, ③④
12,16,Ｄキャトルキャｰル, 46,角田晃, 0.8, 50, -13,*  2,13, 87.7, ⑰⑮,,,,,,,,,,,,,12, 4,Ｉマイネルアンセム, 66,佐藤哲, 1.6, 68,   6,  -5, 8, 16.8,⑧⑦⑨,12,14,Ｆレソナル, 71,赤木高, 1.6, 63,* 11, -12, 5, 12.4, ③③
