07年12月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.5,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩耶ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｆハｰバｰクイｰン, 44,岩崎祐,, 50,  -7,* -3, 8, 41.7,⑧⑦⑧, 1, 7, シゲルイサイダカ,,林満明,,,,, 2,  3.7,①①②, 1,10,Ａアドマイヤリバティ, 72,川田将,, 72,*  3,   7, 2,  6.0,①①①, 1, 8,Ｈサトノスロｰン, 76,ペリエ,, 85,*  4,* 18, 4,  9.9,⑤③③
 2, 5,Ｂマイヴィｰナス, 55,藤岡佑, 0.2, 51,* -4,  -9, 3,  6.8,③②①, 2, 8, オｰゴンコウテイ,,出津孝, 0.1,,,, 6, 24.6,④②①, 2, 6,Ｉベンケイ, 60,岩田康, 0.5, 74,  -8,* 15, 4, 12.7,⑬⑪⑪, 2, 7,Ｅナナヨｰヒマワリ, 78,小原義, 0.1, 94,  -1,* 26, 7, 18.9,⑫⑪⑪
 3, 6,Ｅキンショｰオトヒメ, 48,安藤勝, 0.2, 48,  -7,* -5, 2,  2.7,⑧⑦⑥, 3,12, ハストラング,,仲田雅, 2.0,,,,12,112.9,③②③, 3, 4,Ｆライモン, 65,ルメｰ, 0.8, 62,   0,   2, 5, 14.6,③③③, 3,12,Ａタガノサイクロン, 82,池添謙, 0.8, 80,   3,  17, 1,  2.6,⑩⑨⑨
 4,10,Ｃメイショウセラヴィ, 52,幸英明, 0.3, 48,  -6,  -8, 4, 12.1,⑥④④, 4, 1, シゲルダンプウ,,白坂聡, 2.5,,,, 3, 11.1,⑦⑥⑤, 4, 2,Ｌイッツソｰクｰル, 56,北村友, 1.1, 65, -10,* 11,13, 96.6,⑯⑭⑭, 4,13,Ｇダイショウジェット, 76,橋本美, 0.9, 71,*  5,   9, 6, 16.4,②②②
 5, 9,Ｋエイトシｰド, 40,吉田豊, 0.7, 46,* -4, -14,10, 77.3,①①②, 5, 3, フサイチエｰシック,,田中剛, 2.6,,,, 5, 16.2,④④④, 5, 3,Ｈトウカイインパクト, 65,幸英明, 1.2, 64,  -9,* 10, 8, 20.3,⑮⑭⑭, 5, 2,Ｍケアレスウィスパｰ, 73,北村友, 1.0, 72,   3,  11,10, 44.7,⑥⑦⑦
 6, 3,Ｌシゲルハラパン, 38,田中克, 0.8, 39, -10, -10,12,179.9,⑩⑨⑧, 6, 4, ナムラモｰリス,,金折知, 5.2,,,, 4, 13.6,⑨⑨⑧, 6, 9,Ｃボｰナスフィｰバｰ, 71,武豊  , 1.2, 62,  -8,   8, 1,  1.9,⑪⑪⑬, 6, 4,Ｌゼンノパルテノン, 73,飯田祐, 1.0, 71,*  4,  10, 5, 14.0,⑥⑤⑤
 7, 7,Ｈシベリアンマグピｰ, 43,北村友, 1.1, 38, -10, -12,13,199.3,⑩⑩⑩, 7, 2, マシロンガｰル,,南井大, 5.8,,,, 7, 30.4,⑥⑧⑧, 7,11,Ｂエルカミニｰト, 71,藤岡佑, 1.3, 56,  -1,   0, 9, 34.5,⑥⑥⑥, 7, 1,Ｉキングトップガン, 76,安藤勝, 1.1, 69,*  6,   6, 2,  4.7,①①①
 8,14,Ａユキノハボタン, 62,福永祐, 1.2, 40,  -5, -18, 1,  2.1,⑤④④, 8,11, エムテイコウテン,,黒岩悠, 6.1,,,,14,144.5,①⑤⑥, 8,15,Ｄヘッドライナｰ, 69,和田竜, 1.3, 55,*  2,  -4, 3,  6.4,①②②, 8, 5,Ｂネイキッド, 82,川田将, 1.2, 69,*  5,   7, 3,  5.0,②③③
