07年12月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,猪名川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃアドマイヤスワット, 46,岩田康,, 72,* -3,* 13, 3,  5.2,①①①, 1, 6, メイショウオキナ,,西谷誠,,,,, 3,  6.0,②①①, 1, 8, シゲルアコガレ,---,岩田康,, 44, -28,* 12, 9, 38.4, ⑦⑦, 1, 7,Ａクラクエンスキｰ, 75,岩田康,, 80,   7,* 11, 2,  4.8,⑧⑧④
 2, 2,Ｋソラメンテウナベス, 31,デムｰ, 2.5, 50,  -7,  -4, 1,  2.9,⑪⑦⑤, 2, 9, メイケイグリｰン,,白浜雄, 0.5,,,, 1,  2.8,⑨⑨⑥, 2, 2, タイキヴァルト,---,デムｰ, 0.1, 32,*-22,   1, 2,  4.5, ②②, 2, 2,Ｅアヴェンティｰノ, 70,福永祐, 0.0, 79,* 10,   3, 4,  6.5,③②②
 3, 4,Ａフジノアリオン, 50,長谷川, 2.9, 47,  -5, -12, 2,  3.2,③③③, 3,11, セフティグランプリ,,黒岩悠, 0.5,,,, 6, 16.0,⑦⑦⑤, 3, 7, アグネスグリッタｰ,---,福永祐, 0.3, 31, -25,   2, 3,  4.6, ⑤④, 3, 1,Ｇアキノレッドスタｰ, 67,藤岡佑, 0.2, 77,* 11,  -1, 3,  5.8,①①①
 4,11,Ｉジャングルゼット, 35,池添謙, 3.0, 47,* -4, -15, 6, 14.5,②②②, 4, 2, ウォｰタｰトリトン,,佐久間, 0.7,,,, 2,  3.4,⑪⑨⑥, 4, 5, アグネスラナップ,---,池添謙, 0.3, 41, -30,* 12, 4,  5.4, ⑨⑩, 4,10,Ｄテイエムアンコｰル, 71,北村友, 0.8, 69,   4,*  6, 8, 40.1,⑨⑪⑪
 5, 8,Ｄニケダイヤモンド, 44,福永祐, 3.6, 42,  -5, -19, 5, 10.8,③③③, 5, 5, マルノウエスタン,,南井大, 0.8,,,, 8, 27.7,⑥⑥④, 5,10, シャインモｰメント,---,藤岡佑, 0.4, 30, -26,   2, 5,  6.2, ⑥⑥, 5, 6,Ｂソウルオブジャパン, 71,デムｰ, 0.8, 69,   8,  -3, 1,  2.0,⑦⑥④
 6,10,Ｈリュウセイペガサス, 36,北村友, 4.2, 36,  -6, -23,10, 92.6,⑥⑤⑤, 6,10, ツルミトゥインクル,,北沢伸, 0.9,,,, 7, 27.6,④③③, 6, 1, テイエムコオタロ,---,武幸四, 0.4, 29,*-22,  -4, 7, 24.2, ①①, 6, 3,Ｆヤマニンアリエル, 68,小牧太, 1.3, 64,   9, -12,11, 93.8,③④④
 7, 9,Ｆテｰオｰショウキ, 38,渡辺薫, 4.2, 37,  -7, -20,11,138.6,⑦⑦⑦, 7, 3, セイウンエポック,,出津孝, 3.3,,,, 5, 10.2,⑩⑪⑪, 7, 4, ユウタｰボｰイ,---,田村太, 0.4, 28, -29,   3, 8, 33.6, ⑦⑦, 7, 4,Ｋトムトップ, 52,渡辺薫, 1.6, 61,   7, -13,10, 69.1,⑥⑥⑧
 8, 1,Ｊマイネルロｰゼン, 31,藤岡佑, 4.3, 36, -10, -15, 4,  6.2,⑨⑩⑨, 8,14, ベルベットジャガｰ,,今村康, 3.4,,,,10, 55.9,①②②, 8,11, ホｰプフルスタｰ,---,長谷川, 0.5, 31, -28,   5, 6, 17.4, ⑨⑨, 8,11,Ｃトウカイアワｰド, 71,池添謙, 1.6, 61,   6, -10, 7, 30.7,⑪⑨⑨
