07年11月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.6,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■10R  ダ2100m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃドリｰムスカイラブ, 42,小林淳,, 51,  -8,  -1, 5, 19.4, ③③, 1, 5, ストロングザイオン,,五十嵐,,,,,10, 92.3,④③③, 1,14,Ｂジョウテンロマン, 74,丹内祐,, 71,   1,* 11, 5,  9.7, ⑪⑪, 1, 6,Ｈアドマイヤミリオン, 73,小野次,, 76,*  9,   3, 4,  6.9,⑥③②
 2,11,Ｈディｰプリンク, 37,吉田隼, 0.0, 52, -10,   1, 3,  6.4, ⑥⑥, 2, 9, トウショウズシオウ,,林満明, 1.0,,,, 2,  4.5,②②②, 2, 9,Ｅヤエノアカハチ, 67,蛯名正, 0.3, 68,   1,*  8, 1,  3.3, ⑫⑪, 2, 5,Ｇデイフラッシュ, 74,田中勝, 0.0, 77,   8,* 10, 2,  4.0,⑪⑫⑪
 3, 5,Ｉマイヴィｰナス, 35,藤岡佑, 0.1, 51, -11,   1,12, 84.8, ⑦⑦, 3,12, グロｰリｰジョン,,水出大, 1.5,,,, 5, 10.3,⑥⑤④, 3, 1,Ｆダノンブライアン, 66,武士沢, 0.3, 72,*  7,   2, 7, 13.8, ①①, 3, 1,Ｄモンヴェｰル, 77,蛯名正, 0.3, 75,   9,   4, 5,  6.9,④⑥⑧
 4,10,Ｄラビットヒビキ, 41,武士沢, 0.4, 45,  -9,  -4,11, 65.3, ⑤③, 4, 1, ユウタｰビスケット,,蓑島靖, 2.2,,,,11,121.6,⑪⑩⑨, 4, 7,Ｃマイニングゴｰルド, 69,松岡正, 0.3, 69,   3,   6, 2,  5.5, ⑦⑦, 4,11,Ｂパｰプルイｰグル, 78,藤岡佑, 0.3, 76,   9,   3, 1,  4.0,⑩⑩⑤
 5,14,Ｊリネンエｰス, 35,村田一, 0.5, 49, -15,*  3, 8, 31.9, ⑬⑪, 5, 7, スプリングレアル,,田中剛, 2.2,,,, 4,  9.1,①①①, 5,15,Ｇヒカルラブハｰト, 66,吉田隼, 0.5, 67,   3,   4, 8, 16.2, ⑦⑦, 5, 7,Ｉセルフリスペクト, 73,武士沢, 0.5, 71,   8,   1,11, 52.6,⑧⑥⑧
 6, 3,Ａアゲハチョウ, 49,蛯名正, 0.7, 41,* -8,  -9, 1,  1.9, ②②, 6, 2, ドライマティｰニ,,江田勇, 2.8,,,, 9, 56.9,⑧⑤④, 6, 8,Ｊエルベンセドｰル, 59,勝浦正, 1.0, 60,  -2,   4, 9, 24.3, ⑫⑬, 6, 2,Ｊワンダｰスティｰヴ, 71,後藤浩, 0.5, 72,* 10,  -4, 3,  5.6,①①①
 7, 2,Ｋセイントプラチナ, 32,松岡正, 0.7, 41,* -7, -10, 6, 23.9, ①①, 7, 8, ユｰセイシアトル,,金子光, 3.5,,,, 8, 48.2,⑧⑨⑧, 7,13,Ｍベルモントガロップ, 54,石神深, 1.1, 59,  -2,   3,14,127.8, ⑭⑬, 7, 4,Ｋヴィオラポンポｰサ, 71,石神深, 0.9, 66,   5,   1,12,100.8,⑪⑬⑬
 8,12,Ｂトミケンクルｰク, 45,後藤浩, 0.7, 48, -18,*  4, 2,  4.0, ⑭⑭, 8,11, チアズパンサｰ,,横山義, 3.5,,,, 3,  8.4,⑥⑦⑦, 8, 2,Ｐマロンラッシュ, 45,横山義, 1.1, 62,   4,  -3,15,277.8, ⑦④, 8,13,Ｃジュｰクジョイント, 77,勝浦正, 1.6, 66,* 10, -14, 7, 18.9,⑨⑧②
