07年 1月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■ 4R  芝3190m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.0,,,,,■10R  芝1600m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木津川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄカネトシリベルテ, 48,川田将,, 58, -15,*  9, 3,  4.0,④⑤③, 1,13, イナズマゼウス,,金折知,,,,, 9, 32.3,③③③, 1, 4,Ｂタマモコンチェルト, 73,福永祐,, 72,*  1,*  9, 2,  3.0,④④③, 1,10,Ｄオリエントチャｰム, 76,岩田康,, 85, -19,* 34, 3,  5.7, ⑮⑬
 2, 8,Ｂメリッサ, 52,武幸四, 0.0, 52,*-13,*  5, 2,  3.4,②②②, 2, 5, タニノコザック,,北沢伸, 0.1,,,,10, 34.3,⑦④③, 2,10,Ａエイシンイダテン, 73,小牧太, 0.2, 71,*  1,*  6, 3,  6.2,③②②, 2, 1,Ｅフィｰルドベアｰ, 76,秋山真, 0.0, 66,*-12,  21, 5,  7.6, ④④
 3, 5,Ａエプソムキララ, 54,岩田康, 0.5, 52, -17,*  7, 1,  1.9,⑧⑧⑥, 3, 6, コアレスプレジャｰ,,菊地昇, 0.4,,,, 7, 18.8,②②②, 3, 2,Ｃレゴラス, 72,岩田康, 0.6, 68,*  2,   0, 1,  1.6,①①①, 3, 8,Ｍトｰセンマエストロ, 70,上野翔, 0.0, 74, -16,* 27, 8, 13.9, ⑦⑧
 4, 9,Ｃマイネルキナ, 50,長谷川, 1.4, 40, -18,   1, 5, 23.3,⑫⑩⑩, 4, 9, スリｰブラボｰ,,小坂忠, 0.8,,,,11, 36.6,①①①, 4, 9,Ｇサクセスラゴｰラ, 55,熊沢重, 0.9, 64,   0,   1, 7, 76.9,④④③, 4, 3,Ｈスパニッシュソウル, 73,川原正, 0.2, 58,*-11,  16, 6,  9.6, ②②
 5, 2,Ｈオｰミメリッサ, 39,熊沢重, 1.6, 36, -18,  -2, 8, 81.4,⑩⑩⑩, 5, 1, エイシンペキン,,白坂聡, 0.8,,,, 6, 13.0,④⑤⑥, 5, 6,Ｅフレンチウォリアｰ, 57,吉田稔, 1.1, 63,  -1,   1, 5, 34.6,⑥⑥⑥, 5, 5,Ｂトップオブツヨシ, 78,和田竜, 0.3, 60, -12,  18, 4,  6.1, ④⑥
 6, 3,Ｅキクカラヴリイ, 45,小林徹, 1.6, 34, -14,  -9, 7, 46.9,④③③, 6,10, テイエムヒビキ,,高井彰, 0.8,,,, 2,  5.5,④⑥⑥, 6, 5,Ｉブラックサベｰジ, 53,和田竜, 1.5, 59,  -2,  -1,10,266.0,⑧⑧⑧, 6, 4,Ｐショウナンサリｰレ, 67,上村洋, 0.4, 52,*-11,  10,15,146.5, ①①
 7,10,Ｇゲットザチャンス, 42,福永祐, 1.8, 34, -14, -11, 4, 18.6,③③③, 7,14, ラブアフェアｰ,,西谷誠, 1.0,,,, 1,  2.0,⑧⑨⑨, 7, 7,Ｆロングエンパイヤ, 57,河北通, 1.7, 57,  -3,   0, 6, 58.1,⑩⑩⑨, 7,11,Ｃマルブツライト, 77,福永祐, 0.4, 60, -13,  19, 2,  5.0, ⑦⑥
 8, 1,Ｉヨドノドリｰマ, 39,南井大, 1.9, 32, -16,  -9, 9,104.5,⑥⑧⑥, 8, 2, キタサンブシドウ,,高田潤, 1.4,,,, 4, 11.5,⑫⑩⑩, 8, 1,Ｈエリモアスリｰト, 55,上野翔, 2.1, 51,  -2, -10, 8,107.0,⑥⑥⑥, 8, 6,Ｌビクトリアメｰク, 70,生野賢, 0.4, 61, -20,  22,13, 98.0, ⑪⑬
