07年 4月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.6,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,,■10R  芝2500m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安房特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａチャイニｰズフレア, 60,後藤浩,, 57,* -3,* -3, 1,  1.7,①①①, 1,10, リネンメイン,,宗像徹,,,,, 4,  7.6,⑤④④, 1, 8,Ｃアイシクルアｰト, 63,田中勝,, 77,* 12,  -2, 2,  3.1,①①①, 1, 7,Ｄワンダｰドリｰム, 69,江田照,, 81,*  7,* 14, 5,  7.8,⑦②②
 2,16,Ｅクロフネマンボ, 38,江田照, 0.6, 51,  -5,* -6, 3,  7.1,②③②, 2, 8, シルクリベラル,,金子光, 0.2,,,, 3,  4.6,③③②, 2, 9,Ａアルゴノｰト, 67,田中剛, 0.7, 69,   7,  -1, 5,  8.1,③③③, 2, 4,Ｆマイネルファｰマ, 66,田中勝, 0.0, 81,*  8,  11, 3,  5.4,①①①
 3, 1,Ｄバｰニングラブ, 44,郷原洋, 2.1, 39,  -8, -13, 8, 38.1,⑧⑥⑥, 3, 5, サムタイム,,田中剛, 0.9,,,, 7, 17.9,②①②, 3,10,Ｄナスノハツカゼ, 61,坂井英, 0.9, 68,   7,  -2, 4,  7.6,④④④, 3, 9,Ｅネヴァｰトルネｰド, 68,武士沢, 0.3, 77,*  7,   8, 1,  2.2,③②②
 4, 7, ホウヨウメイン,---,坂井英, 2.2, 38,  -8, -15, 9, 49.2,⑯⑥⑥, 4, 9, トウカイマジック,,蓑島靖, 1.3,,,, 5,  8.8,⑧④④, 4, 7,Ｅトｰセンクルｰズ, 60,吉田豊, 0.9, 68,   8,  -5, 1,  2.7,②②②, 4, 2,Ｂエプソムアルテマ, 72,後藤浩, 0.3, 79,   5,* 17, 2,  4.1,⑧⑧⑦
 5,11,Ｉハルエサン, 37,川島信, 2.4, 38,  -5, -22, 7, 36.9,②③④, 5, 6, エスケｰアパッチ,,五十嵐, 1.6,,,, 1,  3.5,⑤④⑥, 5, 3,Ｆカンファｰマックス, 59,武士沢, 1.1, 65,   4,*  4, 8, 50.9,⑧⑦⑤, 5, 6,Ｇフジマサチャンプ, 66,松岡正, 0.4, 77,   6,  11, 8, 72.3,⑤⑤④
 6, 9,Ｋヒュｰマンウｰマン, 35,柄崎将, 2.4, 37, -10, -13,13,173.1,⑫⑩⑧, 6,13, デイトレｰダｰ,,南田雅, 1.9,,,,10, 31.4,①②①, 6, 6,Ｂマチカネオオバン, 65,後藤浩, 1.4, 63,   3,*  1, 3,  5.3,⑨⑨⑤, 6, 1,Ｉマツリダタロウ, 37,菊沢隆, 1.2, 68,   6,   0, 9,158.6,⑥⑦⑦
 7,14,Ｇキｰプアンドゴｰ, 37,横山典, 2.6, 37,* -4, -26, 5, 12.5,②②②, 7, 7, シャコｰバニラ,,浜野谷, 2.0,,,, 9, 27.6,⑤⑦⑦, 7, 1,Ｉケイジｰウォリア, 55,村田一, 1.9, 57,   1,  -1, 7, 43.6,⑩⑩⑨, 7, 8,Ｈラッキｰショウリ, 63,柄崎将, 1.2, 70,   5,   5, 6, 31.8,⑧⑨⑨
 8, 2,Ｃトオノギャル, 47,菊沢隆, 2.8, 34, -12, -13, 2,  5.3,⑫⑫⑪, 8,12, ジンデンバリュｰ,,宇田登, 2.2,,,, 8, 20.8,⑪⑩⑩, 8, 5,Ｈロイバｰブリング, 57,松岡正, 2.1, 56,   5, -14, 6, 18.8,④⑥⑤, 8, 3,Ｃニシノシンフォニｰ, 70,田中剛, 1.6, 64,   7,  -9, 7, 34.5,③⑤⑥
