07年 7月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 7R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5.8,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,文月特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄオｰトクレｰル, 46,鮫島良,, 53,  -6,*  2, 6, 13.9, ⑬⑫, 1, 6,Ｄドナプレミア, 46,大下智,, 72,* -1,*  9, 5,  9.9,①①①, 1, 1,Ａレインダンス, 82,藤岡康,, 91,   1,* 24, 2,  3.8,⑦⑧⑦, 1, 6,Ｌワイキュｰブ, 72,戸崎圭,, 83,* 12,  10, 7, 20.9, ②②
 2,13,Ｅテンエイヤシャヒメ, 44,吉田稔, 0.2, 57,*  4, -13, 5, 12.1, ①①, 2,10,Ｆホッコｰワンマン, 45,池添謙, 0.8, 68,* -2,*  6, 8, 20.8,②②②, 2,11,Ｃウイドｰハンタｰ, 80,武豊  , 0.1, 89,   4,* 22, 3,  4.1,⑤⑤⑤, 2,12,Ｂサウスティｰダ, 84,武豊  , 0.2, 78,* 14,   4, 1,  2.6, ①①
 3,12,Ｂベルテッセン, 55,角田晃, 0.5, 51,  -1, -10, 4, 10.4, ⑦⑥, 3, 5,Ａヒドゥンアジェンダ, 52,熊沢重, 2.1, 56,  -3,  -4, 2,  5.3,④③③, 3, 4,Ｄブリトマルティス, 76,田中健, 0.4, 69,*  6,   4, 5, 14.4,②②②, 3, 8,Ｇフミノバラｰド, 75,角田晃, 0.4, 78,   7,  10, 8, 26.9, ⑥⑤
 4, 2,Ｋオンワｰドカミｰノ, 31,大下智, 0.5, 46, -12,*  0,15,242.3, ⑮⑬, 4, 1,Ｃメイショウシｰワン, 50,幸英明, 2.6, 52,  -5,  -5, 3,  5.6,⑥⑤⑤, 4,15,Ｇマイネインティマ, 68,戸崎圭, 0.7, 75,   3,  13,11, 68.7,⑦⑦⑦, 4, 9,Ａアドマイヤディｰノ, 95,川田将, 0.4, 94,  -7,* 29, 2,  3.3, ⑱⑱
 5,14,Ａアドマイヤチャチャ, 60,川田将, 0.9, 48,   1, -16, 1,  2.4, ④④, 5,12,Ｂマニフィｰク, 51,高橋亮, 2.6, 52,  -3,  -9, 4,  7.4,③③③, 5, 7,Ｍプレインセイリング, 61,池添謙, 0.9, 78,   0,* 18, 9, 30.7,⑩⑪⑪, 5,11,Ｉシャイニングアレキ, 74,川島信, 0.5, 79,   4,  13,15, 95.2, ⑧⑦
 6, 9,Ｉアルテサｰノ, 34,戸崎圭, 1.6, 41,   1, -23, 7, 23.0, ④⑥, 6, 4,Ｌアジアンホｰプ, 33,中村将, 3.4, 43,  -7, -10,11, 34.0,⑨⑨⑥, 6, 8,Ｌテイエムセイラン, 62,芹沢純, 1.0, 67,*  6,   3,14,114.0,③③③, 6, 7,Ｏコスモラヴアゲイン, 70,佐藤哲, 0.6, 82,  -2,* 20,10, 62.4, ⑭⑬
 7, 5,Ｃパワｰオブスマイル, 54,佐藤哲, 1.7, 38,  -5, -17, 2,  3.3, ⑩⑩, 7, 8,Ｋオｰミプラネット, 35,吉田稔, 3.6, 44,  -8,  -8,12, 97.4,⑩⑫⑩, 7, 5,Ｅサンライズベガ, 74,川田将, 1.0, 67,   4,   4, 1,  3.1,③③③, 7, 4,Ｄビンチェロ, 82,太宰啓, 0.6, 73,   7,   7, 3,  8.1, ⑥⑤
 8, 7, オｰスノムスメ,---,佐久間, 1.9, 37,  -2, -23,11,108.1, ⑦⑧, 8,13,Ｊタイムトラベリング, 40,高田潤, 3.7, 43,  -7, -12, 1,  3.1,⑦⑦⑨, 8, 6,Ｎアグネスメリット, 57,吉田稔, 1.4, 69,   1,  11,15,155.6,⑭⑫⑪, 8,16,Ｊピサノアルハンブラ, 74,吉田稔, 0.7, 70,* 11,   1, 6, 13.5, ③②
 9, 8,Ｇキュｰティゴｰルド, 38,武豊  , 2.4, 34,   2, -32, 3,  6.8, ④④, 9, 2,Ｇスタンドアチャンス, 44,川田将, 3.7, 43,  -9,  -7, 6, 10.0,⑫⑬⑬, 9,14,Ｊスタｰダストボｰイ, 63,太宰啓, 1.4, 70,   0,  12,10, 54.9,⑫⑫⑬, 9, 3,Ｅビッグカポネ, 81,和田竜, 0.7, 71,* 10,   3, 4, 12.1, ③④
10,16, ハッピｰフィｰト,---,太宰啓, 2.8, 32,*  3, -38,13,170.0, ②②,10, 9,Ｅレッドゾｰン, 45,渡辺薫, 3.8, 42,  -6, -15, 7, 18.5,⑤⑤⑥,10, 9,Ｏアジアン, 56,幸英明, 1.5, 65,   2,   6,13, 93.3,⑪⑩⑨,10,14,Ｃベルジュｰル, 84,鮫島良, 0.8, 74,   1,  12, 5, 13.1, ⑩⑨
