07年 1月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月28日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.5,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄリッカメルド, 58,小牧太,, 56,  -5,*  1, 5, 17.6, ⑦⑥, 1, 3, ユウゼｰタ,,黒岩悠,,,,, 5, 16.0,④④④, 1, 9,Ａネイキッド, 67,岩田康,, 69,*-11,* 18, 3,  6.6,①①①, 1, 7,Ｄトウショウパワｰズ, 83,池添謙,, 78,* 11,   0, 1,  2.4,⑥⑤③
 2,14,Ａエリモハルカ, 79,武幸四, 0.2, 57,  -1,  -5, 1,  1.4, ③③, 2, 1, タｰボフラッシュ,,石山繁, 0.1,,,, 4,  8.8,②③③, 2, 5,Ｂメイショウエグル, 65,池添謙, 0.4, 68, -14,* 19, 5, 10.3,⑩④②, 2, 8,Ｃマキハタサイボｰグ, 83,武幸四, 0.1, 76,   9,*  2, 2,  3.8,⑦⑦⑦
 3, 4,Ｅネネグｰス, 51,安藤勝, 0.3, 52,  -8,*  1, 2,  5.0, ⑧⑦, 3, 6, プロンタテヤマ,,植野貴, 0.7,,,, 3,  4.9,⑥④⑤, 3,10,Ｌメイショウラッシｰ, 49,武幸四, 0.7, 59, -13,  14, 2,  4.3,②④⑤, 3, 2,Ｆエイシンニｰザン, 77,ルメｰ, 0.5, 73,  11,  -6, 5,  9.3,⑤⑤⑥
 4, 7,Ｃセレブラｰル, 60,和田竜, 0.3, 55,  -2,  -5, 3, 11.5, ④④, 4, 7, トｰタチス,,仲田雅, 0.8,,,,13,167.4,③⑥⑥, 4, 6,Ｅスマｰトトリック, 62,上野翔, 0.9, 58, -16,  15, 9, 54.2,⑫⑥⑥, 4, 9,Ｅリキサンポイント, 78,本田優, 0.5, 73,* 12,  -9, 4,  6.3,③③③
 5, 5,Ｆルリュｰル, 44,川田将, 0.4, 51,  -7,* -1, 8, 92.2, ⑧⑦, 5,14, ジャイアンツエｰル,,白浜雄, 0.8,,,, 1,  2.9,④②①, 5, 8,Ｇニシオハンセル, 58,高橋亮, 1.6, 52, -16,  12, 8, 43.2,⑨⑨⑦, 5, 5,Ｂトウカイラブ, 84,幸英明, 0.5, 73,   9,   0, 3,  5.1,⑧⑨⑨
 6,10,Ｊクリノラブダンス, 38,柴山雄, 0.9, 49,  -2, -11,12,273.5, ④④, 6,11, アウトオブサイト,,今村康, 0.9,,,, 2,  2.9,①①②, 6, 1,Ｍレｰザｰウイング, 45,下原理, 1.7, 47, -15,   9,13,235.1,⑤⑨⑦, 6, 4,Ａバトルブレｰヴ, 84,太宰啓, 0.6, 70,* 11, -12, 7, 35.4,④③③
 7, 3,Ｏグラスクイン, 10,木村健, 1.3, 42, -16,  -2,14,567.8, ⑭⑭, 7, 5, ディクタトル,,北沢伸, 1.3,,,, 6, 17.8,⑨⑨⑦, 7,11, ホクセツファミリｰ,---,木村健, 1.8, 52, -18,  13,14,382.2,⑬⑭⑪, 7, 1,Ｈハイフレンドトライ, 74,小牧太, 0.9, 69,  10,  -9, 9, 41.2,⑨⑧⑦
 8, 2,Ｇシゲルバヤルララア, 44,熊沢重, 1.6, 45,*  2, -22, 9,122.8, ①①, 8, 9, ポｰトエレガント,,出津孝, 4.2,,,, 9, 52.6,⑦⑧⑧, 8, 2,Ｊサイキックダイブ, 54,幸英明, 1.9, 48, -17,  10,11, 69.3,⑧⑫⑪, 8, 3,Ｉテイエムテンライ, 71,和田竜, 1.4, 62,* 11, -28, 8, 40.1,①①①
