07年 1月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月21日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.0,,,,,■10R  芝2400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,睦月賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄスナｰクユｰチャン, 51,福永祐,, 71,* -5,* 10, 2,  5.7, ③②, 1,10, ゴｰジャスディナｰ,,西谷誠,,,,, 1,  2.4,①①①, 1, 3,Ｊパレスドン, 62,安藤勝,, 65,* -3,   8, 7, 26.5,①①①, 1,11,Ｅセレスステｰラｰ, 74,和田竜,, 72,  -4,  18, 3,  6.5,④④④
 2,15,Ａネヴァシャトル, 61,ルメｰ, 0.4, 61,*  0,   1, 1,  1.6, ①①, 2, 1, エリモマキシム,,高野容, 0.3,,,, 4,  6.6,⑤③③, 2, 6,Ｇカリオンツリｰ, 65,ルメｰ, 0.1, 68,  -6,* 12, 1,  2.6,⑥⑦⑤, 2, 9,Ｆワンマンシャチョウ, 73,武豊  , 0.2, 73,  -4,  19, 1,  2.2,⑤⑤⑤
 3,11,Ｂトウショウブリッツ, 54,池添謙, 0.8, 61, -13,*  9, 3,  5.8, ⑧⑥, 3, 6, シｰグランプリ,,小坂忠, 0.3,,,,10, 64.2,⑤②②, 3, 5,Ｉユｰガットテｰスト, 63,福永祐, 0.1, 64,* -4,   8,10, 35.2,②②②, 3, 2,Ａミツワスカイハイ, 77,小牧太, 0.7, 72,  -7,* 21, 7, 18.5,⑦⑧⑧
 4,16,Ｍファンドリゲット, 28,和田竜, 1.5, 47,* -4,  -6, 7, 41.2, ②②, 4, 5, デイトレｰダｰ,,江田勇, 1.0,,,, 9, 48.7,⑨⑦⑤, 4,14,Ａダンスアジョイ, 78,角田晃, 0.1, 79, -10,* 20, 2,  3.6,⑮⑭⑪, 4,10,Ｂマイネルファｰマ, 76,長谷川, 0.7, 55,  -3,   4, 8, 26.8,③③③
 5, 4,Ｅグランプリジョニｰ, 49,武豊  , 1.6, 51, -18,   6, 4, 14.1, ⑪⑩, 5, 8, タｰボフラッシュ,,石山繁, 1.4,,,, 6, 15.7,③⑤⑤, 5, 2,Ｆプログレスエバｰ, 65,幸英明, 0.2, 64,* -5,   9,12, 84.3,③③③, 5,14,Ｇパｰプルファルコン, 72,北村友, 0.7, 67,  -8,  18, 6, 17.6,⑪⑧⑧
 6, 7,Ｈキクノジュピタｰ, 36,小坂忠, 1.6, 51, -18,   6,11,363.3, ⑪⑩, 6, 3, ホｰマンラフィット,,金折知, 1.8,,,, 2,  4.2,⑦⑧⑧, 6,15,Ｃゲイルバニヤン, 67,岩田康, 0.5, 59,* -4,   5, 3,  5.3,③③③, 6, 7,Ｈマイネルアンセム, 71,安藤勝, 0.9, 63,  -7,  15, 9, 32.7,⑤⑥⑦
 7,13,Ｃサラバンド, 54,岩田康, 1.6, 46,  -8,  -4, 5, 14.2, ④④, 7,12, オｰバｰシｰズ,,小林慎, 2.2,,,, 7, 20.4,③⑤⑦, 7, 8,Ｋメイショウチョイス, 61,太宰啓, 0.6, 63,  -7,  10, 5, 17.9,⑦⑩⑧, 7,12,Ｊレディキルシェ, 70,福永祐, 0.9, 61,  -7,  14, 5, 12.7,⑦⑥⑥
 8,14,Ｆテイエムフルパワｰ, 49,上野翔, 1.7, 43, -11,  -5, 9, 98.7, ⑤④, 8, 2, テイエムツバサオｰ,,出津孝, 2.2,,,, 8, 47.0,②③④, 8, 1,Ｈメイショウシンゲツ, 64,池添謙, 0.8, 60,  -7,   8,11, 56.6,⑬⑪⑩, 8,13,Ｍワンダｰシンゲキ, 69,田村太, 1.0,  1,*  6, -38,15,338.4,②②②
