07年10月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13.3,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,神無月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂデルマアルタイル, 39,藤田伸,, 47,  -3,*-12, 1,  2.3, ③③, 1, 5, フサイチアソｰト,---,武豊  ,, 62, -12,* 16, 2,  3.2, ⑤④, 1, 5,Ｉマイネルグラシュｰ, 69,田中勝,, 77,   4,  15, 3,  5.6, ④④, 1,14,Ａアドマイヤスバル, 83,村田一,, 83,   3,  19, 2,  2.9, ②②
 2, 1,Ｅハルタカオｰ, 30,後藤浩, 0.2, 47,* -1, -17, 3,  5.1, ①①, 2, 7, ニシノエモｰション,---,四位洋, 0.0, 61, -12,  14, 3,  4.5, ③③, 2,12,Ｊプリンシペデルソル, 66,武豊  , 0.1, 77,   3,  15, 4,  9.8, ④⑥, 2, 5,Ｂラインドライブ, 82,蛯名正, 0.2, 81,   2,  19, 1,  2.8, ⑤⑥
 3, 2,Ａミラクルロザリオ, 40,小野次, 0.3, 42,  -7,*-10, 5, 18.6, ⑨⑨, 3, 9, サトノプログレス,---,横山典, 0.0, 66, -14,* 19, 1,  2.3, ⑤⑥, 3, 6,Ｇツバサドリｰム, 70,岩田康, 0.1, 83,  -2,* 22, 8, 19.2, ⑧⑩, 3, 2,Ｆスウォｰドキャット, 72,田中剛, 0.2, 77,*  6,  13, 6, 23.0, ①①
 4, 4,Ｃスピｰドロｰレル, 38,川田将, 0.3, 42,  -5,*-13, 7, 28.8, ⑦⑤, 4,11, ルシフェリン,---,蛯名正, 0.7, 45,*-10,   1, 4, 10.8, ②①, 4, 2,Ｐマチカネエベッサン, 61,柴田善, 0.4, 71,   2,  12,14,102.5, ⑧⑧, 4,10,Ｅタイキシルバｰ, 73,大庭和, 0.3, 81,   0,* 20,13, 86.7, ⑧⑧
 5, 5,Ｆグランドオｰク, 26,勝浦正, 0.8, 39,  -5, -18, 9, 92.6, ⑤⑤, 5, 6, オリエンタルカイト,---,福永祐, 1.0, 43,*-10,  -4, 6, 25.9, ①②, 5, 8,Ｄアサヒバロン, 72,小野次, 0.6, 64,*  6,   1, 5, 11.6, ③③, 5, 6,Ｃウィストラム, 79,吉田隼, 1.0, 73,  -3,  17, 3,  4.9, ⑩⑪
 6, 8,Ｋサンデｰチャリティ, 14,田面木, 1.3, 33, -10, -17,12,224.4, ⑫⑫, 6, 4, ディｰプリンク,---,吉田隼, 1.2, 40, -14,   1, 7, 30.7, ⑧⑥, 6,10,Ｍセンギョウシュフ, 64,宗像徹, 0.6, 76,  -6,* 21,12, 36.1, ⑭⑮, 6,11,Ｊスタｰオブニルス, 68,藤岡佑, 1.1, 69,  -1,  13,15,175.4, ⑩⑨
 7, 9,Ｈタヤスアカヤネ, 23,福永祐, 1.3, 33,  -8, -19, 6, 25.5, ⑪⑪, 7, 8, クレプスキュｰル,---,川田将, 1.6, 35, -21,   3, 5, 24.5, ⑪⑪, 7, 4,Ｅフュノンガルウ, 71,蛯名正, 0.7, 64,   4,   4,10, 24.5, ⑥④, 7,16,Ｄメイショウディオ, 76,福永祐, 1.2, 70,  -4,  16, 5, 16.9, ⑫⑫
 8,12,Ｇフジハマカゼ, 23,小島太, 1.6, 30,  -6, -27,11,187.4, ⑨⑤, 8, 3, ベガブラン,---,藤田伸, 2.2, 27, -13, -16,10, 55.1, ④⑥, 8,17,Ａリミットブレｰカｰ, 77,吉田隼, 0.7, 72,  -5,* 18, 2,  4.5, ⑭⑫, 8, 8,Ｌサｰチエネミｰ, 66,柴山雄, 1.5, 64,  -1,   9,10, 41.6, ⑧⑨
