07年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 4R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.9,,,,,■10R  芝2500m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恋路ｹ浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａテイエムシップウ, 60,中舘英,, 59,*  3,  -2, 1,  2.1, ①①, 1,10,Ａヘンメイレン, 64,的場勇,, 47,*-17,   8, 1,  2.8,②①①, 1, 3,Ｉアグネススピリッツ, 47,横山典,, 66,  -8,* 13, 3,  8.0,③③②, 1,10,Ｇトロフィｰディｰル, 74,武豊  ,, 64,* -9,  16, 1,  2.2,②①①
 2,11,Ｂカリスマダンディｰ, 58,小牧太, 0.0, 60,  -2,   2, 3,  4.5, ④④, 2, 8,Ｂヤマニンリュクス, 60,渡辺薫, 0.2, 57, -20,* 15, 3,  5.7,⑩⑨⑦, 2, 4,Ｂアイアムドラマ, 60,武豊  , 0.6, 57,  -9,   8, 1,  1.7,⑤③④, 2,16,Ａオルドリｰバ, 77,安藤勝, 0.2, 61,* -9,  15, 2,  3.6,⑥③②
 3,10,Ｃアルファトリリオン, 57,横山典, 0.6, 49,*  0,  -6, 2,  2.8, ②②, 3,11,Ｄアジアン, 58,後藤浩, 0.4, 44,*-17,   7, 4, 10.4,④③②, 3,11,Ｅイブキゴルゴ, 56,田中克, 0.7, 49,* -8,   1, 4, 10.7,①①①, 3, 5,Ｄパｰプルファルコン, 75,小牧太, 0.4, 55,*-11,  12, 7, 21.8,⑥⑤③
 4,12,Ｇツルマルビビッド, 49,上村洋, 0.6, 52, -16,*  5, 4, 17.5, ⑦⑦, 4, 9,Ｅコスモコネクション, 56,柴田善, 0.5, 49, -20,  11,10, 54.7,⑪⑤④, 4, 7,Ａロｰランラムズ, 60,浜中俊, 0.8, 51, -10,   4, 6, 13.1,③③④, 4,11,Ｂバブルサウンド, 76,二本柳, 0.4, 62, -12,* 16,12, 33.3,⑪⑧⑦
 5, 7,Ｉサルバドｰルボス, 35,吉田隼, 0.7, 51, -20,*  6, 8, 44.4, ⑨⑨, 5,12,Ｇドナパッション, 55,吉田稔, 0.7, 54, -23,* 15, 8, 43.5,⑫⑫⑫, 5, 6,Ｄタヤスワカシオ, 57,柴田善, 0.8, 56, -11,   9, 2,  5.1,⑦⑦⑦, 5,14,Ｌメイショウアンドレ, 69,後藤浩, 0.6, 55, -12,  12, 6, 20.8,⑯⑧④
 6, 3,Ｅシゲルダンヤバｰド, 49,河北通, 0.8, 46,*  1,  -9, 5, 22.1, ②②, 6, 3,Ｈテイエムトパｰズ, 54,小牧太, 0.8, 39,*-16,   3, 6, 14.1,③②②, 6, 8,Ｈヒミノクリミナル, 54,吉田隼, 1.2, 50, -10,   5,10, 83.9,⑨⑦⑧, 6, 3,Ｅミスタｰシｰザ, 74,吉田稔, 0.6, 69, -14,* 20,10, 28.2,⑮⑮⑮
 7, 8,Ｈトップガンヒｰロｰ, 42,浜中俊, 1.0, 43, -18,  -1, 9, 97.7, ⑦⑦, 7,13,Ｃイチバンサクラ, 59,池添謙, 0.8, 47, -21,  11, 2,  2.9,⑫⑩⑨, 7, 5,Ｊスピリットファイタ, 46,小牧太, 1.2, 47,* -8,   0, 7, 34.9,②②②, 7,13,Ｋカレンパパ, 70,北村友, 0.7, 49, -12,   8, 9, 27.8,③⑤④
 8, 9,Ｊカシノラブコｰル, 31,西田雄, 1.0, 45, -15,  -1,11,255.8, ⑥⑥, 8, 6,Ｍグリフォニｰ, 46,二本柳, 0.9, 45, -21,  10,13,418.2,⑧⑩⑨, 8, 9,Ｃトｰヨｰパプラｰル, 60,中村将, 1.5, 44, -12,   1, 5, 13.0,⑤⑦⑧, 8, 9,Ｍストロングドン, 69,吉田隼, 0.9, 53, -15,  12,15,155.3,⑫⑬⑨
