07年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄパワｰウェｰブ, 43,鮫島良,, 63,* 12, -13, 1,  3.0, ①①, 1, 6, ミリオンウェｰブ,---,和田竜,, 69,*  4,   2, 4,  8.1, ①①, 1,12,Ｇマヒオレ, 51,川田将,, 58,*  8, -19, 8, 23.0,②②①, 1, 6,Ｄゼンノストライカｰ, 83,川田将,, 88,  -3,* 29, 4,  7.1,⑤⑥⑦
 2,11,Ａマイネルコルベット, 66,角田晃, 0.1, 58,*  9, -12, 2,  3.4, ②②, 2, 9, ホッコｰビクトリｰ,---,渡辺薫, 0.0, 68,*  3,*  4, 7, 13.4, ②②, 2, 8,Ｄタガノアッシュ, 53,藤岡康, 0.1, 52,   3,*-15, 2,  4.3,⑨⑦④, 2, 9,Ａメイショウサライ, 86,佐藤哲, 0.3, 83,  -2,* 27, 3,  5.0,⑨⑥⑤
 3, 9,Ｃオｰスミギムレット, 44,和田竜, 0.4, 49,   3,*-10, 3,  4.4, ⑥⑤, 3,10, マリエンベルク,---,小牧太, 0.4, 60,   0,   1, 1,  2.6, ③②, 3, 1,Ｂテイエムアンコｰル, 55,和田竜, 0.1, 56,   5,*-13, 3,  4.8,⑨⑦⑥, 3,11,Ｊメイショウシャフト, 76,角田晃, 0.4, 74,*  1,  19, 7, 15.6,③③②
 4, 2,Ｇマイネルインゼル, 39,藤岡康, 0.4, 48,   6, -17, 5, 11.7, ②②, 4,11, ウィッシュアウェイ,---,佐藤哲, 0.5, 56,  -5,*  4, 6, 12.7, ④④, 4,15,Ｉルリュｰル, 46,渡辺薫, 0.1, 56,*  6,*-16, 5, 10.2,④④②, 4, 1,Ｇエイシンラｰジヒル, 77,幸英明, 0.4, 76,   0,  21, 6,  9.0,④④④
 5,13,Ｋトｰホウベルサイユ, 25,幸英明, 0.6, 49,   7, -18, 8, 27.1, ②④, 5, 4, ヴェンティ,---,幸英明, 1.0, 48,  -7,  -2, 2,  3.7, ⑥⑥, 5, 4,Ｆダンシングナナ, 51,小牧太, 0.7, 50,*  7, -27, 4,  8.3,④④④, 5,12,Ｂツムジカゼ, 85,鮫島良, 0.7, 75,  -1,  21, 2,  4.6,⑥⑤⑤
 6, 1,Ｈエｰシンハウジンク, 34,野元昭, 0.7, 47, -10,* -3, 9, 41.2, ⑬⑫, 6, 3, エｰシンジｰライン,---,川田将, 1.0, 49,  -4,  -6, 3,  7.8, ④④, 6, 5,Ｏウインステルス, 26,川島信, 0.9, 48,   4, -22, 9, 30.9,⑫⑫⑪, 6, 2,Ｆサンライズキング, 80,和田竜, 0.8, 70,*  3,  15, 1,  3.1,②②①
 7, 8,Ｆダンツエスエスティ, 40,熊沢重, 1.0, 39,  -1, -16, 7, 21.2, ⑦⑥, 7, 5, ブラックルｰラｰ,---,鮫島良, 1.8, 37, -17,  -6, 5, 11.9, ⑩⑧, 7,13,Ｊジョリｰレイジ, 45,石橋守, 1.1, 48,   4, -25,14,119.4,⑭⑫⑧, 7,10,Ｉケｰジｰダンシング, 76,赤木高, 1.0, 76,  -6,  25,11,119.2,⑪⑪⑩
 8, 7,Ｂエｰシンエイホｰプ, 56,川田将, 1.0, 42,   6, -23, 4,  9.1, ⑤⑥, 8, 7, マイネルデスティノ,---,熊沢重, 1.8, 36, -15,  -7, 8, 14.1, ⑨⑧, 8,11,Ｍキクノインプルｰブ, 42,赤木高, 1.2, 47,   4, -27,11, 61.4,⑭⑫⑧, 8, 3,Ｅアグネストラベル, 81,橋本美, 1.0, 71,  -3,  20, 8, 20.3,⑥⑥⑦
