07年11月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｅネイヴルトウショウ, 46,吉田豊,, 57,  -7,*  3, 5,  6.7, ⑦⑤, 1,14, ラヴドシャンクシｰ,---,武豊  ,, 42,*-39,* 15, 1,  1.9,⑪⑥③, 1,10,Ｃクリムゾンベガ, 72,武豊  ,, 72,*  8,  -3, 2,  3.8,⑥⑥①, 1, 4,Ｅアドマイヤムｰン, 90,岩田康,, 98,*  9,* 31, 5, 10.9,⑤⑥④
 2, 1,Ｃアリｰジェンス, 47,田中勝, 0.5, 52, -10,   1, 7, 16.0, ⑧⑧, 2, 3, ステｰジダンシング,---,岩田康, 0.0, 28,*-36,   9, 8, 28.8,②①①, 2, 2,Ｉニシノコンドコソ, 59,勝浦正, 0.0, 71,   2,* 16,11, 65.7,⑪⑩⑨, 2, 2,Ｇポップロック, 89,ペリエ, 0.0, 98,*  9,* 31, 4, 10.5,③④④
 3, 4,Ａマイヴィｰナス, 50,藤岡佑, 0.5, 59, -17,* 10, 6, 12.3, ⑮⑬, 3, 5, コンベンション,---,蛯名正, 0.1, 45, -40,* 17, 6, 21.0,⑨⑥⑥, 3, 8,Ａキングオブチャド, 76,後藤浩, 0.5, 65,   7,  -6, 1,  2.7,⑥②⑤, 3,10,Ｂメイショウサムソン, 97,武豊  , 0.0,100,*  9,* 31, 1,  1.8,⑨⑨④
 4,10,Ｌジュエルサイレンス, 36,蛯名正, 0.6, 47,* -5,  -6, 2,  4.3, ②②, 4,15, ドナｰリオ,---,ペリエ, 0.1, 38,*-39,  13,10, 40.4,④④③, 4, 9,Ｄマイネルメロス, 70,岩田康, 0.7, 64,   2,*  6, 8, 25.4,⑨⑨⑨, 4,11,Ａウオッカ,101,四位洋, 0.2,103,   6,* 36, 2,  6.1,⑯⑱⑮
 5, 2,Ｈセラマットパオ, 42,大庭和, 0.7, 51, -12,*  2,10, 94.8, ⑩⑩, 5,12, ラブダイヤモンド,---,菊沢隆, 0.2, 22,*-37,   7, 3, 12.1,③②②, 5,13,Ｆジョイザラス, 65,北村宏, 0.8, 62,*  8, -14, 5, 10.3,②②②, 5,18,Ｌデルタブルｰス, 82,川田将, 0.4, 87,*  9,  24,14,147.2,⑤⑤④
 6, 5,Ｆウィンドチャイム, 45,後藤浩, 1.7, 37,* -5, -17, 1,  3.4, ①①, 6, 1, シビルウォｰ,---,藤田伸, 0.3, 48, -43,* 18, 5, 19.7,⑪⑪⑪, 6,11,Ｊマチカネフクノカミ, 55,田中勝, 0.8, 62,   7, -11, 7, 12.5,③②⑤, 6, 5,Ｈチョウサン, 88,横山典, 0.5, 81,* 11,  17,10, 63.0,①①①
 7, 6,Ｂシャイニングアゲン, 50,藤田伸, 1.7, 37,  -7, -14, 4,  6.5, ⑤⑤, 7,11, ビルトミｰアップ,---,柴山雄, 0.4, 36, -41,  13,11, 47.6,⑥⑥⑧, 7, 1,Ｅワキノパワｰ, 67,松岡正, 1.0, 61,   3,  -2, 6, 12.4,⑨⑧⑧, 7, 7, ペイパルブル,---,ムｰア, 0.8, 86,   7,  25, 9, 52.2,⑯⑬⑪
 8,12,Ｍヤマサペパｰミント, 30,村田一, 2.0, 36, -16,  -6,15,425.3, ⑫⑪, 8,17, ダイワワイルドボア,---,安藤勝, 0.4, 36, -41,  13, 2,  4.1,⑥⑨⑧, 8, 3,Ｈトｰセンステディ, 63,横山典, 1.4, 57,   6, -19, 4,  9.0,⑤⑥⑤, 8, 8, アルティストロワイ,---,タラモ, 0.9, 78,*  9,  17, 7, 37.2,⑦⑥④
