07年 7月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10.5,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小倉記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａオｰスミマｰシャル, 52,武豊  ,, 70,* -1,*  8, 1,  1.2, ②②, 1, 9, マイネルアトレ,---,川田将,, 52,*-16,  14, 2,  3.7,②①①, 1,10,Ｅゼットファｰスト, 60,川田将,, 67,  -1,*  7, 1,  1.9, ⑥⑦, 1, 2,Ａサンレイジャスパｰ, 87,佐藤哲,, 91,   3,* 26, 6,  8.1,⑥⑥⑦
 2, 3,Ｄメイショウラダック, 35,飯田祐, 0.0, 69,*  1,*  7, 3, 10.9, ①①, 2, 3, アグネススタｰチ,---,赤木高, 0.2, 68, -24,* 27, 7, 30.9,⑬⑬⑪, 2, 6,Ｆメイショウセレス, 58,小牧太, 0.1, 65,  -9,* 13, 4,  9.1, ⑫⑫, 2, 1,Ｄニホンピロキｰス, 86,赤木高, 0.2, 79,   4,  18, 7, 12.7,③④③
 3, 1,Ｅエｰティｰドン, 34,和田竜, 0.3, 64,  -4,*  7, 6, 26.8, ⑤④, 3, 5, アイトｰン,---,武豊  , 0.5, 53, -22,* 19, 3,  4.4,⑩⑩⑪, 3, 2,Ｋシルクスタｰリング, 48,鮫島良, 0.3, 62,  -3,   3, 9, 54.9, ⑥⑦, 3, 9,Ｋアラタマサモンズ, 79,芹沢純, 0.4, 70,*  5,  11,10, 40.5,②②②
 4, 5,Ｂコアマン, 46,佐藤哲, 0.3, 64,  -4,*  7, 4, 12.2, ⑤④, 4, 2, タマモナイスプレイ,---,渡辺薫, 0.7, 47, -22,  16, 4,  8.2,⑩⑩⑨, 4, 3,Ｇパワｰオブスマイル, 56,藤岡康, 0.3, 59,*  0,  -3, 3,  6.5, ③③, 4, 3,Ｈニルヴァｰナ, 84,幸英明, 0.4, 70,*  6,  10, 2,  5.3,①①①
 5, 7,Ｈダイナミックスタｰ, 28,川田将, 0.8, 51,* -1,  -4, 8, 56.5, ②③, 5,11, ノットアロｰン,---,横山典, 0.8, 56, -26,* 22, 1,  2.7,⑮⑮⑭, 5,12,Ｃホウライキャプテン, 61,荻野琢, 0.4, 57,*  0,  -5,13,102.0, ③④, 5,10,Ｇヴィｰタロｰザ, 84,上村洋, 0.5, 78,   6,  17, 4,  7.6,⑤④⑤
 6, 8,Ｇチョウトップロｰド, 32,浜中俊, 0.9, 52, -17,*  6, 7, 55.9, ⑧⑦, 6, 4, シゲルエスペレ,---,上村洋, 1.0, 35, -18,   4,14,106.3,③⑤④, 6,17,Ｎベニッシモイモン, 41,和田竜, 0.4, 61,  -1,   0,17,225.8, ⑥④, 6,11,Ｃホッコｰソレソレｰ, 86,池添謙, 0.5, 81,   2,* 21, 9, 20.6,⑫⑩⑦
 7,11,Ｃツクヨミ, 37,池添謙, 2.0, 38,*  1, -24, 2,  8.3, ②④, 7,12, ロングセレネ,---,藤岡康, 1.0, 32, -20,   2, 9, 71.7,⑤⑤④, 7,15,Ｌファンドリメロデイ, 47,佐藤哲, 0.6, 57, -11,*  7, 6, 20.0, ⑮⑭, 7, 5,Ｊスウィフトカレント, 81,横山典, 0.7, 77,   6,  16, 1,  3.7,⑩⑥⑤
 8, 9,Ｉオｰナｰラヴ, 21,川島信, 2.1, 35, -33,*  7,10,198.6, ⑪⑧, 8,10, ハマノモナｰク,---,熊沢重, 1.1, 36,*-17,  -1,10, 74.7,⑦②②, 8, 4,Ａデュｰクデビル, 63,上村洋, 0.6, 58,*  5,  -9, 5, 11.1, ②②, 8, 6,Ｅアップドラフト, 86,川田将, 0.7, 68,*  5,   9, 3,  6.5,③③③
