07年 5月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 5月 5日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,晩春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａブリリアントタイム, 57,蛯名正,, 61,* -3,*  2, 1,  1.5, ②②, 1, 6, ユキノアメｰジング,,穂苅寿,,,,, 1,  2.1,①①①, 1, 7,Ｃベルモントエｰス, 63,穂苅寿,, 64,*  3,   2, 5, 10.7, ①①, 1, 8,Ｃピサノパテック, 78,横山典,, 91,  -7,* 31, 3,  4.5, ⑮⑫
 2, 9,Ｄサトノユウジ, 47,田中勝, 0.6, 56,* -3,  -4, 2,  4.9, ①①, 2, 5, デイトレｰダｰ,,南田雅, 0.6,,,, 8, 30.3,④③③, 2, 3,Ｐダイワエルパソ, 41,勝浦正, 0.0, 68,  -1,*  7,11, 70.8, ④④, 2, 4,Ｎエイシンニｰザン, 69,田中剛, 0.0, 76,   0,  18, 4, 18.0, ③③
 3, 7,Ｂダイワモナｰク, 53,武士沢, 1.4, 49,* -4,  -9, 3,  6.1, ③③, 3, 4, レオスタｰライト,,柴田大, 0.9,,,, 2,  3.1,⑨⑦⑦, 3,14,Ａスマｰトフレンズ, 64,柴田善, 0.2, 63,*  0,   3, 1,  2.7, ②②, 3,14,Ｊダイアモンドヘッド, 72,勝浦正, 0.3, 67,*  2,  11, 7, 31.4, ①①
 4, 6,Ｆロｰザヴィｰ, 40,田中博, 1.5, 44,  -8,  -9, 8, 67.3, ⑥⑤, 4,13, ダイワラファエル,,山本康, 1.0,,,,10, 34.4,②②②, 4, 8,Ｂフジマサゴｰルド, 64,安藤光, 0.3, 61,*  1,   1, 2,  3.6, ②②, 4,15,Ｇコンドルクエスト, 74,田中勝, 0.4, 65,*  2,   9,10, 77.6, ②②
 5, 3,Ｅミヤギカリスマ, 44,柴山雄, 1.5, 46,  -8,  -4, 7, 45.4, ⑨⑦, 5, 3, スガｰペンタイア,,千葉直, 2.3,,,,14,195.7,⑩⑨⑨, 5,12,Ｄチェルケッティ, 62,北村宏, 0.5, 60,  -1,   2, 4,  6.8, ⑥④, 5, 2,Ｄユキノアサカゼ, 76,柴山雄, 0.4, 74,  -4,  20, 5, 18.1, ⑨⑧
 6,10,Ｃウインデュｰク, 47,的場勇, 2.3, 38,* -6, -20, 5, 22.5, ③③, 6,11, ヒカルミキティ,,宗像徹, 2.5,,,, 4, 10.7,④⑦⑦, 6,10,Ｈオｰルフォｰラヴ, 57,吉田豊, 0.6, 58,   0,  -1, 8, 35.7, ④④, 6, 7,Ｂシンゲン, 79,安藤光, 0.5, 66,  -1,  12, 1,  2.4, ④③
 7,12,Ｊスガノグロｰリアス, 26,岩部純, 2.5, 38,  -9, -13,12,317.3, ⑥⑨, 7,10, サｰガキャスケｰド,,五十嵐, 2.5,,,, 3,  8.3,②④④, 7, 6,Ｇヒカルマチェンドラ, 59,田中勝, 0.6, 59,  -4,   3, 3,  6.0, ⑦⑦, 7, 9,Ａカイシュウタキオン, 91,蛯名正, 0.5, 73,  -5,  20, 2,  3.0, ⑨⑩
 8, 4,Ｈマイトイズライト, 32,大庭和, 2.5, 38,  -9, -13, 9,216.8, ⑩⑨, 8, 9, チャッティｰギャル,,蓑島靖, 2.7,,,, 9, 30.9,④⑤⑤, 8, 1,Ｅロｰレルハンバｰバ, 61,田中博, 0.7, 58,  -8,*  4,10, 58.3, ⑩⑫, 8,16,Ｉロｰランジェネルｰ, 72,北村宏, 0.8, 61,  -3,  10, 8, 43.1, ⑥⑤
 9, 2,Ｉマインドシチｰ, 31,池崎祐, 3.0, 32, -27,*  7,10,276.7, ⑫⑫, 9,14, パシスタ,,沢昭典, 3.4,,,,12,156.6,⑪⑪⑪, 9,11,Ｎダンシングママ, 52,田中剛, 1.0, 60, -12,*  8,16,351.3, ⑯⑮, 9,12,Ｈルタンティｰル, 73,吉田豊, 0.9, 61,  -5,  12,11,100.4, ⑥⑧
10, 5,Ｇハルエサン, 38,北村宏, 3.2, 33,  -6, -24, 4,  9.9, ⑤⑤,10, 1, ライトストロング,,今村康, 5.4,,,, 6, 26.2,④⑤⑥,10, 2,Ｌエイコｰロマン, 54,大庭和, 1.1, 53,  -4,  -1,14,100.7, ⑦⑦,10, 3,Ｍトウキュウトップ, 70,吉永護, 1.0, 58,  -3,   7, 9, 60.9, ④⑤
11, 8,Ｋガクエンカイマン, 10,横山典, 3.4, 31,  -8, -24, 6, 44.4, ⑥⑦,11,12, フレンドリｰステラ,,横山義, 5.4,,,, 7, 28.4,⑧⑩⑨,11, 9,Ｊサワッディ, 55,蛯名正, 1.2, 52,  -5,  -2, 9, 47.7, ⑩⑦,11, 5,Ｋトラストセレビｰ, 71,郷原洋, 1.0, 58,  -3,   7,14,311.5, ⑥⑤
12, 1,Ｌジョキョク,  3,安藤光, 3.6, 29, -14, -15,11,282.4, ⑪⑪,12, 8, マイネルシルバｰト,,大庭和, 8.4,,,, 5, 24.8,⑬⑫⑫,12,13,Ｋマルブツクロフネ, 54,武士沢, 1.2, 54,  -9,   3,12, 75.9, ⑬⑭,12,10,Ｅトｰセンテンショウ, 75,小牧太, 1.1, 60,  -7,  14, 6, 19.9, ⑫⑫
,,,,,,,,,,,,13, 7, カイシュウワンダｰ,,江田勇, 8.7,,,,13,171.6,⑭⑭⑭,13, 4,Ｍデピュティジャパン, 54,横山義, 1.3, 50,  -6,  -2,15,313.2, ⑦⑩,13,13,Ｆシンボリロッキｰ, 75,田中博, 1.2, 59,  -8,  14,15,433.4, ⑫⑮
,,,,,,,,,,,,14, 2, ハルカチャン,,平沢健, 9.5,,,,11, 77.2,⑫⑫⑬,14,16,Ｉエンドジョｰカｰ, 56,小林淳, 1.3, 51,  -8,   0,13, 96.8, ⑬⑫,14, 1,Ｌコアレスパティオ, 70,武士沢, 1.2, 62, -10,  17,12,109.8, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｆブルｰポラリス, 61,千葉直, 1.6, 44,  -7,  -6, 7, 27.7, ⑩⑩,15,11,Ｏサムソンハッピｰ, 69,柴田善, 1.4, 54,  -6,   7,13,263.5, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｏグレｰトアドミラル, 51,小牧太, 1.8, 47, -11,   0, 6, 22.7, ⑬⑮,16, 6,Ｐペルフェット, 59,小林淳, 2.2, 49,  -6,  -7,16,477.7, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-6),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,
