07年 9月 8日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月 8日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.0,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺｽﾓｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｈアルスマグナ, 32,藤田伸,, 58,* -2,  -3, 1,  2.2,①①①, 1, 5,Ｃトｰセンペガサス, 64,安藤勝,, 65,  -9,* 10, 1,  2.2, ⑩⑥, 1, 3,Ａポｰトラヴ, 73,草野太,, 64,*  4,  -3, 1,  2.2, ②①, 1, 6,Ａヤマカツオｰキッド, 67,池添謙,, 40,*-37,  20, 2,  3.1,①①①
 2, 1,Ｆアラマサロビンソン, 40,勝浦正, 0.0, 57,  -8,*  6, 9, 64.5,⑦⑩⑥, 2, 6,Ｄライトグロｰリｰ, 60,北村友, 0.1, 61,*  3,  -4, 6, 14.6, ①①, 2, 4,Ｆラスカルシチｰ, 53,丸田恭, 0.3, 55,  -2,* -2, 5, 20.5, ⑤⑤, 2, 5,Ｄリッカロイヤル, 50,柴山雄, 0.2, 58, -42,* 26, 4,  6.5,⑤⑤⑥
 3, 2,Ｅアリュｰバニヤン, 41,安藤勝, 0.3, 53,  -5,  -3, 3,  5.1,④④②, 3, 8,Ｉナムラハル, 55,的場勇, 0.2, 57,  -4,  -1, 8, 18.2, ③②, 3,12,Ｅペプチドジャスミン, 54,武英智, 0.5, 55,  -1,  -3, 3,  6.2, ⑤⑤, 3, 4,Ｅグリフィス, 48,武幸四, 0.2, 51, -40,  23, 3,  4.3,③③④
 4, 5,Ｇフェアｰプロ, 38,菊沢隆, 0.5, 49,  -9,*  0,10, 74.1,⑨⑩⑩, 4, 1,Ｅスマｰトフォルム, 60,柴山雄, 0.4, 60, -12,*  7, 2,  5.2, ⑭⑥, 4, 6,Ｈボｰスンズコｰル, 50,菊沢隆, 0.6, 51,  -7,*  1, 8, 61.6, ⑨⑦, 4, 3,Ｆメジロアｰスラ, 45,川島信, 0.2, 55, -41,* 25, 6, 14.2,⑥⑤④
 5, 4,Ｉピサノジュバン, 31,柴山雄, 0.5, 50,  -5,  -6, 8, 37.1,④④④, 5, 3,Ｆガイアヴァンテ, 58,藤田伸, 0.4, 57,  -6,   1, 5, 13.9, ⑤④, 5,11,Ｇアラビアンホワイト, 52,佐藤聖, 0.9, 49,  -1,  -9,12,144.3, ③③, 5, 1,Ｂホウザン, 60,安藤勝, 0.3, 35,*-39,  19, 5,  9.1,②②②
 6,11,Ｃナンヨｰリバｰ, 48,武幸四, 0.8, 46,  -4, -12, 2,  4.7,④④⑥, 6, 2,Ｊフレノエンジェル, 54,北村浩, 0.5, 56,  -3,  -4,11, 52.5, ③④, 6, 9,Ｌレスポンスシチｰ, 39,柴原央, 0.9, 47,  -8,  -3, 9, 79.2, ⑨⑧, 6, 2,Ｃバｰキングウルフ, 51,藤田伸, 0.4, 38, -40,  20, 1,  2.8,③③②
 7, 6,Ｄナリタシャトル, 46,河北通, 0.9, 45,  -6, -11, 7, 18.8,⑨⑧⑥, 7, 9,Ａドライマティｰニ, 66,須貝尚, 0.7, 53, -14,*  4, 3,  8.5, ⑭⑪, 7, 5,Ｊメイショウシラヌイ, 49,北村浩, 1.0, 52,   2, -10, 7, 47.5, ③③,,,,,,,,,,,,
 8,10,Ａマイネルスカｰル, 51,黛弘人, 0.9, 42,* -3, -18, 5, 13.7,②②②, 8,11,Ｐコイサン, 24,芹沢純, 0.9, 50, -10,  -2,10, 51.8, ⑩⑪, 8,10,Ｄベルモントシャルム, 62,黛弘人, 1.2, 43,  -5,  -9, 4, 18.8, ⑦⑩,,,,,,,,,,,,
