07年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｅパリオ, 44,蛯名正,, 57,* -7,*  3, 1,  2.2, ②②, 1, 1, シルクサラマンダｰ,,江田勇,,,,,11, 45.1,③②②, 1, 6,Ｄコパノカチドキ, 66,藤田伸,, 72,   2,   9, 5,  9.7, ③③, 1, 4,Ｐマイネルキｰロフ, 71,吉田豊,, 75,* 18, -10, 3,  7.5,②②②
 2, 9,Ｈキンショｰオトヒメ, 21,吉田豊, 0.1, 57,* -9,*  4, 6, 15.1, ③③, 2,13, ロｰレルハンバｰバ,,水出大, 0.2,,,, 5,  7.6,②②③, 2, 8,Ａヤエノアカハチ, 67,蛯名正, 0.0, 76,  -3,* 15, 2,  4.8, ⑪⑪, 2, 7,Ｎリキッドノｰツ, 75,藤田伸, 0.0, 75,  15,* -4, 1,  4.9,④④④
 3,11,Ｃシュリクン, 47,横山典, 0.5, 53,* -9,   1, 2,  4.3, ③③, 3,10, トウショウズシオウ,,林満明, 0.3,,,, 8, 25.5,①①①, 3,10,Ｇストロングラムダ, 64,北村宏, 0.4, 68,  -1,   9, 3,  5.4, ⑧⑧, 3, 5,Ｊドリｰミｰオペラ, 76,横山典, 0.5, 66,  13, -11, 9, 17.2,④④④
 4, 1,Ａウエスタンシｰザｰ, 55,北村宏, 0.6, 53, -10,*  2, 3,  5.0, ⑥⑥, 4,12, レオスタｰライト,,田中剛, 0.9,,,, 4,  5.8,⑤⑥⑤, 4,11,Ｃナムラオルフェ, 67,丸田恭, 0.5, 63,  -1,   5, 7, 10.9, ⑤⑤, 4, 3,Ｃレイルバｰド, 78,北村宏, 0.7, 63,  10,* -9,15, 52.2,⑨⑩⑨
 5, 8,Ｂナイスラッキｰ, 49,勝浦正, 1.1, 44,* -9,  -6, 4,  8.3, ③③, 5, 6, トｰセンエタニティ,,金子光, 1.7,,,, 7, 20.9,⑦④④, 5, 3,Ｉリワｰドアルコン, 61,五十嵐, 0.7, 60,*  5,  -2,10, 29.3, ①①, 5,10,Ｆマルタカハｰモニｰ, 77,大庭和, 0.7, 67,  14, -14,10, 24.8,⑰⑩④
 6, 7,Ｄトミケンクルｰク, 45,小林淳, 1.3, 44, -12,  -3, 5, 11.9, ⑪⑧, 6, 5, ヒシバトル,,山本康, 2.0,,,, 1,  3.3,⑤④⑤, 6, 5,Ｈシルクマタドｰル, 61,勝浦正, 0.9, 60,   0,   2,13, 70.0, ⑤⑤, 6,16,Ｂインテレット, 79,後藤浩, 1.1, 66,  15, -14, 7, 10.9,④⑥⑦
 7, 6,Ｇソリッドブレｰド, 24,吉田隼, 1.5, 41, -10,  -7, 8, 44.5, ⑥⑥, 7, 3, ヒカリヘリオス,,穂苅寿, 2.4,,,,10, 45.1,⑩⑨⑧, 7, 2,Ｌフィクシアス, 58,後藤浩, 1.1, 58,  -1,   2, 6,  9.9, ⑧⑧, 7, 1,Ｇグレｰトバルサｰ, 77,菊沢隆, 1.2, 58,   8, -13,13, 48.5,⑮⑬⑫
 8,12,Ｋトウショウスノウ,  8,伊藤直, 2.4, 34, -15,  -9,11,280.2, ⑫⑫, 8, 7, ダイワアスカロン,,蓑島靖, 2.4,,,,14,123.1,⑬⑪⑪, 8, 1,Ｋパルジファル, 59,横山典, 1.2, 64, -10,* 12, 8, 14.6, ⑬⑬, 8,14,Ｏエイシンニｰザン, 74,田中剛, 1.3, 63,* 19, -29, 8, 12.6,②②②
 9,10,Ｌフランコフォニｰ,-51,後藤浩, 2.9, 33,* -7, -25, 7, 24.5, ①①, 9, 4, プレンティスピｰド,,宗像徹, 3.1,,,, 2,  4.6,⑩⑩⑩, 9, 9,Ｆアップグレｰデッド, 64,加藤士, 1.4, 53,*  4,  -8, 9, 27.6, ②②, 9, 6,Ｋコアレスパティオ, 76,高橋智, 1.4, 57,   4,* -7,12, 31.7,⑬⑮⑮
