07年12月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｉサンクスヘヴン, 36,石橋脩,, 63,*  3,  -4, 7, 21.2, ①①, 1, 2, ロｰレルハンバｰバ,,金子光,,,,, 1,  2.4,⑤③②, 1, 3,Ａダイワマックワン, 71,武士沢,, 75,* 10,   5, 1,  2.5, ①①, 1, 1,Ｎテンイムホウ, 71,柄崎将,, 88,  16,* 11,12, 63.9, ⑧③
 2,13,Ｆサンタｰナズギフト, 46,松岡正, 0.0, 62,*  2,* -3, 2,  3.6, ②②, 2,14, ウォｰタｰトリトン,,佐久間, 0.0,,,, 7, 19.4,②②①, 2, 9,Ｃアポロフェニックス, 63,柴田善, 0.1, 74,   6,   7, 2,  4.4, ③③, 2, 3,Ｇピサノグラフ, 76,ペリエ, 0.2, 86,* 19,   5, 3,  4.6, ①②
 3, 9,Ａクレムリンエッグ, 54,吉田隼, 0.2, 58,   0,* -3, 1,  2.8, ③③, 3, 1, ヒシバトル,,山本康, 0.7,,,, 3,  4.8,⑦④④, 3, 4,Ｈマイネアルデュｰル, 54,松岡正, 0.1, 74,   6,   7, 5, 10.3, ③③, 3, 2,Ｌスパイン, 74,江田照, 0.2, 86,* 19,   5, 7, 18.6, ②①
 4, 2,Ｂモンテタキオン, 51,ペリエ, 0.4, 53,  -5,* -1, 3,  4.5, ⑥⑥, 4,11, ダイワアスカロン,,鈴木慶, 0.8,,,,13,158.2,⑧⑨⑧, 4, 7,Ｆレイクエルフ, 58,菊沢隆, 0.3, 69,*  8,   2, 4,  5.7, ②②, 4,10,Ｅアドマイヤカリブ, 78,吉田隼, 0.3, 83,  17,   5, 2,  3.7, ④⑥
 5, 8,Ｄナスザン, 46,的場勇, 0.6, 51,  -2,  -7, 4,  6.9, ③③, 5,13, オｰスミダンスイン,,大庭和, 0.9,,,, 8, 35.3,⑩⑨⑧, 5, 8,Ｇスイｰトカルタゴ, 54,木幡初, 0.4, 71,  -2,* 10, 7, 38.3, ⑥⑥, 5, 6,Ａダンディｰズケア, 83,鮫島良, 0.3, 81,  16,   7, 1,  3.4, ⑧⑦
 6, 4,Ｇショウナンカザン, 40,柴田善, 0.8, 49,  -5,  -5, 5, 13.9, ⑥⑥, 6, 3, ワイズタイクｰン,,穂苅寿, 0.9,,,, 6, 18.1,⑧④④, 6, 2,Ｂトｰセンジｰクレフ, 65,石橋脩, 0.7, 66,  -5,*  8, 6, 17.5, ⑦⑦, 6, 7,Ｏブランシュネｰジュ, 67,柴山雄, 0.4, 78,   8,* 13,14,209.0, ⑮⑦
 7,11,Ｈコパノパニック, 38,田中博, 1.7, 38,  -5, -15,11,165.6, ⑥⑧, 7, 7, トｰセンエタニティ,,水出大, 1.1,,,, 9, 45.2,④⑦⑦, 7, 5,Ｅオリヒメチャｰム, 58,田中博, 1.0, 59, -13,*  9, 8, 69.4, ⑩⑩, 7, 4,Ｋエフテｰストライク, 75,武士沢, 0.4, 74,   5,* 16,10, 45.9, ⑯⑮
 8, 7,Ｃコロネット, 49,柴山雄, 1.8, 39, -13,  -7, 6, 14.4, ⑪⑪, 8, 5, トウショウズシオウ,,林満明, 1.7,,,, 2,  3.9,①①②, 8,11,Ｉエスペシアル, 46,鮫島良, 1.0, 60,  -8,   7, 9,100.6, ⑨⑨, 8,12,Ｊコンゴウリュウオｰ, 75,武英智, 0.5, 80,  17,   2, 4,  8.0, ④⑦
 9,10,Ｅロｰレルウェンス, 46,勝浦正, 2.0, 39,  -1, -20, 9, 79.7, ③③, 9, 8, ラドランファｰマ,,横山義, 2.3,,,, 4, 10.0,⑥④④, 9,10,Ｄマルタカラッキｰ, 62,吉田隼, 1.1, 53,   6,  -9, 3,  4.4, ③⑤, 9, 8,Ｆハネダテンシ, 77,田中博, 0.7, 77,  17,  -1, 5, 12.6, ④④
10, 1,Ｋオンワｰドフィｰル, 17,武士沢, 2.2, 36, -14, -10,10,157.7, ⑬⑪,10, 6, プレンティスピｰド,,宗像徹, 2.4,,,, 5, 16.5,⑫⑪⑩,10, 6, アルペンリリｰ,---,勝浦正, 1.3, 55, -13,   7,11,218.5, ⑪⑪,10,14,Ｄチャｰムダイヤ, 78,木幡初, 0.9, 68,   9,   3, 8, 30.1, ⑬⑮
11, 3,Ｌオンワｰドエｰデル,-11,江田照, 2.6, 30,  -8, -20, 8, 33.5, ⑨⑨,11,12, スズカザゴｰルド,,田中剛, 3.1,,,,10, 56.7,②⑧⑩,11, 1, ハピネスデスネ,---,張田京, 1.4, 50,  -5,  -3,10,139.4, ⑦⑦,11,16,Ｂオｰヴェｰル, 79,張田京, 1.0, 71,  16,  -4,13, 71.0, ⑧⑪
12, 5,Ｊベルグラスカル, 30,小林淳, 2.8, 29, -10, -20,12,272.7, ⑩⑨,12,10, レオブライト,,高野和, 4.2,,,,14,197.0,⑪⑫⑫,12,12,Ｊタケデンスキップ, 43,伊藤直, 2.1, 39, -13,  -6,12,271.3, ⑪⑪,12,13,Ｃコマノルカン, 79,松岡正, 1.3, 64,  13,  -6, 6, 14.0, ⑫⑪
