07年 4月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.0,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄヤエノアカハチ, 53,蛯名正,, 64,  -7,*  9, 3,  3.1, ⑤②, 1, 3,Ｂヤマビコ, 50,勝浦正,, 64,   2,*  0, 2,  3.5,③②②, 1, 2,Ｃマイネルスカット, 67,菊沢隆,, 80,*  7,*  9, 2,  6.9,①①①, 1,13,Ｂサチノスイｰティｰ, 88,吉田豊,, 85,* 14,  11, 6, 13.7, ①②
 2, 5,Ｅサトノユウジ, 42,田中勝, 0.6, 59, -16,* 11, 4, 17.0, ⑧⑧, 2, 5,Ａタイセイオスカｰ, 50,江田照, 0.5, 59,   0,* -1, 6, 17.9,⑤⑤④, 2, 4,Ａフェラｰリセブン, 72,北村宏, 0.4, 73,   4,*  9, 1,  1.6,②④②, 2,11,Ｈニシノコンサフォス, 86,和田竜, 0.3, 83,  11,  12, 1,  2.7, ④③
 3, 6,Ｇサルバドｰルボス, 38,松岡正, 0.8, 52,  -9,   3, 5, 19.2, ⑥⑤, 3, 4,Ｃサンジャンボリｰ, 48,和田竜, 1.0, 56,*  2, -10, 1,  3.0,②②①, 3,10,Ｄマイネルパラシオ, 67,蛯名正, 0.8, 68,*  5,   1, 3,  9.1,⑨②③, 3,10,Ｋチョウカイロイヤル, 80,北村宏, 0.4, 81,   5,* 14, 9, 42.0, ⑦⑧
 4, 3,Ａコスモフェイツ, 59,江田照, 0.8, 51,  -6,   0, 1,  2.5, ③②, 4,10,Ｈエタｰナルドリｰム, 38,田中勝, 2.0, 47,  -4,  -8, 8, 21.3,⑦⑦⑥, 4, 3,Ｂデザｰトモｰニング, 69,赤木高, 0.9, 64,   0,   5, 5, 16.4,⑥⑧⑤, 4, 9,Ｊタイキジリオン, 81,江田照, 0.4, 79,   8,  11,12, 81.3, ⑤⑤
 5, 1,Ｂクリｰンクルｰ, 55,北村宏, 0.8, 50,* -3,  -3, 2,  2.7, ①①, 5,11,Ｆマイネルセグレイト, 40,松岡正, 2.3, 45,  -5,  -8, 4,  7.4,⑫⑨⑧, 5, 7,Ｇショウナンタイトル, 64,吉田豊, 1.1, 61,  -3,*  9, 7, 25.3,⑭⑭⑪, 5,14,Ｉトウショウギア, 84,田中勝, 0.5, 79,* 15,   7, 4,  7.6, ②①
 6, 4,Ｃサｰクルゲｰム, 55,千葉直, 1.2, 44,* -6,  -8, 6, 62.1, ②②, 6, 8,Ｇワｰルドグランプリ, 40,田中剛, 2.6, 45,*  4, -29, 7, 19.1,①①②, 6, 6,Ｈカゼノユクエ, 62,横山義, 1.1, 62,   2,  -1,11, 68.6,⑨⑥⑤, 6, 6,Ｃハリｰズコメット, 88,松岡正, 0.5, 81,   5,  14, 5,  9.6, ⑦⑨
 7, 7,Ｈアポロエンジェル, 33,勝浦正, 1.5, 43,  -6,  -7, 7, 78.9, ③⑤, 7,12,Ｉダニエルシチｰ, 27,赤木高, 3.6, 37,  -5, -21,10, 91.8,⑨⑧⑧, 7, 1, クサタロウ,---,郷原洋, 1.4, 58,   0,  -1, 6, 20.1,⑪⑩⑧, 7, 7,Ｍグランプリオｰロラ, 79,中谷雄, 0.5, 78,   4,  13,13,106.6, ⑦⑤
 8, 9,Ｆラストアラシ, 40,和田竜, 1.8, 41, -11,  -6, 8,122.9, ⑦⑦, 8, 6,Ｅユウタｰビスケット, 41,南田雅, 3.7, 36,   1, -34, 9, 29.9,③④⑤, 8,12,Ｆカシノトｰマス, 64,千葉直, 1.5, 53,   1, -11,13,107.9,②④⑤, 8, 3,Ａハギノトリオンフォ, 89,赤木高, 0.7, 78,   4,  13, 3,  6.4, ⑫⑫
