07年 8月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａアグネスクリスタル, 54,武豊  ,, 66,  -5,*  7, 1,  2.1, ③③, 1,15, シルクストレングス,---,長谷川,, 60,* -4,*  2, 3,  5.7, ①①, 1,16,Ａベビｰフェイス, 66,中村将,, 52,*-15,   7, 1,  2.5, ②②, 1, 7,Ｄハスフェル, 80,芹沢純,, 81,  -3,* 24, 4,  9.6,⑪⑨⑦
 2, 3,Ｃエｰシンジｰライン, 48,川田将, 0.4, 57, -10,*  4, 4,  9.2, ⑤⑤, 2, 6, サンライトマリｰ,---,上村洋, 0.6, 48,  -9,  -3, 1,  3.0, ④③, 2,13,Ｌミスタｰリスリン, 35,田中健, 0.0, 53, -19,*  9,12, 59.8, ⑥⑥, 2, 4,Ａグランドハリケｰン, 83,熊沢重, 0.0, 72,*  2,  16, 5, 11.5,②②②
 3, 4,Ｆリッカビクトリｰ, 28,田中克, 0.5, 48,* -2,  -6, 5, 28.3, ②①, 3, 7, テイエムチｰタｰ,---,和田竜, 0.6, 52, -16,*  3, 7, 22.4, ⑦⑦, 3,15,Ｃホウライキャプテン, 60,荻野琢, 0.2, 46,*-14,   2, 3,  7.1, ②②, 3, 6,Ｅラッキｰブレイク, 78,幸英明, 0.2, 81,  -1,* 24, 7, 14.6,⑨⑨⑧
 4, 1,Ｂピエナポパイ, 53,幸英明, 0.5, 53,  -8,   1, 2,  2.5, ③③, 4, 3, ミッキｰフォルテ,---,浜中俊, 0.8, 44, -19,*  0,12,111.4, ⑦⑦, 4, 8,Ｏウォｰタｰギブン,  9,高橋亮, 0.2, 60, -25,* 16,14,122.2, ⑬⑦, 4, 1,Ｊサンライズキング, 74,和田竜, 0.3, 72,*  5,  14, 2,  4.5,①①①
 5, 2,Ｅスイｰトメリｰ, 39,渡辺薫, 0.8, 48, -17,   2, 3,  6.7, ⑦⑦, 5,12, コスモジャイロ,---,幸英明, 0.8, 43,* -7,  -7, 6, 14.0, ②③, 5,14,Ｍフクウンバｰド, 29,和田竜, 0.3, 48, -16,   5,10, 33.2, ④④, 5,11,Ｇエイシンロンバｰド, 77,武豊  , 0.3, 71,*  3,  15, 1,  2.7,④②②
 6, 8,Ｉタイセイトゥルｰス, 20,藤岡康, 1.0, 40, -22,  -1, 7, 36.2, ⑧⑦, 6,11, レディマハロ,---,田中剛, 0.8, 43,* -7,  -7, 4,  6.9, ②②, 6, 1,Ｄライフロングラバｰ, 56,長谷川, 0.3, 48, -16,   5, 2,  4.6, ④④, 6,10,Ｋアンジェロファニｰ, 72,高橋智, 0.4, 76,  -4,* 22,10, 57.1,⑩⑪⑪
 7, 5,Ｄホッコｰマイクイン, 43,赤木高, 1.1, 40,* -1, -14, 6, 31.9, ①②, 7, 5, バイオスフィア,---,中村将, 1.1, 39, -22,* -1, 9, 23.6, ⑩⑨, 7,12,Ｅブラックウィッチ, 48,芹沢純, 0.4, 52, -25,* 13, 5,  9.8, ⑬⑭, 7, 8,Ｉオｰスミヘネシｰ, 76,渡辺薫, 0.4, 74,   0,  19, 8, 20.9,⑧⑧⑧
 8, 7,Ｇダンスウェｰブ, 26,和田竜, 1.2, 38, -10,  -9, 8, 53.8, ⑤⑥, 8, 8, エｰシンアウォｰド,---,藤岡康, 1.2, 33, -14, -11, 5,  8.8, ⑤⑤, 8,11,Ｊナムラマッハ, 39,太宰啓, 0.6, 45, -22,   7,11, 48.4, ⑩⑩, 8,12,Ｃアグネストラベル, 80,橋本美, 1.0, 63,   0,  10, 6, 12.6,⑥⑥④
