07年 1月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.8,,,,,■10R  芝2400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,箱根特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｃラオムフェｰレ, 55,勝浦正,, 63,   2,   0, 3,  5.4, ⑤⑤, 1, 1, ニシノジュエリｰ,,浜野谷,,,,, 1,  2.1,③②②, 1, 5,Ｅラインストｰム, 63,ルメｰ,, 74,  -5,* 18, 6, 13.6, ④④, 1, 6,Ｃハイパｰレスポンス, 73,安藤勝,, 62,* -5,  13, 2,  3.2,②②②
 2,11,Ｅゴｰルドエンジェル, 47,江田照, 0.2, 59,*  5,  -6, 6, 22.4, ①①, 2, 3, コスモグラッチェ,,平沢健, 0.7,,,, 7, 42.7,⑥⑥⑤, 2, 4,Ａクランエンブレム, 71,武豊  , 0.0, 69,* -2,  13, 1,  2.9, ①①, 2, 7,Ｆトロフィｰディｰル, 70,武豊  , 0.0, 66,* -6,  16, 3,  4.9,④⑤③
 3, 9,Ｉプライドイズハｰト, 40,松岡正, 0.5, 64,  -7,*  6, 4,  8.6, ⑩⑨, 3,13, ハリｰコマンド,,嘉堂信, 1.0,,,, 6, 20.3,⑨⑨⑨, 3, 2,Ｃアクセルホッパｰ, 67,大庭和, 0.4, 71,  -7,* 18, 2,  3.1, ⑩⑧, 3, 5,Ａオルドリｰバ, 79,蛯名正, 0.0, 66,* -6,  16, 7, 16.7,⑦⑥③
 4, 1,Ｂヤエノアカハチ, 56,後藤浩, 0.5, 56,*  3,  -6, 2,  3.4, ②②, 4,14, スガノグラスワン,,柴田大, 1.2,,,, 9,111.0,①①①, 4, 1,Ｂワｰルドハンタｰ, 68,横山典, 0.4, 67,  -5,  14, 4,  7.9, ④④, 4, 9,Ｇジョウノエリザベス, 70,横山典, 0.2, 73,  -9,* 21, 1,  3.1,⑪⑪⑩
 5, 6,Ａコスモリバイアサン, 62,ルメｰ, 0.8, 53,*  3,  -9, 1,  2.3, ②②, 5, 4, マチカネリュウセイ,,宗像徹, 1.4,,,, 2,  3.4,⑤④③, 5,10,Ｇホットストック, 54,蛯名正, 0.7, 64,  -6,  13, 7, 16.1, ⑥⑥, 5,12,Ｂワンダｰドリｰム, 77,吉田豊, 0.4, 60,  -7,  13, 4,  8.4,⑧⑧⑦
 6,14,Ｄコスモトノ, 48,田中剛, 1.0, 50,*  4, -12, 7, 24.4, ②②, 6, 9, メモリｰオブヨｰク,,山本康, 1.8,,,, 3,  7.0,③③④, 6, 7,Ｈクリノアドベンチャ, 52,武士沢, 0.8, 63,  -6,  13, 9,113.0, ⑥⑥, 6, 2,Ｍショウナンパレス, 59,勝浦正, 0.4, 56,* -6,  10,12,196.9,③②③
 7,10,Ｇニｰマルクイック, 41,石神深, 1.3, 51,  -5,  -4,11,215.5, ⑧⑦, 7,11, ノボライトニング,,千葉直, 3.0,,,,11,169.9,⑦⑦⑥, 7, 3,Ｆピュアｰフレｰム, 60,後藤浩, 1.8, 51,  -4,  -2, 5,  9.6, ③③, 7, 8,Ｄバブルサウンド, 73,松岡正, 0.5, 57,  -7,  12, 8, 23.4,⑩⑨⑦
 8, 2,Ｊコスモファルバラン, 39,吉田隼, 1.4, 47,  -4,  -8,10, 44.9, ⑥⑥, 8, 6, ミヤギカントリｰ,,柴田未, 4.3,,,,13,337.7,⑫⑩⑩, 8,11, ハｰバルパフュｰム,---,安藤勝, 2.4, 47, -11,   5,10,156.2, ⑪⑪, 8,10,Ｉスギノベラｰジオ, 66,北村宏, 0.5, 68,  -9,* 19, 9, 57.8,⑫⑫⑫
