07年 3月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月25日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.9,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2500m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａケイアｰス, 57,蛯名正,, 53,* -2,  -9, 1,  1.1,①①①, 1, 6, スプリングラゴス,,山本康,,,,, 3,  5.5,③②②, 1, 2,Ｂネヴァｰトルネｰド, 68,武士沢,, 68,*  8,* -7, 1,  2.1,②②②, 1, 1,Ａヨイチサウス, 82,江田照,, 90,* 18,   5, 3,  5.0,①①①
 2, 6,Ｃコスモファルバラン, 48,大野拓, 0.2, 49,  -4,  -8, 3, 26.2,③③②, 2, 1, ラドランデンジャｰ,,高野容, 0.3,,,,10, 61.6,①①①, 2, 4,Ａパルエクスプレス, 68,木幡初, 1.0, 59,*  7, -18, 3,  4.5,③③③, 2, 9,Ｂカタナ, 81,吉田豊, 0.4, 84,* 16,   4, 2,  3.8,②②②
 3, 1, ショウミｰザウェイ,---,戸崎圭, 0.5, 47,  -6,* -7, 4, 31.6,⑤⑦⑤, 3,12, ハリｰコマンド,,嘉堂信, 1.4,,,, 2,  5.0,⑥⑤④, 3, 7,Ｅトｰセンクルｰズ, 60,蛯名正, 1.1, 58,*  8, -25, 2,  2.8,①①①, 3, 2,Ｃマシュリク, 81,蛯名正, 0.6, 82,  14,   6, 1,  2.4,④⑤④
 4, 5,Ｋマイネルセグレイト, 23,柴山雄, 0.9, 43, -10,* -2,11,230.9,⑮⑪⑨, 4, 4, クロコアイト,,浜野谷, 1.7,,,, 6, 13.2,③②③, 4, 1,Ｇマイネルシルバｰト, 59,大庭和, 1.2, 58,   6, -15, 7, 40.9,⑤⑦⑥, 4,10,Ｉガッテンワン, 69,村田一, 0.8, 78,  11,*  8, 5, 22.3,⑦⑩⑩
 5,14,Ｆブｰルバｰル, 42,小林淳, 1.1, 42,  -8,  -8, 7, 56.4,⑩⑧⑧, 5, 2, ブラックファルコン,,五十嵐, 1.7,,,, 4,  6.9,⑨⑦⑥, 5, 3,Ｃハバネロキャット, 64,草野太, 1.3, 53,   5, -23, 4, 13.4,③③④, 5, 6,Ｈサニｰネイティブ, 72,安藤光, 0.9, 77,  13,   2,10, 68.5,⑥⑥⑨
 6, 9,Ｂダイワモナｰク, 49,武士沢, 1.5, 40,  -4, -19,10,141.3,③⑤⑥, 6, 3, リネンメイン,,南田雅, 3.0,,,, 5, 10.2,⑪⑩⑧, 6, 5,Ｆカンファｰマックス, 59,和田竜, 1.7, 54,   7, -26, 5, 26.8,⑤⑤④, 6, 7,Ｄロフティｰエイム, 76,北村宏, 0.9, 77,  12,   4, 4,  5.5,⑦⑧⑥
 7, 7,Ｇミヤギカリスマ, 42,木幡初, 1.5, 40,  -4, -19, 6, 45.6,⑤⑤④, 7,13, ジョッシュ,,大庭和, 3.4,,,, 7, 27.8,⑤⑥⑥, 7, 6,Ｄシェルクレｰル, 64,安藤光, 2.4, 49,   5, -30, 8, 56.6,⑧⑧⑦, 7,12,Ｋユノナゲット, 68,武士沢, 1.1, 74,   9,*  7, 9, 53.3,⑪⑪⑩
 8,11,Ｌマイトイズライト, 22,石橋脩, 1.8, 39,* -3, -24,14,420.6,②②②, 8,10, トｰセンエタニティ,,金子光, 3.5,,,, 9, 47.4,⑧⑨⑩, 8, 9,Ｈアイオブザジャガｰ, 53,大野拓, 2.9, 46,   4, -40, 6, 36.0,⑨⑧⑦, 8, 3,Ｊシｰクレットコｰド, 69,藤田伸, 1.2, 75,  15,  -5, 7, 31.3,⑤③③
