07年 6月17日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月17日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.2,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥尻特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈクロカンブッシュ, 32,菊沢隆,, 63, -12,* 10,11, 41.9,⑨⑩⑧, 1, 3,Ｈハイフェイム, 43,津村明,, 63,* -8,*  9,10, 26.6,③④②, 1,12,Ｃマナｰハウス, 63,藤田伸,, 74,* -3,* 15, 1,  2.0,③③③, 1, 3,Ｉコスモダンスナイト, 61,北村友,, 76,  12,   1,10, 49.1,⑤④③
 2,11,Ｂビクトリｰブランコ, 42,小林徹, 0.3, 55, -10,*  4, 1,  3.2,⑪⑦⑥, 2, 9,Ｅマルイチキセキ, 46,藤岡佑, 0.3, 57,  -9,*  6,12, 41.4,⑪④②, 2,10,Ｆリンガフランカ, 60,池添謙, 0.3, 67,* -3,  11, 8, 40.3,②②②, 2, 5,Ａロｰドアルファｰド, 70,藤田伸, 0.4, 71,  10,   0, 1,  1.7,⑦⑥⑤
 3, 8,Ｃフロｰラルタイム, 42,塚田祥, 0.3, 52,  -9,   2, 7, 20.7,④④④, 3,10,Ｉドゥオナｰ, 42,菊沢隆, 0.3, 62, -11,* 11, 3,  6.3,⑤⑨⑥, 3,11,Ｋテンエイヤシャオｰ, 52,北村友, 0.6, 61,* -4,   7,11, 83.0,①①①, 3, 4,Ｅマイネルスパｰクル, 63,横山典, 0.6, 67,   4,*  9, 4, 12.5,⑫⑬⑩
 4,12,Ｇシルクイシュタｰル, 36,津村明, 0.8, 44,* -7,  -7, 5, 12.3,①①①, 4,12,Ｂアクセス, 60,北村友, 0.6, 45,* -9,  -3, 1,  3.1,⑤③②, 4, 1,Ａタイインテンスリｰ, 65,田中博, 0.7, 61,  -6,   9, 5, 10.1,③④④, 4, 9,Ｇコアレスウィｰク, 62,藤岡佑, 0.6, 70,* 16, -17, 7, 19.6,①①①
 5, 7,Ｅメジロシェダｰ, 39,四位洋, 1.0, 43,* -7,  -7, 2,  3.5,③②②, 5, 8,Ｎトウシュｰズ, 15,塚田祥, 0.7, 48, -10,   1, 7, 13.1,⑧⑦⑧, 5, 9,Ｇアンビリｰバブル, 60,勝浦正, 0.8, 62,  -5,   9, 2,  4.0,⑥④④, 5, 6,Ｈケンブリッジマイア, 62,四位洋, 0.7, 68,* 14, -13, 2,  6.3,②②②
 6, 5, ハニｰフラッグ,---,西原玲, 1.2, 44, -11,  -3, 8, 26.7,⑨⑧⑧, 6,14, ファンタン,---,長谷川, 0.7, 47,* -8,  -1, 4, 10.2,③④⑥, 6, 6,Ｉピサノダイチ, 57,横山典, 1.0, 66,  -9,* 14, 3,  8.6,⑪⑫⑨, 6,10,Ｊティズインパルス, 61,秋山真, 0.7, 67,  10,  -5, 6, 17.4,⑥⑥⑤
 7, 9,Ａブラックレディ, 45,芹沢純, 1.3, 41,  -9,  -7, 4,  6.9,④④⑥, 7,13,Ｋコンプリｰトラン, 37,田中博, 0.7, 41,* -8,  -8, 5, 10.5,①①①, 7, 5,Ｈマイネルマルス, 57,津村明, 1.1, 60,  -6,   8, 7, 29.4,⑥⑦⑦, 7, 8,Ｃトｰセンマンボ, 66,勝浦正, 0.8, 66,   8,  -2, 5, 14.6,⑨⑧⑧
 8, 1,Ｉニシノキンレンポ, 31,勝浦正, 1.3, 41,  -9,  -7, 9, 29.2,④④⑤, 8, 4,Ｃアストラピンク, 53,小林徹, 0.8, 53, -13,*  6, 6, 10.7,⑫⑫⑫, 8, 3,Ｄスピｰドウエル, 63,武英智, 1.6, 51,  -5,   1, 6, 21.4,③④⑥, 8, 1,Ｏエリモブラスト, 56,長谷川, 0.9, 66,  13, -14, 9, 47.0,②②③
 9, 2, ベルモントシャｰリ,---,藤田伸, 1.4, 40,* -7, -11, 3,  6.0,②②②, 9, 6,Ａウエストライン, 67,勝浦正, 0.8, 48, -10,   2, 2,  5.3,⑧⑨⑧, 9, 7,Ｌトｰヨｰパプラｰル, 51,芹沢純, 1.6, 57,  -9,   9,13,176.2,⑪⑫⑫, 9, 7,Ｋエｰシンパｰティｰ, 61,塚田祥, 1.0, 61,   5,  -3, 8, 37.7,⑩⑩⑩
10, 3,Ｆシルクシャングリラ, 37,木幡初, 1.7, 38, -10,  -8,10, 31.3,⑧⑧⑧,10,16,Ｄトｰワシャトル, 49,池添謙, 0.9, 43,* -7,  -7, 8, 17.8,②②②,10,13,Ｍワｰルドレコｰド, 51,四位洋, 1.7, 52,  -6,   2, 9, 46.7,⑧⑦⑨,10,11,Ｆマイネルピカドｰル, 62,宮崎光, 1.0, 62,   5,  -1,12, 60.9,⑭⑫⑩
11,10,Ｄボルガ, 39,藤岡佑, 3.0, 32, -14, -15,12, 54.5,⑫⑪⑪,11,15,Ｇプラチナブラック, 44,横山典, 1.6, 38, -10, -12, 9, 22.8,⑤⑦⑧,11, 4,Ｊリネンヤクシン, 57,木幡初, 1.8, 53,  -7,   4,10, 47.2,⑬⑩⑫,11, 2,Ｎクチベニ, 57,郷原洋, 1.1, 62,   8,  -6,14,154.9,⑩⑧⑧
12, 6,Ｊカリキュレイタｰ, 30,横山典, 5.7,-21, -20, -29, 6, 15.1,④⑫⑫,12, 1,Ｊグラマラスドｰル, 38,黛弘人, 2.1, 32, -12, -20,14,119.4,⑧⑨⑧,12, 8,Ｅテンジンニチオｰ, 61,菊沢隆, 2.0, 49,  -8,   2,12,107.2,⑩⑩⑨,12,16,Ｌサチノマックイｰン, 60,池添謙, 1.2, 60,   2,*  4,15,186.4,⑫⑮⑬
,,,,,,,,,,,,13, 2,Ｏアプロｰチアゲン,  3,藤田伸, 2.2, 34, -13, -15,11, 40.4,⑬⑫⑬,13, 2,Ｂアルタントプチ, 64,塚田祥, 2.3, 46,  -7,  -3, 4,  8.8,⑧⑨⑧,13,13,Ｂエルロドリゴ, 68,田中博, 1.2, 60,   3,   1, 3, 10.2,⑮⑬⑬
,,,,,,,,,,,,14, 5,Ｆカオリマリス, 46,四位洋, 2.2, 32, -15, -10,13, 53.5,⑮⑭⑭,,,,,,,,,,,,,14,15,Ｄマウントキング, 65,木幡初, 1.4, 60,  11, -17,11, 53.2,④⑤⑦
,,,,,,,,,,,,15, 7,Ｌマイネアプフェル, 32,松田大, 2.4, 30, -20,  -4,15,202.1,⑯⑯⑯,,,,,,,,,,,,,15,14,Ｍラブリｰコンサｰト, 59,津村明, 1.8, 53,   1,  -6,13, 93.9,⑮⑮⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｐマヤノカタナ, 54,千田輝, 2.9, 45,   6, -31,16,314.0,⑧⑩⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-9),,,,,,,,,,,
"単勝:4,190円 複勝:04=820円 11=160円 08=540円 枠連:6,740円",,,,,,,,,,,,"単勝:2,660円 複勝:03=1,060円 09=1,020円 10=290円 枠連:2,740円",,,,,,,,,,,,"単勝:200円 複勝:12=140円 10=670円 11=1,210円 枠連:2,680円",,,,,,,,,,,,"単勝:4,910円 複勝:03=640円 05=110円 04=270円 枠連:620円",,,,,,,,,,,
"馬連:6,930円 ワイド:04-11=1,600円 04-08=12,080円 08-11=840円",,,,,,,,,,,,"馬連:41,030円 ワイド:03-09=8,730円 03-10=4,220円 09-10=3,900円",,,,,,,,,,,,"馬連:3,730円 ワイド:10-12=1,040円 11-12=2,700円 10-11=11,310円",,,,,,,,,,,,"馬連:3,140円 ワイド:03-05=1,180円 03-04=3,570円 04-05=430円",,,,,,,,,,,
"馬単:20,370円 3連複:34,360円",,,,,,,,,,,,"馬単:72,450円 3連複:116,200円",,,,,,,,,,,,"馬単:5,390円 3連複:45,290円",,,,,,,,,,,,"馬単:12,580円 3連複:8,160円 3連単:86,360円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.4,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■11R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,
